bytes,class,fault_diameter_in,fault_location,file_id,filename,label_text,load_hp,local_path,protocol,rpm,source_url,status
2942112,B,0.007,ball,118,118.mat,B007_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/118.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/118.mat,copied_from_smoke
2910768,IR,0.007,inner_race,105,105.mat,IR007_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/105.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/105.mat,copied_from_smoke
966608,B,0.028,ball,3005,3005.mat,B028_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3005.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/3005.mat,downloaded
2924712,IR,0.014,inner_race,169,169.mat,IR014_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/169.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/169.mat,downloaded
2928192,B,0.021,ball,222,222.mat,B021_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/222.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/222.mat,downloaded
2924712,B,0.014,ball,185,185.mat,B014_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/185.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/185.mat,downloaded
2931672,IR,0.021,inner_race,209,209.mat,IR021_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/209.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/209.mat,downloaded
2928192,OR,0.007,outer_race_6,130,130.mat,OR007@6_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/130.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/130.mat,copied_from_smoke
966608,IR,0.028,inner_race,3001,3001.mat,IR028_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3001.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/3001.mat,downloaded
2935152,OR,0.007,outer_race_12,156,156.mat,OR007@12_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/156.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/156.mat,downloaded
2935152,OR,0.007,outer_race_3,144,144.mat,OR007@3_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/144.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/144.mat,downloaded
2924712,OR,0.014,outer_race_6,197,197.mat,OR014@6_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/197.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/197.mat,downloaded
3903344,healthy,none,none,97,97.mat,Normal_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/97.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/97.mat,copied_from_smoke
2924712,OR,0.021,outer_race_12,258,258.mat,OR021@12_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/258.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/258.mat,downloaded
2938632,OR,0.021,outer_race_6,234,234.mat,OR021@6_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/234.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/234.mat,downloaded
2921232,OR,0.021,outer_race_3,246,246.mat,OR021@3_0,0,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/246.mat,cwru_de12k_full,1797,https://engineering.case.edu/sites/default/files/246.mat,downloaded
2914248,B,0.007,ball,119,119.mat,B007_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/119.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/119.mat,downloaded
971008,B,0.028,ball,3006,3006.mat,B028_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3006.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/3006.mat,downloaded
2931672,B,0.014,ball,186,186.mat,B014_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/186.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/186.mat,downloaded
2921232,B,0.021,ball,223,223.mat,B021_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/223.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/223.mat,downloaded
2928192,IR,0.007,inner_race,106,106.mat,IR007_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/106.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/106.mat,downloaded
2924712,IR,0.014,inner_race,170,170.mat,IR014_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/170.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/170.mat,downloaded
2917752,IR,0.021,inner_race,210,210.mat,IR021_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/210.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/210.mat,downloaded
971008,IR,0.028,inner_race,3002,3002.mat,IR028_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3002.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/3002.mat,downloaded
2928192,OR,0.007,outer_race_12,158,158.mat,OR007@12_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/158.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/158.mat,downloaded
2938632,OR,0.007,outer_race_6,131,131.mat,OR007@6_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/131.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/131.mat,downloaded
2924712,OR,0.007,outer_race_3,145,145.mat,OR007@3_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/145.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/145.mat,downloaded
