protocol,file_id,filename,label_text,class,fault_diameter_in,load_hp,rpm,fault_location,source_url
cwru_de12k_full,118,118.mat,B007_0,B,0.007,0,1797,ball,https://engineering.case.edu/sites/default/files/118.mat
cwru_de12k_full,185,185.mat,B014_0,B,0.014,0,1797,ball,https://engineering.case.edu/sites/default/files/185.mat
cwru_de12k_full,222,222.mat,B021_0,B,0.021,0,1797,ball,https://engineering.case.edu/sites/default/files/222.mat
cwru_de12k_full,3005,3005.mat,B028_0,B,0.028,0,1797,ball,https://engineering.case.edu/sites/default/files/3005.mat
cwru_de12k_full,105,105.mat,IR007_0,IR,0.007,0,1797,inner_race,https://engineering.case.edu/sites/default/files/105.mat
cwru_de12k_full,169,169.mat,IR014_0,IR,0.014,0,1797,inner_race,https://engineering.case.edu/sites/default/files/169.mat
cwru_de12k_full,209,209.mat,IR021_0,IR,0.021,0,1797,inner_race,https://engineering.case.edu/sites/default/files/209.mat
cwru_de12k_full,3001,3001.mat,IR028_0,IR,0.028,0,1797,inner_race,https://engineering.case.edu/sites/default/files/3001.mat
cwru_de12k_full,156,156.mat,OR007@12_0,OR,0.007,0,1797,outer_race_12,https://engineering.case.edu/sites/default/files/156.mat
cwru_de12k_full,144,144.mat,OR007@3_0,OR,0.007,0,1797,outer_race_3,https://engineering.case.edu/sites/default/files/144.mat
cwru_de12k_full,130,130.mat,OR007@6_0,OR,0.007,0,1797,outer_race_6,https://engineering.case.edu/sites/default/files/130.mat
cwru_de12k_full,197,197.mat,OR014@6_0,OR,0.014,0,1797,outer_race_6,https://engineering.case.edu/sites/default/files/197.mat
cwru_de12k_full,258,258.mat,OR021@12_0,OR,0.021,0,1797,outer_race_12,https://engineering.case.edu/sites/default/files/258.mat
cwru_de12k_full,246,246.mat,OR021@3_0,OR,0.021,0,1797,outer_race_3,https://engineering.case.edu/sites/default/files/246.mat
cwru_de12k_full,234,234.mat,OR021@6_0,OR,0.021,0,1797,outer_race_6,https://engineering.case.edu/sites/default/files/234.mat
cwru_de12k_full,97,97.mat,Normal_0,healthy,none,0,1797,none,https://engineering.case.edu/sites/default/files/97.mat
cwru_de12k_full,119,119.mat,B007_1,B,0.007,1,1772,ball,https://engineering.case.edu/sites/default/files/119.mat
cwru_de12k_full,186,186.mat,B014_1,B,0.014,1,1772,ball,https://engineering.case.edu/sites/default/files/186.mat
cwru_de12k_full,223,223.mat,B021_1,B,0.021,1,1772,ball,https://engineering.case.edu/sites/default/files/223.mat
cwru_de12k_full,3006,3006.mat,B028_1,B,0.028,1,1772,ball,https://engineering.case.edu/sites/default/files/3006.mat
cwru_de12k_full,106,106.mat,IR007_1,IR,0.007,1,1772,inner_race,https://engineering.case.edu/sites/default/files/106.mat
cwru_de12k_full,170,170.mat,IR014_1,IR,0.014,1,1772,inner_race,https://engineering.case.edu/sites/default/files/170.mat
cwru_de12k_full,210,210.mat,IR021_1,IR,0.021,1,1772,inner_race,https://engineering.case.edu/sites/default/files/210.mat
cwru_de12k_full,3002,3002.mat,IR028_1,IR,0.028,1,1772,inner_race,https://engineering.case.edu/sites/default/files/3002.mat
cwru_de12k_full,158,158.mat,OR007@12_1,OR,0.007,1,1772,outer_race_12,https://engineering.case.edu/sites/default/files/158.mat
cwru_de12k_full,145,145.mat,OR007@3_1,OR,0.007,1,1772,outer_race_3,https://engineering.case.edu/sites/default/files/145.mat
cwru_de12k_full,131,131.mat,OR007@6_1,OR,0.007,1,1772,outer_race_6,https://engineering.case.edu/sites/default/files/131.mat
cwru_de12k_full,198,198.mat,OR014@6_1,OR,0.014,1,1772,outer_race_6,https://engineering.case.edu/sites/default/files/198.mat
cwru_de12k_full,259,259.mat,OR021@12_1,OR,0.021,1,1772,outer_race_12,https://engineering.case.edu/sites/default/files/259.mat
cwru_de12k_full,247,247.mat,OR021@3_1,OR,0.021,1,1772,outer_race_3,https://engineering.case.edu/sites/default/files/247.mat
cwru_de12k_full,235,235.mat,OR021@6_1,OR,0.021,1,1772,outer_race_6,https://engineering.case.edu/sites/default/files/235.mat
cwru_de12k_full,98,98.mat,Normal_1,healthy,none,1,1772,none,https://engineering.case.edu/sites/default/files/98.mat
cwru_de12k_full,120,120.mat,B007_2,B,0.007,2,1750,ball,https://engineering.case.edu/sites/default/files/120.mat
cwru_de12k_full,187,187.mat,B014_2,B,0.014,2,1750,ball,https://engineering.case.edu/sites/default/files/187.mat
