split,train_n,test_n,train_healthy,test_healthy,train_IR,test_IR,train_B,test_B,train_OR,test_OR
within_load0,696,306,83,36,163,72,163,72,287,126
within_load1,780,341,165,71,164,72,164,72,287,126
within_load2,780,341,165,71,164,72,164,72,287,126
within_load3,781,342,165,72,165,72,164,72,287,126
leave_load0_out,3365,1002,709,119,709,235,708,235,1239,413
leave_load1_out,3246,1121,592,236,708,236,707,236,1239,413
leave_load2_out,3246,1121,592,236,708,236,707,236,1239,413
leave_load3_out,3244,1123,591,237,707,237,707,236,1239,413
train_load0_test_load1,1002,1121,119,236,235,236,235,236,413,413
train_load0_test_load2,1002,1121,119,236,235,236,235,236,413,413
train_load0_test_load3,1002,1123,119,237,235,237,235,236,413,413
