dataset,condition,public,local_status,rpm,torque_nm,radial_force_n,raw_fs_hz,analysis_fs_hz,window,hop,channels,classes,bearings_present,bearings_missing,windows_healthy,windows_OR,windows_IR,files_healthy,files_OR,files_IR,split_status,split_counts,claim_readiness,notes
PU,N09_M07_F10,yes,present,900,0.7,1000,64000,8000,2048,2048,vibration_1;phase_current_1;phase_current_2,healthy;OR;IR,K001;K002;K003;K004;K005;KA04;KA15;KA16;KA22;KA30;KI04;KI14;KI16;KI17;KI18;KI21,,1500,1503,1805,100,100,120,file_split_available,"train=3846 healthy:1200,OR:1202,IR:1444; test=962 healthy:300,OR:301,IR:361",main_condition_augmentation_results_exist,Processed PU files use one vibration channel plus two phase-current channels; internal X/Y/Z names are not three vibration axes.
PU,N15_M01_F10,yes,present,1500,0.1,1000,64000,8000,2048,2048,vibration_1;phase_current_1;phase_current_2,healthy;OR;IR,K001;K002;K003;K004;K005;KA04;KA15;KA16;KA22;KA30;KI04;KI14;KI16;KI17;KI18;KI21,,1503,1504,1807,100,100,120,file_split_available,"train=3853 healthy:1203,OR:1204,IR:1446; test=961 healthy:300,OR:300,IR:361",verifier_audit_ready; augmentation_pool_only_for_main_condition,Processed PU files use one vibration channel plus two phase-current channels; internal X/Y/Z names are not three vibration axes.
PU,N15_M07_F04,yes,present,1500,0.7,400,64000,8000,2048,2048,vibration_1;phase_current_1;phase_current_2,healthy;OR;IR,K001;K002;K003;K004;K005;KA04;KA15;KA16;KA22;KA30;KI04;KI14;KI16;KI17;KI18;KI21,,1502,1501,1807,100,100,120,file_split_available,"train=3850 healthy:1202,OR:1201,IR:1447; test=960 healthy:300,OR:300,IR:360",verifier_audit_ready; augmentation_pool_only_for_main_condition,Processed PU files use one vibration channel plus two phase-current channels; internal X/Y/Z names are not three vibration axes.
PU,N15_M07_F10,yes,present,1500,0.7,1000,64000,8000,2048,2048,vibration_1;phase_current_1;phase_current_2,healthy;OR;IR,K001;K002;K003;K004;K005;KA04;KA15;KA16;KA22;KA30;KI04;KI14;KI16;KI17;KI18;KI21,,1501,1501,1803,100,100,120,file_split_available,"train=3841 healthy:1200,OR:1200,IR:1441; test=964 healthy:301,OR:301,IR:362",verifier_audit_ready; augmentation_pool_only_for_main_condition,Processed PU files use one vibration channel plus two phase-current channels; internal X/Y/Z names are not three vibration axes.
CWRU,12k_drive_end_full,yes,present,1730-1797,,,12000,12000,2048,2048,DE,healthy;IR;B;OR,,,828,1652,944,4,28,16,within-load; leave-one-load-out; train-load0-to-target-load,"all=(4367, 1, 2048); healthy=828, IR=944, B=943, OR=1652",preprocessed_public_dataset_ready_for_smoke_downstream_and_cwru_schema_design,Official CWRU 12 kHz drive-end files. Full protocol uses DE-only because official 0.028 inch files lack FE/BA fields; no missing-channel padding is used.
IMS,run_to_failure_set_1,yes,present,2000,,6000 lbf,20000,20000,20480,one 1-second snapshot every recorded interval,Bearing 1 Ch1-2; Bearing 2 Ch3-4; Bearing 3 Ch5-6; Bearing 4 Ch7-8,run-to-failure terminal event only; no per-file fault-onset labels,,,,,,,,,archive_manifest_ready_no_supervised_fault_split,files_listed=2156; expected_readme=2156; count_matches_readme=true; first=2003-10-22 12:06:24; last=2003-11-25 23:39:56,blocked_without_explicit_run_to_failure_protocol,"NASA/IMS run-to-failure archive is local. The readme gives terminal failure descriptions, not per-file labels; do not use as CWRU-style multiclass fault classification without a separately justified protocol."
IMS,run_to_failure_set_2,yes,present,2000,,6000 lbf,20000,20000,20480,one 1-second snapshot every recorded interval,Bearing 1 Ch1; Bearing 2 Ch2; Bearing 3 Ch3; Bearing 4 Ch4,run-to-failure terminal event only; no per-file fault-onset labels,,,,,,,,,archive_manifest_ready_no_supervised_fault_split,files_listed=984; expected_readme=984; count_matches_readme=true; first=2004-02-12 10:32:39; last=2004-02-19 06:22:39,blocked_without_explicit_run_to_failure_protocol,"NASA/IMS run-to-failure archive is local. The readme gives terminal failure descriptions, not per-file labels; do not use as CWRU-style multiclass fault classification without a separately justified protocol."
IMS,run_to_failure_set_3,yes,present,2000,,6000 lbf,20000,20000,20480,one 1-second snapshot every recorded interval,Bearing 1 Ch1; Bearing 2 Ch2; Bearing 3 Ch3; Bearing 4 Ch4,run-to-failure terminal event only; no per-file fault-onset labels,,,,,,,,,archive_manifest_ready_no_supervised_fault_split,files_listed=6324; expected_readme=4448; count_matches_readme=false; first=2004-03-04 09:27:46; last=2004-04-18 02:42:55,blocked_without_explicit_run_to_failure_protocol,"NASA/IMS run-to-failure archive is local. The readme gives terminal failure descriptions, not per-file labels; do not use as CWRU-style multiclass fault classification without a separately justified protocol."
DIRG,VariableSpeedAndLoad,yes,present,6000-30000,,0/1000/1400/1800,51200,51200,4096,4096,A1x;A1y;A1z;A2x;A2y;A2z,healthy;IR450;IR250;IR150;roller450;roller250;roller150,0A;1A;2A;3A;4A;5A;6A,,2125,6375,6375,17,51,51,leave-one-speed-load-condition-out,"all=(14875, 6, 4096); conditions=17; healthy:2125,IR450:2125,IR250:2125,IR150:2125,roller450:2125,roller250:2125,roller150:2125",preprocessed_public_supervised_dataset_ready_for_downstream; synthetic_schema_pending,"Zenodo record 3559553, CC-BY-4.0. VariableSpeedAndLoad has seven labelled bearing conditions across 17 speed-load operating conditions; splits are frozen by held-out operating condition."
HIT,github_channel1_example,yes,present,see_full_dataset_metadata,,,not_defined_in_github_readme,not_defined_in_github_readme,2048,provided_windows,channel_1_example,class_0;class_1;class_2,,,,,,,,,provided_train_test_split,"train=(9648, 1, 2048) class_0:3816,class_1:4032,class_2:1800; test=(2412, 1, 2048) class_0:954,class_1:1008,class_2:450",supervised_channel1_example_ready_for_classifier_plumbing; physical_label_semantics_pending,"GitHub README identifies these files as Channel 1 example data for inter-shaft bearing fault diagnosis, but does not define the physical meaning of labels 0/1/2. Do not use this subset for physical fault-generation claims until label semantics and full metadata are verified."
JUST,JUST_Dataset_1,yes,metadata_present_partial_raw,"multiple conditions, see zip filenames after extraction",,"multiple conditions, see zip filenames after extraction",metadata_pending_extraction,metadata_pending_extraction,,,vibration;acoustic_emission,N;I;O;B1 per Mendeley description,,raw_full_archives,,,,,,,official_metadata_ready_raw_download_incomplete,6 condition zips; listed_bytes=9480676355; full_zip_bytes=9483563598; partial_raw_download=hwg8v5j8t6_condition1.zip:192864256 bytes,blocked_until_condition_zip_download_sha256_extract_smoke_preprocess_split,https://data.mendeley.com/datasets/hwg8v5j8t6; DOI 10.17632/hwg8v5j8t6.1; Mendeley Dataset ID hwg8v5j8t6; files=condition1.zip;condition2.zip;condition3.zip;condition4.zip;condition5.zip;condition6.zip; license parsed from page as CC-BY-4.0.
JUST,JUST_Dataset_2,yes,metadata_present,"multiple conditions, see zip filenames after extraction",,"multiple conditions, see zip filenames after extraction",metadata_pending_extraction,metadata_pending_extraction,,,vibration;acoustic_emission,N;I;O;B1 per Mendeley description,,raw_full_archives,,,,,,,official_metadata_ready_raw_download_incomplete,3 condition zips; listed_bytes=5047200472; full_zip_bytes=5048737712; no_raw_zip_local,blocked_until_condition_zip_download_sha256_extract_smoke_preprocess_split,https://data.mendeley.com/datasets/rcxgmdxhbr; DOI 10.17632/rcxgmdxhbr.1; Mendeley Dataset ID rcxgmdxhbr; files=condition7.zip;condition8.zip;condition9.zip; license parsed from page as CC-BY-4.0.
private_machine_tool,MT-1,no,present,unknown,unknown,unknown,4000,4000,2048,1024,X;Y;Z;Current,MT-1;MT-2;MT-3,,,,,,,,,train_file_split,"train MT-1: 675 windows, shape=(4, 2048)",schema_audit_only_no_public_core_claim,"Private data lack prefix-to-physical-label mapping, speed, geometry, and audited synthetic pools."
private_machine_tool,MT-2,no,present,unknown,unknown,unknown,4000,4000,2048,1024,X;Y;Z;Current,MT-1;MT-2;MT-3,,,,,,,,,train_file_split,"train MT-2: 383 windows, shape=(4, 2048)",schema_audit_only_no_public_core_claim,"Private data lack prefix-to-physical-label mapping, speed, geometry, and audited synthetic pools."
private_machine_tool,MT-3,no,present,unknown,unknown,unknown,4000,4000,2048,1024,X;Y;Z;Current,MT-1;MT-2;MT-3,,,,,,,,,train_file_split,"train MT-3: 679 windows, shape=(4, 2048)",schema_audit_only_no_public_core_claim,"Private data lack prefix-to-physical-label mapping, speed, geometry, and audited synthetic pools."
private_machine_tool,MT-1,no,present,unknown,unknown,unknown,4000,4000,2048,1024,X;Y;Z;Current,MT-1;MT-2;MT-3,,,,,,,,,test_file_split,"test MT-1: 166 windows, shape=(4, 2048)",schema_audit_only_no_public_core_claim,"Private data lack prefix-to-physical-label mapping, speed, geometry, and audited synthetic pools."
private_machine_tool,MT-2,no,present,unknown,unknown,unknown,4000,4000,2048,1024,X;Y;Z;Current,MT-1;MT-2;MT-3,,,,,,,,,test_file_split,"test MT-2: 166 windows, shape=(4, 2048)",schema_audit_only_no_public_core_claim,"Private data lack prefix-to-physical-label mapping, speed, geometry, and audited synthetic pools."
private_machine_tool,MT-3,no,present,unknown,unknown,unknown,4000,4000,2048,1024,X;Y;Z;Current,MT-1;MT-2;MT-3,,,,,,,,,test_file_split,"test MT-3: 154 windows, shape=(4, 2048)",schema_audit_only_no_public_core_claim,"Private data lack prefix-to-physical-label mapping, speed, geometry, and audited synthetic pools."
MFPT,,yes,official_endpoint_blocked,,,,,,,,,,,all,,,,,,,not_available,,blocked_until_download_preprocess_and_protocol,https://www.mfpt.org/fault-data-sets/ | Historical entry now redirects to ASNT/MFPT information page; no public .mat/.zip/.csv endpoint was found on 2026-07-05.
XJTU-SY,,yes,skipped_by_user,,,,,,,,,,,all,,,,,,,not_available,,blocked_until_download_preprocess_and_protocol,Xi'an Jiaotong University / Sumyoung bearing accelerated degradation data | User instructed to skip XJTU-SY on 2026-07-05 after repository/link audit. Do not count it as an included public dataset.
NCEPU,,yes,source_unverified,,,,,,,,,,,all,,,,,,,not_available,,blocked_until_download_preprocess_and_protocol,public source not verified in this workspace | Mentioned in BearGen-style coverage targets; local files and official metadata are absent.
