dataset,set_no,archive,member,timestamp,index_in_set,size_bytes,sampling_rate_hz,points_per_file,channels,terminal_failure_description,per_file_label_status
IMS,1,1st_test.rar,1st_test/2003.10.22.12.06.24,2003-10-22 12:06:24,0,1148716,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.09.13,2003-10-22 12:09:13,1,1149141,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.14.13,2003-10-22 12:14:13,2,1149766,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.19.13,2003-10-22 12:19:13,3,1149168,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.24.13,2003-10-22 12:24:13,4,1149152,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.29.13,2003-10-22 12:29:13,5,1149307,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.34.13,2003-10-22 12:34:13,6,1142313,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.39.13,2003-10-22 12:39:13,7,1149757,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.44.13,2003-10-22 12:44:13,8,1147587,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.49.13,2003-10-22 12:49:13,9,1148720,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
IMS,1,1st_test.rar,1st_test/2003.10.22.12.54.13,2003-10-22 12:54:13,10,1149938,20000,20480,8,inner-race defect in bearing 3 and roller-element defect in bearing 4 at experiment end,unlabeled_progression_snapshot
