dataset,comparison,shot,metric,seed,llm,comparator,delta_pp
Berkeley,noise_aug,2,acc,0,0.7755,0.7167,5.879999999999996
Berkeley,noise_aug,2,acc,1,0.8235,0.7353,8.820000000000006
Berkeley,noise_aug,2,acc,2,0.7771,0.7601,1.7000000000000015
Berkeley,noise_aug,2,acc,3,0.7864,0.7152,7.1200000000000045
Berkeley,noise_aug,2,acc,4,0.7724,0.743,2.939999999999998
Berkeley,noise_aug,2,acc,5,0.7957,0.4783,31.739999999999995
Berkeley,noise_aug,2,acc,6,0.7864,0.7848,0.15999999999999348
Berkeley,noise_aug,2,acc,7,0.7523,0.6285,12.380000000000003
Berkeley,noise_aug,2,acc,8,0.7724,0.6285,14.390000000000002
Berkeley,noise_aug,2,acc,9,0.7988,0.6563,14.249999999999996
Berkeley,noise_aug,2,acc,10,0.805,0.7988,0.6200000000000094
Berkeley,noise_aug,2,acc,11,0.7848,0.695,8.980000000000011
Berkeley,noise_aug,2,acc,12,0.7864,0.4303,35.61
Berkeley,noise_aug,2,acc,13,0.7895,0.7399,4.959999999999997
Berkeley,noise_aug,2,acc,14,0.7693,0.7508,1.849999999999996
Berkeley,noise_aug,2,acc,15,0.7384,0.6533,8.509999999999994
Berkeley,noise_aug,2,acc,16,0.7957,0.7802,1.5499999999999958
Berkeley,noise_aug,2,acc,17,0.8111,0.7957,1.540000000000008
Berkeley,noise_aug,2,acc,18,0.7926,0.709,8.360000000000001
Berkeley,noise_aug,2,acc,19,0.8251,0.7585,6.659999999999999
Berkeley,noise_aug,2,acc,20,0.7709,0.7461,2.4800000000000044
Berkeley,noise_aug,2,acc,21,0.8096,0.6424,16.720000000000002
Berkeley,noise_aug,2,acc,22,0.7864,0.7446,4.179999999999994
Berkeley,noise_aug,2,acc,23,0.7848,0.808,-2.32
Berkeley,noise_aug,2,acc,24,0.7879,0.7833,0.46000000000000485
Berkeley,noise_aug,2,acc,25,0.8158,0.8375,-2.1700000000000053
Berkeley,noise_aug,2,acc,26,0.7926,0.8065,-1.3900000000000023
Berkeley,noise_aug,2,acc,27,0.7647,0.6455,11.920000000000009
Berkeley,noise_aug,2,acc,28,0.774,0.5433,23.07
