class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
OR,real,0.0,3.5356353099529824e-05,9.716131196779396e-05,0.00037086119256441894,1202,500-2000
OR,real,3.90625,7.173594089931257e-05,0.00019313998343121634,0.00045338437684867546,1202,500-2000
OR,real,7.8125,7.993192162583881e-05,0.00019196655512671945,0.0004442719106294243,1202,500-2000
OR,real,11.71875,7.739480735506096e-05,0.00028534400838928957,0.0015486021742077585,1202,500-2000
OR,real,15.625,8.41196812389052e-05,0.00031063680838652855,0.0024479847800703914,1202,500-2000
OR,real,19.53125,7.093579699551e-05,0.00026810102317281845,0.001164562783526547,1202,500-2000
OR,real,23.4375,6.375179878351528e-05,0.00015126914779541836,0.0003828294656902494,1202,500-2000
OR,real,27.34375,7.699593463935477e-05,0.00021930955515267686,0.0008907617704457018,1202,500-2000
OR,real,31.25,8.043409968983697e-05,0.0002499933018717711,0.001263862006081712,1202,500-2000
OR,real,35.15625,7.577550704508359e-05,0.00024973437374372666,0.0008636536858523246,1202,500-2000
OR,real,39.0625,7.312052758096506e-05,0.00026736353374792277,0.0008443954999017701,1202,500-2000
OR,real,42.96875,7.99339911093913e-05,0.0003035436662950548,0.008412059276834687,1202,500-2000
OR,real,46.875,9.051260317709009e-05,0.00039204595268687914,0.01176685007740032,1202,500-2000
OR,real,50.78125,0.00020657404032442317,0.0005999529294794465,0.003971927128789126,1202,500-2000
OR,real,54.6875,0.00018200061221944217,0.00035165514831155665,0.0006960034366437359,1202,500-2000
OR,real,58.59375,8.074578185072721e-05,0.0002816018631024849,0.0020869657472570094,1202,500-2000
OR,real,62.5,7.417360634200171e-05,0.00027350367101443496,0.0023710511286793214,1202,500-2000
OR,real,66.40625,7.47909898148769e-05,0.00022961731762066975,0.0006947747626484297,1202,500-2000
OR,real,70.3125,6.915010260201713e-05,0.00018407720213501515,0.00047576499929629073,1202,500-2000
OR,real,74.21875,6.74900814977149e-05,0.0002515393069453866,0.0017617789476049171,1202,500-2000
OR,real,78.125,6.918559285696972e-05,0.00023856520224286822,0.0022933801415732764,1202,500-2000
OR,real,82.03125,7.101502970506581e-05,0.0002237348058739384,0.0007086512678589937,1202,500-2000
OR,real,85.9375,9.706083438184534e-05,0.0002545326670578531,0.000957622661610863,1202,500-2000
OR,real,89.84375,8.802062556454363e-05,0.00030075250565298796,0.0029699229640455112,1202,500-2000
OR,real,93.75,7.75621636139888e-05,0.00029779140499715435,0.0032858829512719314,1202,500-2000
OR,real,97.65625,8.481491774715966e-05,0.0003631998068696141,0.0010127832573276982,1202,500-2000
OR,real,101.5625,0.00012360318946571687,0.0003306015411163592,0.0006951635728692956,1202,500-2000
OR,real,105.46875,0.00019012537564997998,0.0005453128803586771,0.001639504378805758,1202,500-2000
OR,real,109.375,9.285644894727524e-05,0.0003514467182543549,0.0015094405953865729,1202,500-2000
OR,real,113.28125,6.950268168597709e-05,0.00017563321986868897,0.0004492429169146687,1202,500-2000
OR,real,117.1875,6.736657387451095e-05,0.0002070339206672182,0.0006902700010012683,1202,500-2000
OR,real,121.09375,6.510255479914127e-05,0.00023826628415250187,0.0025556360508299926,1202,500-2000
OR,real,125.0,6.263703686639533e-05,0.0002581939389538893,0.002336705359316033,1202,500-2000
OR,real,128.90625,6.399081805677208e-05,0.0001748509484174688,0.0005375442625907929,1202,500-2000
OR,real,132.8125,6.661328595211536e-05,0.00022257988633044186,0.001773662788290963,1202,500-2000
OR,real,136.71875,6.53342211471285e-05,0.00023289572858229272,0.005242092624859131,1202,500-2000
OR,real,140.625,6.805281600384345e-05,0.0002570484940462121,0.0036629433509084933,1202,500-2000
OR,real,144.53125,6.983316822273348e-05,0.00018864950067606868,0.00055353825759447,1202,500-2000
OR,real,148.4375,7.956903597117333e-05,0.00029742567738085923,0.0011317782625765,1202,500-2000
OR,real,152.34375,8.252416812630775e-05,0.00037489424846644747,0.002647583629262791,1202,500-2000
OR,real,156.25,0.00015199750945021665,0.0004122683904844033,0.0015526927467267783,1202,500-2000
OR,real,160.15625,0.00011580678341358632,0.0002194860859692235,0.00044627093025659536,1202,500-2000
OR,real,164.0625,6.821220570954562e-05,0.00023315111969589736,0.000813437546824779,1202,500-2000
OR,real,167.96875,6.528918734700104e-05,0.0002445785499888785,0.0020243303157791884,1202,500-2000
OR,real,171.875,7.612968914682351e-05,0.0002208227907329499,0.0013813040551365475,1202,500-2000
OR,real,175.78125,7.272793334341873e-05,0.00016222640432079382,0.0004365518918422436,1202,500-2000
OR,real,179.6875,6.396279578279427e-05,0.00021874625570733632,0.002454299357812623,1202,500-2000
OR,real,183.59375,6.587961305115395e-05,0.00022404669854117877,0.005436382349392834,1202,500-2000
OR,real,187.5,6.43220516255746e-05,0.00022343793302843194,0.0028433126582606775,1202,500-2000
OR,real,191.40625,6.214158194119986e-05,0.00017626253049917782,0.000453438843106024,1202,500-2000
OR,real,195.3125,6.345549363454515e-05,0.00027440155192958945,0.0014351775865464014,1202,500-2000
OR,real,199.21875,6.659552466379826e-05,0.00029673650852552716,0.0023005425450374627,1202,500-2000
OR,real,203.125,7.122206027975537e-05,0.0003061875864429047,0.0010061382807109507,1202,500-2000
OR,real,207.03125,0.00010142910149903618,0.00022535589925489743,0.00045073468839356714,1202,500-2000
