class,source,source_index,sample,time_ms,amplitude
OR,real,2086,0,0.0,-0.010071766562759876
OR,real,2086,1,0.125,-0.0031008757650852203
OR,real,2086,2,0.25,0.04152359440922737
OR,real,2086,3,0.375,0.03951989859342575
OR,real,2086,4,0.5,0.07557366043329239
OR,real,2086,5,0.625,0.049600232392549515
OR,real,2086,6,0.75,0.03288963437080383
OR,real,2086,7,0.875,0.07750608772039413
OR,real,2086,8,1.0,0.010644624941051006
OR,real,2086,9,1.125,0.053504616022109985
OR,real,2086,10,1.25,0.045487210154533386
OR,real,2086,11,1.375,0.04407808184623718
OR,real,2086,12,1.5,-0.0021902474109083414
OR,real,2086,13,1.625,0.02855686843395233
OR,real,2086,14,1.75,0.06284494698047638
OR,real,2086,15,1.875,0.07534707337617874
OR,real,2086,16,2.0,0.05496275797486305
OR,real,2086,17,2.125,0.011472726240754128
OR,real,2086,18,2.25,0.0482696034014225
OR,real,2086,19,2.375,0.020073961466550827
OR,real,2086,20,2.5,0.07838656008243561
OR,real,2086,21,2.625,0.033211272209882736
OR,real,2086,22,2.75,0.045778270810842514
OR,real,2086,23,2.875,0.036790527403354645
OR,real,2086,24,3.0,0.007581112440675497
OR,real,2086,25,3.125,0.028114337474107742
OR,real,2086,26,3.25,0.017883511260151863
OR,real,2086,27,3.375,0.0800090879201889
OR,real,2086,28,3.5,0.05074670538306236
OR,real,2086,29,3.625,0.021141421049833298
OR,real,2086,30,3.75,0.046333130449056625
OR,real,2086,31,3.875,0.03094915673136711
OR,real,2086,32,4.0,0.1057278960943222
OR,real,2086,33,4.125,0.03393646329641342
OR,real,2086,34,4.25,-0.0032327466178685427
OR,real,2086,35,4.375,0.020924458280205727
OR,real,2086,36,4.5,-0.04187879338860512
OR,real,2086,37,4.625,0.09247403591871262
OR,real,2086,38,4.75,0.07349678128957748
OR,real,2086,39,4.875,0.03289328143000603
OR,real,2086,40,5.0,0.005224036052823067
OR,real,2086,41,5.125,0.03326447308063507
OR,real,2086,42,5.25,0.0752294659614563
OR,real,2086,43,5.375,0.10388053208589554
OR,real,2086,44,5.5,0.07986866682767868
OR,real,2086,45,5.625,0.02467542141675949
OR,real,2086,46,5.75,0.04003174602985382
OR,real,2086,47,5.875,0.004480964038521051
OR,real,2086,48,6.0,0.006633571814745665
OR,real,2086,49,6.125,0.03137872368097305
OR,real,2086,50,6.25,0.03946059197187424
OR,real,2086,51,6.375,0.043122898787260056
OR,real,2086,52,6.5,0.019465826451778412
OR,real,2086,53,6.625,0.07157912850379944
OR,real,2086,54,6.75,0.07038945704698563
OR,real,2086,55,6.875,0.07452212274074554
OR,real,2086,56,7.0,0.04529509320855141
OR,real,2086,57,7.125,0.010747387073934078
OR,real,2086,58,7.25,0.022616906091570854
OR,real,2086,59,7.375,-0.07673654705286026
OR,real,2086,60,7.5,0.03699127212166786
OR,real,2086,61,7.625,0.047515373677015305
OR,real,2086,62,7.75,0.0871497169137001
OR,real,2086,63,7.875,0.0636163204908371
OR,real,2086,64,8.0,-0.011252379976212978
OR,real,2086,65,8.125,0.08195749670267105
OR,real,2086,66,8.25,0.06403346359729767
OR,real,2086,67,8.375,0.07206694781780243
OR,real,2086,68,8.5,0.04020180180668831
OR,real,2086,69,8.625,0.024113204330205917
OR,real,2086,70,8.75,0.052228253334760666
OR,real,2086,71,8.875,0.006451879162341356
OR,real,2086,72,9.0,0.0684286579489708
OR,real,2086,73,9.125,0.02257264032959938
OR,real,2086,74,9.25,0.03019261360168457
OR,real,2086,75,9.375,0.017078302800655365
OR,real,2086,76,9.5,-0.008382636122405529
OR,real,2086,77,9.625,0.015775028616189957
OR,real,2086,78,9.75,0.019568590447306633
OR,real,2086,79,9.875,0.08896856755018234
OR,real,2086,80,10.0,0.05510091036558151
OR,real,2086,81,10.125,0.03736307844519615
OR,real,2086,82,10.25,0.04430419206619263
OR,real,2086,83,10.375,-0.02375955507159233
OR,real,2086,84,10.5,0.07366958260536194
OR,real,2086,85,10.625,0.05472550168633461
OR,real,2086,86,10.75,0.01351869385689497
OR,real,2086,87,10.875,0.05599542707204819
OR,real,2086,88,11.0,0.08028414845466614
OR,real,2086,89,11.125,0.13117946684360504
OR,real,2086,90,11.25,0.04683706536889076
OR,real,2086,91,11.375,0.023404335603117943
OR,real,2086,92,11.5,0.045824822038412094
OR,real,2086,93,11.625,0.04045930132269859
OR,real,2086,94,11.75,0.049880191683769226
OR,real,2086,95,11.875,0.03842754662036896
OR,real,2086,96,12.0,0.016494527459144592
OR,real,2086,97,12.125,0.01630968600511551
OR,real,2086,98,12.25,0.03427974879741669
OR,real,2086,99,12.375,0.047539956867694855
OR,real,2086,100,12.5,0.06530199199914932
OR,real,2086,101,12.625,0.04241494834423065
OR,real,2086,102,12.75,0.04339811950922012
OR,real,2086,103,12.875,0.03961789980530739
OR,real,2086,104,13.0,0.043339237570762634
OR,real,2086,105,13.125,-0.08442797511816025
OR,real,2086,106,13.25,0.04757761210203171
OR,real,2086,107,13.375,0.035983551293611526
OR,real,2086,108,13.5,0.051818203181028366
OR,real,2086,109,13.625,0.05795302987098694
OR,real,2086,110,13.75,0.019314128905534744
OR,real,2086,111,13.875,0.05228706821799278
OR,real,2086,112,14.0,0.10297524183988571
OR,real,2086,113,14.125,0.06814081966876984
OR,real,2086,114,14.25,0.016968954354524612
OR,real,2086,115,14.375,0.010583032853901386
OR,real,2086,116,14.5,-0.03604220598936081
OR,real,2086,117,14.625,0.030398454517126083
OR,real,2086,118,14.75,0.03784403204917908
OR,real,2086,119,14.875,0.03618892282247543
OR,real,2086,120,15.0,0.09723397344350815
OR,real,2086,121,15.125,0.01364001166075468
OR,real,2086,122,15.25,0.10614534467458725
OR,real,2086,123,15.375,0.1036166176199913
OR,real,2086,124,15.5,0.058495111763477325
OR,real,2086,125,15.625,0.01746622659265995
OR,real,2086,126,15.75,0.0008010848541744053
OR,real,2086,127,15.875,0.025171225890517235
OR,real,2086,128,16.0,0.04889906942844391
OR,real,2086,129,16.125,0.05974544957280159
OR,real,2086,130,16.25,0.04077448323369026
OR,real,2086,131,16.375,0.026226572692394257
OR,real,2086,132,16.5,0.0024621449410915375
OR,real,2086,133,16.625,0.04289183393120766
OR,real,2086,134,16.75,0.07453365623950958
OR,real,2086,135,16.875,0.07028394937515259
OR,real,2086,136,17.0,0.010880550369620323
OR,real,2086,137,17.125,-0.08839675039052963
OR,real,2086,138,17.25,0.11877021938562393
OR,real,2086,139,17.375,0.11695834249258041
OR,real,2086,140,17.5,0.17185452580451965
OR,real,2086,141,17.625,0.12315776199102402
OR,real,2086,142,17.75,0.15217261016368866
OR,real,2086,143,17.875,0.17854079604148865
OR,real,2086,144,18.0,0.13684354722499847
OR,real,2086,145,18.125,0.03706509619951248
OR,real,2086,146,18.25,-0.11002995073795319
OR,real,2086,147,18.375,0.08788132667541504
OR,real,2086,148,18.5,0.020474674180150032
OR,real,2086,149,18.625,-0.037207767367362976
OR,real,2086,150,18.75,0.07007905095815659
OR,real,2086,151,18.875,-0.001675841398537159
OR,real,2086,152,19.0,0.07649554312229156
OR,real,2086,153,19.125,0.09180964529514313
OR,real,2086,154,19.25,0.03326806426048279
OR,real,2086,155,19.375,0.06571183353662491
OR,real,2086,156,19.5,0.018974214792251587
OR,real,2086,157,19.625,0.05422477051615715
OR,real,2086,158,19.75,0.030276821926236153
OR,real,2086,159,19.875,0.031586963683366776
OR,real,2086,160,20.0,0.039302174001932144
OR,real,2086,161,20.125,0.023157337680459023
OR,real,2086,162,20.25,0.0923568457365036
OR,real,2086,163,20.375,0.017005572095513344
OR,real,2086,164,20.5,0.01948297582566738
OR,real,2086,165,20.625,0.03219189494848251
