dataset,method,class,metric,metric_label,method_distance,rule_distance,log2_ratio,n_pool,status
pu,llm,healthy,rms_w1,RMS-W1,0.00678454035,0.02775606638,-2.0324801400549615,150,available
pu,llm,healthy,kurtosis_w1,Kurtosis-W1,4.494772631,4.447599335,0.015221310804763147,150,available
pu,llm,healthy,psd_w1_mean,PSD-W1,111.9424618,73.52858684,0.6063802175741353,150,available
pu,llm,healthy,band_energy_relative_error_mean,Band error,0.02214573859,0.06185985481,-1.4819743334764237,150,available
pu,llm,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,150,NA: metric unavailable
pu,llm,OR,rms_w1,RMS-W1,0.01307038771,0.05284261033,-2.015399798115654,150,available
pu,llm,OR,kurtosis_w1,Kurtosis-W1,0.8574568131,2.189934326,-1.3527516903921495,150,available
pu,llm,OR,psd_w1_mean,PSD-W1,445.2618132,634.5275882,-0.5110290035579954,150,available
pu,llm,OR,band_energy_relative_error_mean,Band error,0.06442475568,0.5754285893,-3.158949834950358,150,available
pu,llm,OR,envelope_frequency_alignment_error_hz,Fault align.,1.089703457,0.8164802065,0.4164457683385797,150,available
pu,llm,IR,rms_w1,RMS-W1,0.003163510522,0.01119220844,-1.8228964366904188,150,available
pu,llm,IR,kurtosis_w1,Kurtosis-W1,2.621690843,3.636861195,-0.47219629570515337,150,available
pu,llm,IR,psd_w1_mean,PSD-W1,153.5791521,106.7646124,0.5245488492677908,150,available
pu,llm,IR,band_energy_relative_error_mean,Band error,0.04625293898,0.06634449792,-0.5204317854991675,150,available
pu,llm,IR,envelope_frequency_alignment_error_hz,Fault align.,0.7685276822,0.2772697935,1.4708067724648672,150,available
pu,noise_aug,healthy,rms_w1,RMS-W1,0.00297316613,0.02775606638,-3.222731138785273,150,available
pu,noise_aug,healthy,kurtosis_w1,Kurtosis-W1,0.371264863,4.447599335,-3.582506139564572,150,available
pu,noise_aug,healthy,psd_w1_mean,PSD-W1,140.0706514,73.52858684,0.9297775408250184,150,available
pu,noise_aug,healthy,band_energy_relative_error_mean,Band error,0.005108399933,0.06185985481,-3.5980600651669636,150,available
pu,noise_aug,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,150,NA: metric unavailable
pu,noise_aug,OR,rms_w1,RMS-W1,0.006782334825,0.05284261033,-2.961847821813482,150,available
pu,noise_aug,OR,kurtosis_w1,Kurtosis-W1,0.229249193,2.189934326,-3.255899045068636,150,available
pu,noise_aug,OR,psd_w1_mean,PSD-W1,565.9873114,634.5275882,-0.1649131810747826,150,available
pu,noise_aug,OR,band_energy_relative_error_mean,Band error,0.01837924087,0.5754285893,-4.968487816602981,150,available
pu,noise_aug,OR,envelope_frequency_alignment_error_hz,Fault align.,3.042828457,0.8164802065,1.8979231857041623,150,available
pu,noise_aug,IR,rms_w1,RMS-W1,0.002811443159,0.01119220844,-1.9931119518755662,150,available
pu,noise_aug,IR,kurtosis_w1,Kurtosis-W1,0.2214162321,3.636861195,-4.037860969147002,150,available
pu,noise_aug,IR,psd_w1_mean,PSD-W1,221.139901,106.7646124,1.0505258202098589,150,available
pu,noise_aug,IR,band_energy_relative_error_mean,Band error,0.01892199699,0.06634449792,-1.8099124691294932,150,available
pu,noise_aug,IR,envelope_frequency_alignment_error_hz,Fault align.,2.045385112,0.2772697935,2.883010145163944,150,available
pu,random_open_loop,healthy,rms_w1,RMS-W1,0.02690473212,0.02775606638,-0.044943179579982825,150,available
pu,random_open_loop,healthy,kurtosis_w1,Kurtosis-W1,4.815559675,4.447599335,0.11467665326810818,150,available
pu,random_open_loop,healthy,psd_w1_mean,PSD-W1,512.3257908,73.52858684,2.800684356916608,150,available
pu,random_open_loop,healthy,band_energy_relative_error_mean,Band error,0.5660547881,0.06185985481,3.193866344970507,150,available
pu,random_open_loop,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,150,NA: metric unavailable
pu,random_open_loop,OR,rms_w1,RMS-W1,0.01493391824,0.05284261033,-1.8231089971593497,150,available
pu,random_open_loop,OR,kurtosis_w1,Kurtosis-W1,1.414179094,2.189934326,-0.6309227684299628,150,available
pu,random_open_loop,OR,psd_w1_mean,PSD-W1,448.2418122,634.5275882,-0.5014056610268557,150,available
pu,random_open_loop,OR,band_energy_relative_error_mean,Band error,0.7283432173,0.5754285893,0.33998155110723927,150,available
pu,random_open_loop,OR,envelope_frequency_alignment_error_hz,Fault align.,1.323649957,0.8164802065,0.6970318309456741,150,available
pu,random_open_loop,IR,rms_w1,RMS-W1,0.03075383423,0.01119220844,1.4582715533263304,150,available
