feedback_round_k,class,newly_admitted,cumulative_admitted,total_slots,cumulative_rate
0,healthy,73,73,150,0.486666666667
0,OR,75,75,150,0.5
0,IR,57,57,150,0.38
0,all,205,205,450,0.455555555556
1,healthy,10,83,150,0.553333333333
1,OR,7,82,150,0.546666666667
1,IR,19,76,150,0.506666666667
1,all,36,241,450,0.535555555556
2,healthy,6,89,150,0.593333333333
2,OR,5,87,150,0.58
2,IR,16,92,150,0.613333333333
2,all,27,268,450,0.595555555556
3,healthy,1,90,150,0.6
3,OR,3,90,150,0.6
3,IR,14,106,150,0.706666666667
3,all,18,286,450,0.635555555556
