version,split,condition,n_real,metric,passed_count,registered_comparisons
v1,loco_N09_M07_F10,N09_M07_F10,5,acc,1,4
v1,loco_N09_M07_F10,N09_M07_F10,5,macro_f1,2,4
v1,loco_N09_M07_F10,N09_M07_F10,10,acc,1,4
v1,loco_N09_M07_F10,N09_M07_F10,10,macro_f1,1,4
v1,loco_N09_M07_F10,N09_M07_F10,25,acc,1,4
v1,loco_N09_M07_F10,N09_M07_F10,25,macro_f1,1,4
v1,loco_N15_M01_F10,N15_M01_F10,5,acc,0,4
v1,loco_N15_M01_F10,N15_M01_F10,5,macro_f1,0,4
v1,loco_N15_M01_F10,N15_M01_F10,10,acc,0,4
v1,loco_N15_M01_F10,N15_M01_F10,10,macro_f1,1,4
v1,loco_N15_M01_F10,N15_M01_F10,25,acc,0,4
v1,loco_N15_M01_F10,N15_M01_F10,25,macro_f1,0,4
v1,loco_N15_M07_F04,N15_M07_F04,5,acc,3,4
v1,loco_N15_M07_F04,N15_M07_F04,5,macro_f1,3,4
v1,loco_N15_M07_F04,N15_M07_F04,10,acc,3,4
v1,loco_N15_M07_F04,N15_M07_F04,10,macro_f1,3,4
v1,loco_N15_M07_F04,N15_M07_F04,25,acc,2,4
v1,loco_N15_M07_F04,N15_M07_F04,25,macro_f1,2,4
v1,loco_N15_M07_F10,N15_M07_F10,5,acc,2,4
v1,loco_N15_M07_F10,N15_M07_F10,5,macro_f1,3,4
v1,loco_N15_M07_F10,N15_M07_F10,10,acc,3,4
v1,loco_N15_M07_F10,N15_M07_F10,10,macro_f1,3,4
v1,loco_N15_M07_F10,N15_M07_F10,25,acc,2,4
v1,loco_N15_M07_F10,N15_M07_F10,25,macro_f1,2,4
v2,loco_N09_M07_F10,N09_M07_F10,5,acc,2,4
v2,loco_N09_M07_F10,N09_M07_F10,5,macro_f1,2,4
v2,loco_N09_M07_F10,N09_M07_F10,10,acc,1,4
v2,loco_N09_M07_F10,N09_M07_F10,10,macro_f1,2,4
v2,loco_N09_M07_F10,N09_M07_F10,25,acc,1,4
v2,loco_N09_M07_F10,N09_M07_F10,25,macro_f1,1,4
v2,loco_N15_M01_F10,N15_M01_F10,5,acc,0,4
v2,loco_N15_M01_F10,N15_M01_F10,5,macro_f1,0,4
v2,loco_N15_M01_F10,N15_M01_F10,10,acc,0,4
v2,loco_N15_M01_F10,N15_M01_F10,10,macro_f1,1,4
v2,loco_N15_M01_F10,N15_M01_F10,25,acc,0,4
v2,loco_N15_M01_F10,N15_M01_F10,25,macro_f1,0,4
v2,loco_N15_M07_F04,N15_M07_F04,5,acc,2,4
v2,loco_N15_M07_F04,N15_M07_F04,5,macro_f1,2,4
v2,loco_N15_M07_F04,N15_M07_F04,10,acc,3,4
v2,loco_N15_M07_F04,N15_M07_F04,10,macro_f1,3,4
v2,loco_N15_M07_F04,N15_M07_F04,25,acc,2,4
v2,loco_N15_M07_F04,N15_M07_F04,25,macro_f1,2,4
v2,loco_N15_M07_F10,N15_M07_F10,5,acc,2,4
v2,loco_N15_M07_F10,N15_M07_F10,5,macro_f1,0,4
v2,loco_N15_M07_F10,N15_M07_F10,10,acc,3,4
v2,loco_N15_M07_F10,N15_M07_F10,10,macro_f1,3,4
v2,loco_N15_M07_F10,N15_M07_F10,25,acc,2,4
v2,loco_N15_M07_F10,N15_M07_F10,25,macro_f1,2,4
