class,source,metric,rank,value,ecdf,n_windows,reference_split
healthy,real,RMS,1,0.04238885602361702,0.0008333333333333334,1200,PU outer-training only
healthy,real,RMS,2,0.0425699534996282,0.0016666666666666668,1200,PU outer-training only
healthy,real,RMS,3,0.04262250049022352,0.0025,1200,PU outer-training only
healthy,real,RMS,4,0.0426355770872311,0.0033333333333333335,1200,PU outer-training only
healthy,real,RMS,5,0.04267134377561939,0.004166666666666667,1200,PU outer-training only
healthy,real,RMS,6,0.042680788145852806,0.005,1200,PU outer-training only
healthy,real,RMS,7,0.042685162598787324,0.005833333333333334,1200,PU outer-training only
healthy,real,RMS,8,0.042784881413058994,0.006666666666666667,1200,PU outer-training only
healthy,real,RMS,9,0.04282497115393653,0.0075,1200,PU outer-training only
healthy,real,RMS,10,0.042837444481267965,0.008333333333333333,1200,PU outer-training only
healthy,real,RMS,11,0.042866413775309364,0.009166666666666667,1200,PU outer-training only
healthy,real,RMS,12,0.04290490262605423,0.01,1200,PU outer-training only
healthy,real,RMS,13,0.042913588050690704,0.010833333333333334,1200,PU outer-training only
healthy,real,RMS,14,0.04295059857029097,0.011666666666666667,1200,PU outer-training only
healthy,real,RMS,15,0.042994867924425036,0.0125,1200,PU outer-training only
healthy,real,RMS,16,0.04307704935335761,0.013333333333333334,1200,PU outer-training only
healthy,real,RMS,17,0.043113003343954646,0.014166666666666666,1200,PU outer-training only
healthy,real,RMS,18,0.04316810124847256,0.015,1200,PU outer-training only
healthy,real,RMS,19,0.04318779049272552,0.015833333333333335,1200,PU outer-training only
healthy,real,RMS,20,0.043206372355268884,0.016666666666666666,1200,PU outer-training only
healthy,real,RMS,21,0.04321127189722464,0.0175,1200,PU outer-training only
healthy,real,RMS,22,0.043240377364015925,0.018333333333333333,1200,PU outer-training only
healthy,real,RMS,23,0.043278574538879226,0.019166666666666665,1200,PU outer-training only
healthy,real,RMS,24,0.043320633131180605,0.02,1200,PU outer-training only
healthy,real,RMS,25,0.043332632183018784,0.020833333333333332,1200,PU outer-training only
healthy,real,RMS,26,0.0433999562998509,0.021666666666666667,1200,PU outer-training only
healthy,real,RMS,27,0.04340233456250261,0.0225,1200,PU outer-training only
healthy,real,RMS,28,0.043424808757726086,0.023333333333333334,1200,PU outer-training only
healthy,real,RMS,29,0.043431940921880234,0.024166666666666666,1200,PU outer-training only
healthy,real,RMS,30,0.043505120897981836,0.025,1200,PU outer-training only
healthy,real,RMS,31,0.0435249469405648,0.025833333333333333,1200,PU outer-training only
healthy,real,RMS,32,0.043531812865203814,0.02666666666666667,1200,PU outer-training only
healthy,real,RMS,33,0.04357468682672856,0.0275,1200,PU outer-training only
healthy,real,RMS,34,0.043603629606190165,0.028333333333333332,1200,PU outer-training only
healthy,real,RMS,35,0.04362499563785751,0.029166666666666667,1200,PU outer-training only
healthy,real,RMS,36,0.04365020929755008,0.03,1200,PU outer-training only
healthy,real,RMS,37,0.04367659010741872,0.030833333333333334,1200,PU outer-training only
healthy,real,RMS,38,0.04368477814237719,0.03166666666666667,1200,PU outer-training only
healthy,real,RMS,39,0.043685502127598315,0.0325,1200,PU outer-training only
healthy,real,RMS,40,0.043697416882595624,0.03333333333333333,1200,PU outer-training only
healthy,real,RMS,41,0.04370560578562165,0.034166666666666665,1200,PU outer-training only
healthy,real,RMS,42,0.043730893125718595,0.035,1200,PU outer-training only
healthy,real,RMS,43,0.04373466260119134,0.035833333333333335,1200,PU outer-training only
healthy,real,RMS,44,0.04375695238596907,0.03666666666666667,1200,PU outer-training only
healthy,real,RMS,45,0.04379609931204327,0.0375,1200,PU outer-training only
healthy,real,RMS,46,0.04382405172696404,0.03833333333333333,1200,PU outer-training only
healthy,real,RMS,47,0.04383132732782706,0.03916666666666667,1200,PU outer-training only
healthy,real,RMS,48,0.04383322478389685,0.04,1200,PU outer-training only
healthy,real,RMS,49,0.04385737525582984,0.04083333333333333,1200,PU outer-training only
healthy,real,RMS,50,0.04386185720927968,0.041666666666666664,1200,PU outer-training only
healthy,real,RMS,51,0.04391082087064063,0.0425,1200,PU outer-training only
healthy,real,RMS,52,0.04392466598340317,0.043333333333333335,1200,PU outer-training only
healthy,real,RMS,53,0.043965303182584806,0.04416666666666667,1200,PU outer-training only
healthy,real,RMS,54,0.04396922886493654,0.045,1200,PU outer-training only
healthy,real,RMS,55,0.04399036760553587,0.04583333333333333,1200,PU outer-training only
healthy,real,RMS,56,0.044042916600027834,0.04666666666666667,1200,PU outer-training only
healthy,real,RMS,57,0.044077740962771915,0.0475,1200,PU outer-training only
healthy,real,RMS,58,0.044080492687702595,0.04833333333333333,1200,PU outer-training only
healthy,real,RMS,59,0.044105745516745815,0.049166666666666664,1200,PU outer-training only
healthy,real,RMS,60,0.04413048850591312,0.05,1200,PU outer-training only
healthy,real,RMS,61,0.044173832211102625,0.050833333333333335,1200,PU outer-training only
healthy,real,RMS,62,0.0441751367785627,0.051666666666666666,1200,PU outer-training only
healthy,real,RMS,63,0.04417517601320208,0.0525,1200,PU outer-training only
healthy,real,RMS,64,0.044182363972698216,0.05333333333333334,1200,PU outer-training only
healthy,real,RMS,65,0.044212370718539236,0.05416666666666667,1200,PU outer-training only
healthy,real,RMS,66,0.04423546632137009,0.055,1200,PU outer-training only
healthy,real,RMS,67,0.044261992840817416,0.05583333333333333,1200,PU outer-training only
healthy,real,RMS,68,0.044264639461711275,0.056666666666666664,1200,PU outer-training only
healthy,real,RMS,69,0.04428143808934015,0.0575,1200,PU outer-training only
healthy,real,RMS,70,0.04430190058816196,0.058333333333333334,1200,PU outer-training only
healthy,real,RMS,71,0.044317035676220445,0.059166666666666666,1200,PU outer-training only
healthy,real,RMS,72,0.044320526058722214,0.06,1200,PU outer-training only
healthy,real,RMS,73,0.04432471357670144,0.060833333333333336,1200,PU outer-training only
healthy,real,RMS,74,0.04432555547833184,0.06166666666666667,1200,PU outer-training only
healthy,real,RMS,75,0.04433213911485315,0.0625,1200,PU outer-training only
healthy,real,RMS,76,0.04433318367720235,0.06333333333333334,1200,PU outer-training only
healthy,real,RMS,77,0.04435515670286693,0.06416666666666666,1200,PU outer-training only
healthy,real,RMS,78,0.044356883140153555,0.065,1200,PU outer-training only
healthy,real,RMS,79,0.04435924379976407,0.06583333333333333,1200,PU outer-training only
healthy,real,RMS,80,0.04437370690640521,0.06666666666666667,1200,PU outer-training only
healthy,real,RMS,81,0.044428272560517804,0.0675,1200,PU outer-training only
healthy,real,RMS,82,0.044432959284699966,0.06833333333333333,1200,PU outer-training only
healthy,real,RMS,83,0.044433129093449035,0.06916666666666667,1200,PU outer-training only
healthy,real,RMS,84,0.04445181507811129,0.07,1200,PU outer-training only
healthy,real,RMS,85,0.04447941056270631,0.07083333333333333,1200,PU outer-training only
healthy,real,RMS,86,0.04450160088647595,0.07166666666666667,1200,PU outer-training only
healthy,real,RMS,87,0.044503714498547335,0.0725,1200,PU outer-training only
healthy,real,RMS,88,0.04450897639292533,0.07333333333333333,1200,PU outer-training only
healthy,real,RMS,89,0.044533532363393497,0.07416666666666667,1200,PU outer-training only
healthy,real,RMS,90,0.04454411183078586,0.075,1200,PU outer-training only
healthy,real,RMS,91,0.044546942663823294,0.07583333333333334,1200,PU outer-training only
healthy,real,RMS,92,0.04455022606514586,0.07666666666666666,1200,PU outer-training only
healthy,real,RMS,93,0.04455441787849602,0.0775,1200,PU outer-training only
healthy,real,RMS,94,0.04456247556895876,0.07833333333333334,1200,PU outer-training only
healthy,real,RMS,95,0.044563359721868305,0.07916666666666666,1200,PU outer-training only
healthy,real,RMS,96,0.04458300896805307,0.08,1200,PU outer-training only
healthy,real,RMS,97,0.044593596673256915,0.08083333333333333,1200,PU outer-training only
healthy,real,RMS,98,0.044605423455228194,0.08166666666666667,1200,PU outer-training only
healthy,real,RMS,99,0.04462453122540069,0.0825,1200,PU outer-training only
healthy,real,RMS,100,0.044629353838561044,0.08333333333333333,1200,PU outer-training only
healthy,real,RMS,101,0.044643572795281514,0.08416666666666667,1200,PU outer-training only
healthy,real,RMS,102,0.044647416271991605,0.085,1200,PU outer-training only
healthy,real,RMS,103,0.044660649567063906,0.08583333333333333,1200,PU outer-training only
healthy,real,RMS,104,0.04466740553326055,0.08666666666666667,1200,PU outer-training only
healthy,real,RMS,105,0.04467877451640769,0.0875,1200,PU outer-training only
healthy,real,RMS,106,0.04468818455018938,0.08833333333333333,1200,PU outer-training only
healthy,real,RMS,107,0.04470361426365514,0.08916666666666667,1200,PU outer-training only
healthy,real,RMS,108,0.04471156171774909,0.09,1200,PU outer-training only
healthy,real,RMS,109,0.04471234589263878,0.09083333333333334,1200,PU outer-training only
healthy,real,RMS,110,0.044720274647897344,0.09166666666666666,1200,PU outer-training only
healthy,real,RMS,111,0.04472235811511195,0.0925,1200,PU outer-training only
healthy,real,RMS,112,0.0447263189566303,0.09333333333333334,1200,PU outer-training only
healthy,real,RMS,113,0.0447321024276088,0.09416666666666666,1200,PU outer-training only
healthy,real,RMS,114,0.04476200224874846,0.095,1200,PU outer-training only
healthy,real,RMS,115,0.04476408082151699,0.09583333333333334,1200,PU outer-training only
healthy,real,RMS,116,0.04479043680612302,0.09666666666666666,1200,PU outer-training only
healthy,real,RMS,117,0.04481647504296397,0.0975,1200,PU outer-training only
healthy,real,RMS,118,0.04482091716722729,0.09833333333333333,1200,PU outer-training only
healthy,real,RMS,119,0.04482954896889976,0.09916666666666667,1200,PU outer-training only
healthy,real,RMS,120,0.044832244337527145,0.1,1200,PU outer-training only
healthy,real,RMS,121,0.044852372441953406,0.10083333333333333,1200,PU outer-training only
healthy,real,RMS,122,0.04487371040729511,0.10166666666666667,1200,PU outer-training only
healthy,real,RMS,123,0.04490204239626325,0.1025,1200,PU outer-training only
healthy,real,RMS,124,0.04490307807963856,0.10333333333333333,1200,PU outer-training only
healthy,real,RMS,125,0.04492786732769477,0.10416666666666667,1200,PU outer-training only
healthy,real,RMS,126,0.04495643233114551,0.105,1200,PU outer-training only
healthy,real,RMS,127,0.04495698589590127,0.10583333333333333,1200,PU outer-training only
healthy,real,RMS,128,0.04496037562702385,0.10666666666666667,1200,PU outer-training only
healthy,real,RMS,129,0.044966477974598476,0.1075,1200,PU outer-training only
healthy,real,RMS,130,0.04496731672359474,0.10833333333333334,1200,PU outer-training only
healthy,real,RMS,131,0.04497982462900965,0.10916666666666666,1200,PU outer-training only
healthy,real,RMS,132,0.044983275672885854,0.11,1200,PU outer-training only
healthy,real,RMS,133,0.04500261509128286,0.11083333333333334,1200,PU outer-training only
healthy,real,RMS,134,0.04501713479507546,0.11166666666666666,1200,PU outer-training only
healthy,real,RMS,135,0.04502294901283493,0.1125,1200,PU outer-training only
healthy,real,RMS,136,0.04502996694156398,0.11333333333333333,1200,PU outer-training only
