class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
healthy,real,0.0,2.9163719744032835e-05,8.638165755559342e-05,0.0003220387414755624,1200,500-2000
healthy,real,3.90625,6.832152509900682e-05,0.00021359619630165332,0.0006122339613231207,1200,500-2000
healthy,real,7.8125,7.417260600352588e-05,0.00019552068736637494,0.0005275740457390985,1200,500-2000
healthy,real,11.71875,7.631059859481496e-05,0.0001618724899689978,0.0004563779901430182,1200,500-2000
healthy,real,15.625,8.86052558999622e-05,0.0001829780166966521,0.00045875500182125477,1200,500-2000
healthy,real,19.53125,7.061392815276512e-05,0.00016202300114863708,0.00044708929673247693,1200,500-2000
healthy,real,23.4375,5.9663455764399224e-05,0.00014141545113698474,0.0004072136649485825,1200,500-2000
healthy,real,27.34375,6.51781410879659e-05,0.00015514617167711577,0.00041267810120606396,1200,500-2000
healthy,real,31.25,7.427197106271993e-05,0.0001558302568301159,0.00043264099314055214,1200,500-2000
healthy,real,35.15625,6.49967881211192e-05,0.00015936117270817213,0.0004526066495367809,1200,500-2000
healthy,real,39.0625,6.930983346597261e-05,0.00016760406753582555,0.00044233558310422417,1200,500-2000
healthy,real,42.96875,7.103152181959414e-05,0.00019157578974686261,0.0005563331893711056,1200,500-2000
healthy,real,46.875,9.017010017076707e-05,0.0002812085557649781,0.0008948363316614979,1200,500-2000
healthy,real,50.78125,0.00020338625211061505,0.0005838725089316161,0.002663035144647853,1200,500-2000
healthy,real,54.6875,0.00019545650974245278,0.0005432289043111389,0.0025552762035741276,1200,500-2000
healthy,real,58.59375,7.076860041235996e-05,0.0001944517000179203,0.0005941301561697464,1200,500-2000
healthy,real,62.5,6.447765974320253e-05,0.00016105734083825295,0.00044874151825538707,1200,500-2000
healthy,real,66.40625,7.214783569739403e-05,0.0001641199140340165,0.00044215229083446016,1200,500-2000
healthy,real,70.3125,6.893850168430378e-05,0.0001652727168007244,0.00046055203086433526,1200,500-2000
healthy,real,74.21875,6.508966084226676e-05,0.00015048910701115765,0.00042410961811004095,1200,500-2000
healthy,real,78.125,6.046630287758807e-05,0.00014133823608852462,0.00041634817494612994,1200,500-2000
healthy,real,82.03125,6.565240679409864e-05,0.0001496223721615869,0.00043747070123365477,1200,500-2000
healthy,real,85.9375,8.232820195646617e-05,0.00020492896587661033,0.00045721966939901227,1200,500-2000
healthy,real,89.84375,7.211640454340839e-05,0.0001771479249862507,0.00045752482425760505,1200,500-2000
healthy,real,93.75,6.201473279366152e-05,0.00017531666187447524,0.0004857703259191982,1200,500-2000
healthy,real,97.65625,8.951220036165045e-05,0.0003977084352848675,0.0010499082174116883,1200,500-2000
healthy,real,101.5625,0.00011990129136443539,0.00040254009243995603,0.0014411588936842725,1200,500-2000
healthy,real,105.46875,0.00017135742372759903,0.0006176466594432225,0.002154614152290414,1200,500-2000
healthy,real,109.375,9.095050215328174e-05,0.0003011823932682011,0.0009568036993822982,1200,500-2000
healthy,real,113.28125,6.381774435701868e-05,0.00017552704811636875,0.00043797143049275223,1200,500-2000
healthy,real,117.1875,6.381337189139193e-05,0.00015510043805109562,0.00043825810340164555,1200,500-2000
healthy,real,121.09375,6.825722082456426e-05,0.00015918773147117392,0.00048018066789010875,1200,500-2000
healthy,real,125.0,6.321229985950244e-05,0.00014873253699091072,0.0004446276637550847,1200,500-2000
healthy,real,128.90625,5.655774026727363e-05,0.00014046902909416517,0.0004191586742101099,1200,500-2000
healthy,real,132.8125,5.988918964404012e-05,0.00013974847077308488,0.0004391017367441609,1200,500-2000
healthy,real,136.71875,5.943401809879202e-05,0.00014557821888625514,0.0004138908912336251,1200,500-2000
healthy,real,140.625,5.97534702386721e-05,0.00015266592374512145,0.00042331850391853976,1200,500-2000
healthy,real,144.53125,6.075184386279639e-05,0.00016889020419819328,0.00047643721499956917,1200,500-2000
healthy,real,148.4375,6.904327626310085e-05,0.00021108303267788675,0.0006344233595317138,1200,500-2000
healthy,real,152.34375,8.009712193411488e-05,0.0002713637052423625,0.0008384902646488806,1200,500-2000
healthy,real,156.25,0.00011272827105124785,0.00035481248710908346,0.001230098582532957,1200,500-2000
healthy,real,160.15625,9.514175651125538e-05,0.0003238612820414544,0.0010619676318505418,1200,500-2000
healthy,real,164.0625,6.274185733663724e-05,0.00016835008269953694,0.00043909653294135385,1200,500-2000
healthy,real,167.96875,6.2236021159615e-05,0.00015640251361342608,0.0004200515517124591,1200,500-2000
healthy,real,171.875,6.6225681647965e-05,0.00016009080474645762,0.00046918066838967345,1200,500-2000
healthy,real,175.78125,6.279028362398747e-05,0.00014896848745137432,0.0004263789386028859,1200,500-2000
healthy,real,179.6875,5.6853137159958825e-05,0.0001354880455745813,0.000407990626621528,1200,500-2000
healthy,real,183.59375,5.7595522241882165e-05,0.00014187547957656728,0.00039625063436167333,1200,500-2000
healthy,real,187.5,5.9469266877304757e-05,0.0001321010833725224,0.0004165272535299561,1200,500-2000
healthy,real,191.40625,5.743508632853866e-05,0.0001403220442019234,0.00041053654853214665,1200,500-2000
healthy,real,195.3125,5.5889021948981085e-05,0.00014978543039417065,0.000457325118762033,1200,500-2000
healthy,real,199.21875,7.073191491536547e-05,0.00020345932990657422,0.0006816856657378739,1200,500-2000
healthy,real,203.125,7.224813191284087e-05,0.00022397130616451052,0.0006825223995838275,1200,500-2000
healthy,real,207.03125,8.173823578894148e-05,0.0002518977221016488,0.0006856728984290752,1200,500-2000
healthy,real,210.9375,9.392151885019454e-05,0.00040027738526770705,0.0009291763030927993,1200,500-2000
healthy,real,214.84375,6.207829128087713e-05,0.0001767764109201271,0.0005099341801405499,1200,500-2000
healthy,real,218.75,5.928270905418751e-05,0.00016163732291290335,0.00042420650519738127,1200,500-2000
healthy,llm,0.0,2.0522991574313504e-05,6.0111525387172266e-05,0.00014143731158749366,150,500-2000
healthy,llm,3.90625,5.063362770642828e-05,0.00011263276338167985,0.0002961778257212386,150,500-2000
healthy,llm,7.8125,5.864387030541879e-05,0.0001421900816894549,0.0003141578504252456,150,500-2000
healthy,llm,11.71875,6.88784266264285e-05,0.00013877795033764105,0.00029368042481226587,150,500-2000
healthy,llm,15.625,5.7859589072387253e-05,0.00012261096838996524,0.0003137142994662871,150,500-2000
healthy,llm,19.53125,5.951492858771548e-05,0.0001272218075981237,0.0003274482756984394,150,500-2000
healthy,llm,23.4375,6.138734897766037e-05,0.00015173659980026704,0.00030371109341497245,150,500-2000
healthy,llm,27.34375,5.464745094795723e-05,0.0001447471838184329,0.0002727878146932338,150,500-2000
healthy,llm,31.25,5.6494323961959965e-05,0.00013547161140818191,0.00030392756898608476,150,500-2000
healthy,llm,35.15625,6.211769104034288e-05,0.00014295205454047978,0.00027262437067342854,150,500-2000
healthy,llm,39.0625,6.29301165130392e-05,0.00013527482563434768,0.0002890244206759346,150,500-2000
healthy,llm,42.96875,6.0450451427423185e-05,0.0001226786663048941,0.00030031668575469935,150,500-2000
healthy,llm,46.875,5.591140079320365e-05,0.00011417058956500172,0.0002775122216910099,150,500-2000
healthy,llm,50.78125,6.226357252012999e-05,0.00012427575338080997,0.0002903301733023982,150,500-2000
healthy,llm,54.6875,5.909302122919277e-05,0.00014512521648565158,0.000322705802584294,150,500-2000
healthy,llm,58.59375,6.526704897978286e-05,0.00013854497504222453,0.00030785516992562245,150,500-2000
healthy,llm,62.5,5.648174112183654e-05,0.0001186922666716212,0.0002471332033154448,150,500-2000
healthy,llm,66.40625,5.506140861777284e-05,0.000112832760758884,0.0002584108812998464,150,500-2000
healthy,llm,70.3125,5.376153640934239e-05,0.000103201496866235,0.00021890307555870125,150,500-2000
healthy,llm,74.21875,5.5107925760389015e-05,0.00012991853857227665,0.0002902270481448565,150,500-2000
healthy,llm,78.125,5.7966512189218305e-05,0.00011254536394618328,0.0002691320682719396,150,500-2000
healthy,llm,82.03125,6.982459155328906e-05,0.00012698585302294398,0.00027406412788871977,150,500-2000
healthy,llm,85.9375,5.9898294314521405e-05,0.00013321574374168174,0.00030277358748234207,150,500-2000
healthy,llm,89.84375,6.358184247893952e-05,0.00014062088567216358,0.00030886841298673515,150,500-2000
healthy,llm,93.75,5.9462666935298344e-05,0.00013666282791234473,0.00029040876289775623,150,500-2000
healthy,llm,97.65625,6.005673315550046e-05,0.0001335088678328153,0.00028043057555387097,150,500-2000
healthy,llm,101.5625,5.502481478861031e-05,0.00016248032050451524,0.00031845837856408815,150,500-2000
healthy,llm,105.46875,6.724277575387848e-05,0.0001242313085977579,0.0003014707997969352,150,500-2000
healthy,llm,109.375,4.825586743939354e-05,0.00011324653111594885,0.00028470027192737117,150,500-2000
healthy,llm,113.28125,5.783989072167037e-05,0.00015123664942684153,0.0002706714589251923,150,500-2000
healthy,llm,117.1875,6.399047672368051e-05,0.00013396288006110272,0.00029293788458500757,150,500-2000
healthy,llm,121.09375,5.6047504679148136e-05,0.00012535252698738848,0.0003016739458451451,150,500-2000
healthy,llm,125.0,5.825146883455711e-05,0.00011313716359957694,0.0002788785860621347,150,500-2000
healthy,llm,128.90625,6.725579745583786e-05,0.00013896649904415975,0.0002866824476328771,150,500-2000
healthy,llm,132.8125,6.500931959477972e-05,0.0001362628311284337,0.0003212940000736801,150,500-2000
healthy,llm,136.71875,6.27005282234961e-05,0.00013559133352560504,0.00031041989791663784,150,500-2000
healthy,llm,140.625,6.750550267949141e-05,0.000151106218566594,0.00028478920101486895,150,500-2000
healthy,llm,144.53125,5.604998898765474e-05,0.0001395523934696135,0.0002568786274553758,150,500-2000
healthy,llm,148.4375,6.193871678330224e-05,0.0001283932505421425,0.00027521179651393996,150,500-2000
healthy,llm,152.34375,5.917492096741972e-05,0.0001261844426053107,0.0002824194510613593,150,500-2000
healthy,llm,156.25,6.279481148356076e-05,0.00013777451072864849,0.0002875022932354235,150,500-2000
healthy,llm,160.15625,6.596226337462302e-05,0.0001224069386916819,0.0002818861207133398,150,500-2000
healthy,llm,164.0625,6.240899642447359e-05,0.00013331347188913636,0.00030344531476034773,150,500-2000
healthy,llm,167.96875,6.372392100784247e-05,0.00014933128044320576,0.0002661327608148303,150,500-2000
