manifest,status,kind,path,exists,sha256_matches
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,code,breeze/src/figure_revision_data.py,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,code,breeze/src/figures_revision_preview.py,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/cwru_patch_v2_2026-07-07_frozen/cwru_patch_v2_wilcoxon.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/cwru_patch_v2_2026-07-07_frozen/downstream/within_load0_llm_nsyn20.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/cwru_patch_v2_2026-07-07_frozen/downstream/within_load0_noise_aug_nsyn20.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/cwru_patch_v2_2026-07-07_frozen/downstream/within_load0_rule_nsyn20.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/milling_berkeley_v2_binary_formal_2026-07-08/berkeley_v2_binary_formal_wilcoxon_holm.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/milling_berkeley_v2_binary_formal_2026-07-08/downstream_40seed_nsyn20/berkeley_v2_binary_llm_nsyn20.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/milling_berkeley_v2_binary_formal_2026-07-08/downstream_40seed_nsyn20/berkeley_v2_binary_noise_aug_nsyn20.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/milling_berkeley_v2_binary_formal_2026-07-08/downstream_40seed_nsyn20/berkeley_v2_binary_rule_nsyn20.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/results/phaseA_v2_downstream_cnn.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,sources,breeze/results/phaseA_v2_frozen_2026-07-06/breeze/results/phaseA_v2_wilcoxon.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,outputs,breeze/paper/figs/revision_preview/fig3_downstream_effects/source_data.csv,True,True
breeze/paper/figs/revision_preview/fig3_downstream_effects/source-manifest.json,complete,outputs,breeze/paper/figs/revision_preview/fig3_downstream_effects/paired_seed_deltas.csv,True,True
