class,slot,candidate_rounds,n_candidates,n_expansions,n_feasible_expansions,first_pass_round,final_admitted,record_sha256
healthy,0,0;1;2;3,4,4,3,0,True,9dff0df4984e0fd24c55cc3e0c2ddbe691ac886398895192d9664531be5140ab
healthy,1,0,1,3,1,0,True,a0b693f925dca90c2631553c4bcff3284891293e3c14a90aa6eef409d461f6b2
healthy,2,0,1,0,0,,False,d60673f38dc2aa6278fb86a0bd2e4b405bbf56a1b7c1b72b97de71eb53440db0
healthy,3,0;1;2;3,4,0,0,0,True,3afa58d09ca7cc8e8f181e8827cd256fe2e133695076efe1074a406a34aba37b
healthy,4,0;1;2,3,0,0,,False,ee5c5de1a0227640f6c7882ad160c7d3b385f2c672004ab9b5627e897ac26507
healthy,5,0,1,0,0,,False,c55c056222bacae66a228b9e8a918dbf63727761b478d802bbde903e0c31887d
healthy,6,0;1;2;3,4,0,0,1,True,a8fcac77ae5fad3b3ee150ed5f35b03af52ffa2f3761209772bf4eee923b07c5
healthy,7,0,1,0,0,,False,d75119b4cbcd7652b2e36a169d127e9aed486bd3bb7a21f30860e262a6414f5b
healthy,8,0,1,4,0,0,True,473186ff0d1e2c76f856ea0fe1267bad6534f33beddd72f1c2e1a679fc974ffb
healthy,9,0,1,1,0,0,True,bf82ac82e0e97530bbaccc659a9e15041739766db8d77eb07247fc2992709ff3
healthy,10,0,1,2,0,0,True,aa8addff941a64e5efb494c4ef3a23b5138847c9fb071bfd6c65ec831d6325fc
healthy,11,0;1;2,3,4,3,0,True,44258b9991aad2e49f5169dd9e1dc9d0faa015dbce5438e6509354256bba5e46
healthy,12,0;1,2,0,0,,False,8f8b4dc333b1ee3d3257cb101c1e4f396725531f8790aa6717180be17b1a8c94
healthy,13,0,1,0,0,,False,e91115a1f8c4033226346faf062813d806475f15c9fba42a39171fa868cfc721
healthy,14,0;1;2;3,4,0,0,0,True,1c7fc51c2b7928394e8244d723d65ca5ad1c1d97907ed014a0d3c6ba162a17b4
healthy,15,0;1;2,3,4,1,0,True,8e6e0121d5c055ed6aa64d20f3f9d8485e56e685be82ecfdb651323705e50731
healthy,16,0;1;2,3,4,2,2,True,15e2a75864ddfebc71fe1d05b2e9643ad3642152f81aeb7c05038da5789bbb35
