coverage,split,class,n,pass,rate,fail_boundary,fail_energy,fail_envelope,fail_mcsa,fail_spectrum
c85,train,all,3846,3571,0.9285,78.0,25.0,51.0,42.0,104.0
c85,train,healthy,1200,1116,0.93,,,,,
c85,train,OR,1202,1116,0.9285,,,,,
c85,train,IR,1444,1339,0.9273,,,,,
c85,test,all,962,865,0.8992,23.0,14.0,15.0,12.0,44.0
c85,test,healthy,300,273,0.91,,,,,
c85,test,OR,301,270,0.897,,,,,
c85,test,IR,361,322,0.892,,,,,
c90,train,all,3846,3603,0.9368,75.0,16.0,34.0,36.0,104.0
c90,train,healthy,1200,1131,0.9425,,,,,
c90,train,OR,1202,1121,0.9326,,,,,
c90,train,IR,1444,1351,0.9356,,,,,
c90,test,all,962,880,0.9148,22.0,7.0,7.0,9.0,44.0
c90,test,healthy,300,282,0.94,,,,,
c90,test,OR,301,274,0.9103,,,,,
c90,test,IR,361,324,0.8975,,,,,
c95,train,all,3846,3631,0.9441,75.0,10.0,22.0,20.0,104.0
c95,train,healthy,1200,1136,0.9467,,,,,
c95,train,OR,1202,1135,0.9443,,,,,
c95,train,IR,1444,1360,0.9418,,,,,
c95,test,all,962,886,0.921,22.0,6.0,7.0,4.0,44.0
c95,test,healthy,300,282,0.94,,,,,
c95,test,OR,301,276,0.9169,,,,,
c95,test,IR,361,328,0.9086,,,,,
