cond,split,class,n,pass_rate,fail_sanity,fail_stats_union,fail_soft_spectrum,fail_psd_w1,fail_envelope_multi,fail_vector_mcsa
N09_M07_F10,train,healthy,20,0.8,0,0,1,0,3,0
N09_M07_F10,train,OR,20,1.0,0,0,0,0,0,0
N09_M07_F10,train,IR,20,0.85,0,0,2,1,0,0
N09_M07_F10,test,healthy,20,0.85,0,0,0,0,3,0
N09_M07_F10,test,OR,20,0.95,0,0,1,1,0,0
N09_M07_F10,test,IR,20,1.0,0,0,0,0,0,0
N15_M01_F10,train,healthy,20,0.85,0,1,0,1,2,0
N15_M01_F10,train,OR,20,0.9,0,0,1,1,0,0
N15_M01_F10,train,IR,20,1.0,0,0,0,0,0,0
N15_M01_F10,test,healthy,20,0.7,0,0,0,0,6,0
N15_M01_F10,test,OR,20,0.9,0,1,1,0,0,0
N15_M01_F10,test,IR,20,0.9,0,0,2,0,0,0
N15_M07_F04,train,healthy,20,0.65,0,1,1,0,7,0
N15_M07_F04,train,OR,20,1.0,0,0,0,0,0,0
N15_M07_F04,train,IR,20,1.0,0,0,0,0,0,0
N15_M07_F04,test,healthy,20,0.65,0,0,0,0,7,0
N15_M07_F04,test,OR,20,0.85,0,0,2,2,0,0
N15_M07_F04,test,IR,20,1.0,0,0,0,0,0,0
N15_M07_F10,train,healthy,20,0.8,0,0,1,1,2,0
N15_M07_F10,train,OR,20,0.9,0,0,1,1,0,0
N15_M07_F10,train,IR,20,0.95,0,0,1,0,0,0
N15_M07_F10,test,healthy,20,0.75,0,0,0,0,5,0
N15_M07_F10,test,OR,20,0.6,0,0,5,4,0,0
N15_M07_F10,test,IR,20,1.0,0,0,0,0,0,0
