dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,train_load0_test_load1,custom_pool,25,0,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.7128,0.7161,"{""healthy"":0.9059500959692899,""IR"":0.6252587991718427,""B"":0.6827586206896552,""OR"":0.6504559270516718}","[[236,0,0,0],[0,151,60,25],[3,29,198,6],[46,67,86,214]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,1,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6860,0.6902,"{""healthy"":0.9059500959692899,""IR"":0.5826446280991735,""B"":0.671280276816609,""OR"":0.6009104704097117}","[[236,0,0,0],[0,141,59,36],[3,27,194,12],[46,80,89,198]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,2,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6574,0.6719,"{""healthy"":0.9936842105263158,""IR"":0.5720524017467249,""B"":0.5917001338688086,""OR"":0.5302491103202847}","[[236,0,0,0],[0,131,105,0],[3,12,221,0],[0,79,185,149]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,3,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6699,0.6724,"{""healthy"":0.9309664694280079,""IR"":0.5792163543441227,""B"":0.5254237288135594,""OR"":0.6538461538461539}","[[236,0,0,0],[0,170,36,30],[4,96,124,12],[31,85,76,221]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,4,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.7038,0.6986,"{""healthy"":0.9915966386554622,""IR"":0.47058823529411764,""B"":0.6234939759036144,""OR"":0.7087912087912088}","[[236,0,0,0],[0,88,96,52],[2,22,207,5],[2,28,125,258]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,5,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6985,0.7048,"{""healthy"":0.9957805907172996,""IR"":0.5311004784688995,""B"":0.6364963503649635,""OR"":0.6556390977443609}","[[236,0,0,0],[0,111,103,22],[2,4,218,12],[0,67,128,218]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,6,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6842,0.6722,"{""healthy"":0.9182879377431906,""IR"":0.40694789081885857,""B"":0.7084078711985689,""OR"":0.6553524804177546}","[[236,0,0,0],[0,82,65,89],[3,22,198,13],[39,63,60,251]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,7,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.7056,0.7076,"{""healthy"":0.8789571694599627,""IR"":0.6447368421052632,""B"":0.7296,""OR"":0.5769230769230769}","[[236,0,0,0],[0,147,60,29],[6,0,228,2],[59,73,101,180]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,8,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6360,0.6527,"{""healthy"":0.9957805907172996,""IR"":0.5252100840336135,""B"":0.5443425076452599,""OR"":0.5454545454545454}","[[236,0,0,0],[0,125,66,45],[2,50,178,6],[0,65,174,174]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,25,9,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6869,0.6986,"{""healthy"":0.9772256728778468,""IR"":0.562015503875969,""B"":0.647985989492119,""OR"":0.6071428571428571}","[[236,0,0,0],[0,145,59,32],[3,25,185,23],[8,110,91,204]]","[""healthy"",""IR"",""B"",""OR""]"
