dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,train_load0_test_load1,real_only,25,0,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.4487,0.4166,"{""healthy"":0.9652351738241309,""IR"":0.00819672131147541,""B"":0.3857634902411022,""OR"":0.3072100313479624}","[[236,0,0,0],[0,1,174,61],[2,0,168,66],[15,7,293,98]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,1,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.4951,0.4461,"{""healthy"":0.7140695915279879,""IR"":0.5129682997118156,""B"":0.18181818181818182,""OR"":0.3756019261637239}","[[236,0,0,0],[37,178,0,21],[93,47,24,72],[59,233,4,117]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,2,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.4407,0.4185,"{""healthy"":0.9957805907172996,""IR"":0.0,""B"":0.31212484993997597,""OR"":0.36623748211731044}","[[236,0,0,0],[0,0,182,54],[2,0,130,104],[0,0,285,128]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,3,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.5798,0.4989,"{""healthy"":1.0,""IR"":0.06153846153846154,""B"":0.3342776203966006,""OR"":0.5998271391529818}","[[236,0,0,0],[0,8,0,228],[0,8,59,169],[0,8,58,347]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,4,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.6182,0.5499,"{""healthy"":0.7853577371048253,""IR"":0.17843866171003717,""B"":0.5384615384615384,""OR"":0.6975}","[[236,0,0,0],[3,24,109,100],[67,7,154,8],[59,2,73,279]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,5,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.5736,0.5376,"{""healthy"":0.9273084479371316,""IR"":0.33827893175074186,""B"":0.30198019801980197,""OR"":0.5826612903225806}","[[236,0,0,0],[0,57,58,121],[6,0,61,169],[31,44,49,289]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,6,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.4746,0.4984,"{""healthy"":0.9957805907172996,""IR"":0.4107883817427386,""B"":0.233201581027668,""OR"":0.35384615384615387}","[[236,0,0,0],[0,99,78,59],[2,5,59,170],[0,142,133,138]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,7,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.6182,0.5247,"{""healthy"":0.7986463620981388,""IR"":0.007662835249042145,""B"":0.6073500967117988,""OR"":0.6849942726231386}","[[236,0,0,0],[0,1,93,142],[60,0,157,19],[59,24,31,299]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,8,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.5897,0.5852,"{""healthy"":0.8280701754385965,""IR"":0.4305835010060362,""B"":0.5401174168297456,""OR"":0.5421686746987951}","[[236,0,0,0],[0,107,60,69],[39,57,138,2],[59,97,77,180]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,9,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.5888,0.4811,"{""healthy"":0.9752066115702479,""IR"":0.19594594594594594,""B"":0.12698412698412698,""OR"":0.6264462809917355}","[[236,0,0,0],[0,29,0,207],[3,6,16,211],[9,25,0,379]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,real_only,25,10,"{""0"":25,""1"":25,""2"":25,""3"":25}",0,0.5611,0.5406,"{""healthy"":0.9957805907172996,""IR"":0.16611295681063123,""B"":0.5066371681415929,""OR"":0.4937833037300178}","[[236,0,0,0],[0,25,205,6],[2,0,229,5],[0,40,234,139]]","[""healthy"",""IR"",""B"",""OR""]"
