split,n_real,metric,comparison,wilcoxon_stat,p,llm_mean,other_mean,delta,n_pairs,holm_q,holm_reject_0p05
train_load0_test_load1,5,acc,llm>rule,207.0,4.76837158203125e-06,0.6372899999999999,0.593845,0.043444999999999956,20,9.5367431640625e-06,True
train_load0_test_load1,5,acc,llm>noise_aug,201.5,0.00015733333026541314,0.6372899999999999,0.56132,0.07596999999999987,20,0.00015733333026541314,True
train_load0_test_load1,5,acc,llm>real_only,210.0,9.5367431640625e-07,0.6372899999999999,0.23552999999999996,0.40175999999999995,20,2.86102294921875e-06,True
train_load0_test_load1,5,macro_f1,llm>rule,205.0,9.5367431640625e-06,0.6464350000000001,0.5972700000000001,0.049165000000000014,20,1.9073486328125e-05,True
train_load0_test_load1,5,macro_f1,llm>noise_aug,203.0,1.811981201171875e-05,0.6464350000000001,0.5517549999999999,0.09468000000000021,20,1.9073486328125e-05,True
train_load0_test_load1,5,macro_f1,llm>real_only,210.0,9.5367431640625e-07,0.6464350000000001,0.13035500000000005,0.5160800000000001,20,2.86102294921875e-06,True
train_load0_test_load1,10,acc,llm>rule,206.0,8.121373686151921e-05,0.6504900000000001,0.611055,0.03943500000000011,20,0.00016242747372303843,True
train_load0_test_load1,10,acc,llm>noise_aug,169.0,0.007656097412109375,0.6504900000000001,0.61195,0.03854000000000013,20,0.007656097412109375,True
train_load0_test_load1,10,acc,llm>real_only,210.0,9.5367431640625e-07,0.6504900000000001,0.306995,0.3434950000000001,20,2.86102294921875e-06,True
train_load0_test_load1,10,macro_f1,llm>rule,204.0,1.33514404296875e-05,0.65994,0.614155,0.045784999999999965,20,2.6702880859375e-05,True
train_load0_test_load1,10,macro_f1,llm>noise_aug,187.0,0.0006046295166015625,0.65994,0.604815,0.05512499999999998,20,0.0006046295166015625,True
train_load0_test_load1,10,macro_f1,llm>real_only,210.0,9.5367431640625e-07,0.65994,0.22764,0.43229999999999996,20,2.86102294921875e-06,True
train_load0_test_load1,25,acc,llm>rule,208.0,2.86102294921875e-06,0.69433,0.666955,0.027375000000000038,20,8.58306884765625e-06,True
train_load0_test_load1,25,acc,llm>noise_aug,165.5,0.01194718978380008,0.69433,0.66347,0.03086,20,0.01194718978380008,True
train_load0_test_load1,25,acc,llm>real_only,207.0,4.76837158203125e-06,0.69433,0.5486250000000001,0.14570499999999986,20,9.5367431640625e-06,True
train_load0_test_load1,25,macro_f1,llm>rule,206.0,8.132075761505172e-05,0.695525,0.6641450000000001,0.03137999999999985,20,0.00016264151523010344,True
train_load0_test_load1,25,macro_f1,llm>noise_aug,163.0,0.014787673950195312,0.695525,0.660705,0.03481999999999996,20,0.014787673950195312,True
train_load0_test_load1,25,macro_f1,llm>real_only,208.0,2.86102294921875e-06,0.695525,0.50701,0.188515,20,8.58306884765625e-06,True
