dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,within_load0,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5719,0.6119,"{""healthy"":1.0,""IR"":0.5360824742268041,""B"":0.32432432432432434,""OR"":0.5872340425531914}","[[36,0,0,0],[0,52,1,19],[0,33,18,21],[0,37,20,69]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6046,0.6313,"{""healthy"":0.782608695652174,""IR"":0.5520833333333334,""B"":0.684931506849315,""OR"":0.5054945054945055}","[[36,0,0,0],[0,53,11,8],[2,18,50,2],[18,49,13,46]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6405,0.6899,"{""healthy"":1.0,""IR"":0.5547445255474452,""B"":0.5714285714285714,""OR"":0.6334841628959276}","[[36,0,0,0],[0,38,14,20],[0,15,52,5],[0,12,44,70]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6275,0.6504,"{""healthy"":0.782608695652174,""IR"":0.519774011299435,""B"":0.7034482758620689,""OR"":0.5959595959595959}","[[36,0,0,0],[0,46,15,11],[2,17,51,2],[18,42,7,59]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5425,0.5300,"{""healthy"":1.0,""IR"":0.0,""B"":0.5210727969348659,""OR"":0.5990338164251208}","[[36,0,0,0],[0,0,57,15],[0,0,68,4],[0,0,64,62]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4967,0.4368,"{""healthy"":1.0,""IR"":0.0,""B"":0.16326530612244897,""OR"":0.5837837837837838}","[[36,0,0,0],[0,0,0,72],[0,0,8,64],[0,0,18,108]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6471,0.6324,"{""healthy"":0.9,""IR"":0.24444444444444444,""B"":0.7183098591549296,""OR"":0.6666666666666666}","[[36,0,0,0],[0,11,4,57],[0,4,51,17],[8,3,15,100]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6503,0.6789,"{""healthy"":1.0,""IR"":0.375,""B"":0.6467065868263473,""OR"":0.6938775510204082}","[[36,0,0,0],[0,24,18,30],[0,14,54,4],[0,18,23,85]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5359,0.5636,"{""healthy"":1.0,""IR"":0.29069767441860467,""B"":0.32608695652173914,""OR"":0.6376811594202898}","[[36,0,0,0],[0,25,2,45],[0,40,15,17],[0,35,3,88]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6536,0.6726,"{""healthy"":0.8,""IR"":0.5614035087719298,""B"":0.7080745341614907,""OR"":0.6210526315789474}","[[36,0,0,0],[0,48,19,5],[1,14,57,0],[17,37,13,59]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5850,0.6234,"{""healthy"":1.0,""IR"":0.32727272727272727,""B"":0.5882352941176471,""OR"":0.5782312925170068}","[[36,0,0,0],[0,18,1,53],[0,2,40,30],[0,18,23,85]]","[""healthy"",""IR"",""B"",""OR""]"
