dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,within_load0,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6405,0.6650,"{""healthy"":0.8089887640449438,""IR"":0.5632183908045977,""B"":0.6766917293233082,""OR"":0.6111111111111112}","[[36,0,0,0],[0,49,8,15],[0,18,45,9],[17,35,8,66]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5654,0.6138,"{""healthy"":0.9473684210526315,""IR"":0.45454545454545453,""B"":0.5445544554455446,""OR"":0.5089285714285714}","[[36,0,0,0],[0,25,18,29],[0,5,55,12],[4,8,57,57]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6307,0.6864,"{""healthy"":1.0,""IR"":0.5866666666666667,""B"":0.5775401069518716,""OR"":0.5812807881773399}","[[36,0,0,0],[0,44,18,10],[0,10,54,8],[0,24,43,59]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6405,0.6958,"{""healthy"":1.0,""IR"":0.5340909090909091,""B"":0.6540880503144654,""OR"":0.5951219512195122}","[[36,0,0,0],[0,47,13,12],[0,14,52,6],[0,43,22,61]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6373,0.6910,"{""healthy"":1.0,""IR"":0.5789473684210527,""B"":0.5882352941176471,""OR"":0.5970149253731343}","[[36,0,0,0],[0,44,19,9],[0,11,55,6],[0,25,41,60]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6471,0.6978,"{""healthy"":1.0,""IR"":0.5534591194968553,""B"":0.6127167630057804,""OR"":0.625}","[[36,0,0,0],[0,44,16,12],[0,14,53,5],[0,29,32,65]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6275,0.6825,"{""healthy"":0.9863013698630136,""IR"":0.6015037593984962,""B"":0.55,""OR"":0.5922330097087378}","[[36,0,0,0],[0,40,21,11],[0,9,55,8],[1,12,52,61]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6438,0.6659,"{""healthy"":0.8089887640449438,""IR"":0.5862068965517241,""B"":0.6622516556291391,""OR"":0.6060606060606061}","[[36,0,0,0],[0,51,14,7],[0,17,50,5],[17,34,15,60]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6373,0.6542,"{""healthy"":0.8275862068965517,""IR"":0.5405405405405406,""B"":0.631578947368421,""OR"":0.6172839506172839}","[[36,0,0,0],[0,30,18,24],[0,0,54,18],[15,9,27,75]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6275,0.6762,"{""healthy"":0.96,""IR"":0.5882352941176471,""B"":0.5824175824175825,""OR"":0.5742574257425742}","[[36,0,0,0],[0,45,18,9],[0,10,53,9],[3,26,39,58]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6438,0.6970,"{""healthy"":1.0,""IR"":0.5911949685534591,""B"":0.5988700564971752,""OR"":0.5980392156862745}","[[36,0,0,0],[0,47,13,12],[0,14,53,5],[0,26,39,61]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5915,0.6357,"{""healthy"":0.9,""IR"":0.5906040268456376,""B"":0.5656565656565656,""OR"":0.4864864864864865}","[[36,0,0,0],[0,44,18,10],[0,12,56,4],[8,21,52,45]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6634,0.7113,"{""healthy"":1.0,""IR"":0.5609756097560976,""B"":0.6242774566473989,""OR"":0.6600985221674877}","[[36,0,0,0],[0,46,18,8],[0,16,54,2],[0,30,29,67]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6340,0.6892,"{""healthy"":1.0,""IR"":0.5903614457831325,""B"":0.5743589743589743,""OR"":0.5921787709497207}","[[36,0,0,0],[0,49,23,0],[0,16,56,0],[0,29,44,53]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5752,0.6291,"{""healthy"":1.0,""IR"":0.4262295081967213,""B"":0.5477178423236515,""OR"":0.5423728813559322}","[[36,0,0,0],[0,26,43,3],[0,6,66,0],[0,18,60,48]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6503,0.7011,"{""healthy"":1.0,""IR"":0.5977011494252874,""B"":0.5786163522012578,""OR"":0.6280193236714976}","[[36,0,0,0],[0,52,7,13],[0,23,46,3],[0,27,34,65]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,6,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6176,0.6760,"{""healthy"":1.0,""IR"":0.5859872611464968,""B"":0.5698924731182796,""OR"":0.5482233502538071}","[[36,0,0,0],[0,46,15,11],[0,13,53,6],[0,26,46,54]]","[""healthy"",""IR"",""B"",""OR""]"
