method,n_real,seeds,mean_acc,mean_macro_f1,acc_values,macro_f1_values
llm_nsyn10,5,2,0.41505000000000003,0.36245,0.3072;0.5229,0.1848;0.5401
llm_nsyn10,10,2,0.4951,0.49785,0.5098;0.4804,0.5147;0.4810
llm_nsyn20,5,2,0.47550000000000003,0.48724999999999996,0.6209;0.3301,0.6453;0.3292
llm_nsyn20,10,2,0.4575,0.4666,0.4444;0.4706,0.4488;0.4844
llm_nsyn5,5,2,0.3121,0.2548,0.2092;0.4150,0.1227;0.3869
llm_nsyn5,10,2,0.47709999999999997,0.4206,0.4673;0.4869,0.3169;0.5243
noise_aug,5,2,0.49675,0.52425,0.4706;0.5229,0.5020;0.5465
noise_aug,10,2,0.5964,0.6401,0.5392;0.6536,0.6017;0.6785
real_only,5,2,0.2353,0.0979,0.2353;0.2353,0.0952;0.1006
real_only,10,2,0.39544999999999997,0.345,0.4085;0.3824,0.3259;0.3641
rule_nsyn10,5,2,0.47715,0.42984999999999995,0.3791;0.5752,0.2263;0.6334
rule_nsyn10,10,2,0.57355,0.5930500000000001,0.5817;0.5654,0.5975;0.5886
