dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,custom_pool,25,0,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.7199,0.7249,"{""healthy"":0.9383697813121272,""IR"":0.6227272727272727,""B"":0.7027027027027027,""OR"":0.6358208955223881}","[[236,0,0,0],[0,137,66,33],[3,1,221,11],[28,66,106,213]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,1,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6610,0.6630,"{""healthy"":0.8872180451127819,""IR"":0.5239179954441914,""B"":0.6987951807228916,""OR"":0.5420289855072464}","[[236,0,0,0],[0,115,59,62],[4,1,203,28],[56,87,83,187]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,2,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6949,0.7071,"{""healthy"":0.9936842105263158,""IR"":0.5663366336633663,""B"":0.6472491909385113,""OR"":0.6211180124223602}","[[236,0,0,0],[0,143,73,20],[3,22,200,11],[0,104,109,200]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,3,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6218,0.6285,"{""healthy"":0.9309664694280079,""IR"":0.49575070821529743,""B"":0.5089820359281437,""OR"":0.5784172661870504}","[[236,0,0,0],[0,175,3,58],[5,123,85,23],[30,172,10,201]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,4,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.7351,0.7287,"{""healthy"":0.8922495274102079,""IR"":0.5636363636363636,""B"":0.7318007662835249,""OR"":0.7270306258322237}","[[236,0,0,0],[0,124,59,53],[4,29,191,12],[53,51,36,273]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,5,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6958,0.6953,"{""healthy"":0.9957805907172996,""IR"":0.47643979057591623,""B"":0.6623376623376623,""OR"":0.6467532467532467}","[[236,0,0,0],[0,91,64,81],[2,3,204,27],[0,52,112,249]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,6,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6682,0.6760,"{""healthy"":0.9936842105263158,""IR"":0.509090909090909,""B"":0.6019690576652602,""OR"":0.5991058122205664}","[[236,0,0,0],[0,98,96,42],[2,5,214,15],[1,46,165,201]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,7,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.7145,0.7246,"{""healthy"":0.9936842105263158,""IR"":0.5954545454545455,""B"":0.6769706336939721,""OR"":0.6323529411764706}","[[236,0,0,0],[0,131,64,41],[2,4,219,11],[1,69,128,215]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,8,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6824,0.6760,"{""healthy"":0.9076923076923077,""IR"":0.460431654676259,""B"":0.6956521739130435,""OR"":0.6401062416998672}","[[236,0,0,0],[0,96,59,81],[3,23,192,18],[45,62,65,241]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,9,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6985,0.6995,"{""healthy"":0.9094412331406551,""IR"":0.5234042553191489,""B"":0.7620689655172413,""OR"":0.6032689450222882}","[[236,0,0,0],[0,123,59,54],[3,9,221,3],[44,102,64,203]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,25,10,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6343,0.6296,"{""healthy"":0.9853862212943633,""IR"":0.3961038961038961,""B"":0.5834428383705651,""OR"":0.553314121037464}","[[236,0,0,0],[0,61,97,78],[2,1,222,11],[5,10,206,192]]","[""healthy"",""IR"",""B"",""OR""]"
