dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,within_load0,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4706,0.4918,"{""healthy"":0.7912087912087912,""IR"":0.44,""B"":0.3058823529411765,""OR"":0.43010752688172044}","[[36,0,0,0],[0,55,0,17],[1,55,13,3],[18,68,0,40]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5621,0.6053,"{""healthy"":0.8888888888888888,""IR"":0.4925373134328358,""B"":0.5670103092783505,""OR"":0.4729064039408867}","[[36,0,0,0],[0,33,16,23],[0,11,55,6],[9,18,51,48]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4281,0.4733,"{""healthy"":1.0,""IR"":0.17218543046357615,""B"":0.22641509433962265,""OR"":0.49469964664310956}","[[36,0,0,0],[0,13,2,57],[0,30,12,30],[0,36,20,70]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6503,0.7050,"{""healthy"":1.0,""IR"":0.5538461538461539,""B"":0.65,""OR"":0.6162162162162163}","[[36,0,0,0],[0,54,18,0],[0,18,52,2],[0,51,18,57]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6046,0.6590,"{""healthy"":0.9863013698630136,""IR"":0.5357142857142857,""B"":0.5531914893617021,""OR"":0.5606694560669456}","[[36,0,0,0],[0,30,14,28],[0,2,52,18],[1,8,50,67]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4869,0.5320,"{""healthy"":1.0,""IR"":0.37142857142857144,""B"":0.24778761061946902,""OR"":0.5087108013937283}","[[36,0,0,0],[0,26,4,42],[0,12,14,46],[0,30,23,73]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4673,0.4455,"{""healthy"":0.7912087912087912,""IR"":0.41904761904761906,""B"":0.05263157894736842,""OR"":0.5191489361702127}","[[36,0,0,0],[0,44,1,27],[2,47,2,21],[17,47,1,61]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5131,0.4953,"{""healthy"":0.7422680412371134,""IR"":0.5236051502145923,""B"":0.1927710843373494,""OR"":0.5226130653266332}","[[36,0,0,0],[0,61,1,10],[7,46,8,11],[18,54,2,52]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4052,0.3923,"{""healthy"":0.6666666666666666,""IR"":0.4155844155844156,""B"":0.12987012987012986,""OR"":0.35714285714285715}","[[36,0,0,0],[0,48,0,24],[18,38,5,11],[18,73,0,35]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5458,0.6113,"{""healthy"":0.9863013698630136,""IR"":0.5296803652968036,""B"":0.6535947712418301,""OR"":0.2754491017964072}","[[36,0,0,0],[0,58,7,7],[0,11,50,11],[1,78,24,23]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6242,0.6839,"{""healthy"":1.0,""IR"":0.5638297872340425,""B"":0.6363636363636364,""OR"":0.5353535353535354}","[[36,0,0,0],[0,53,6,13],[0,17,49,6],[0,46,27,53]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6438,0.6547,"{""healthy"":0.782608695652174,""IR"":0.4888888888888889,""B"":0.7283950617283951,""OR"":0.6188340807174888}","[[36,0,0,0],[0,33,17,22],[2,5,59,6],[18,25,14,69]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5686,0.6271,"{""healthy"":1.0,""IR"":0.3841059602649007,""B"":0.5780346820809249,""OR"":0.5462962962962963}","[[36,0,0,0],[0,29,15,28],[0,19,50,3],[0,31,36,59]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5752,0.6168,"{""healthy"":1.0,""IR"":0.5193798449612403,""B"":0.34782608695652173,""OR"":0.6}","[[36,0,0,0],[0,67,4,1],[0,50,16,6],[0,69,0,57]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5392,0.5722,"{""healthy"":0.9230769230769231,""IR"":0.5098039215686274,""B"":0.3404255319148936,""OR"":0.5156794425087108}","[[36,0,0,0],[0,39,0,33],[0,2,16,54],[6,40,6,74]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,5,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5163,0.5780,"{""healthy"":1.0,""IR"":0.5482233502538071,""B"":0.3333333333333333,""OR"":0.4304932735426009}","[[36,0,0,0],[0,54,5,13],[0,16,20,36],[0,55,23,48]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,6,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6046,0.6440,"{""healthy"":1.0,""IR"":0.41509433962264153,""B"":0.5454545454545454,""OR"":0.6153846153846154}","[[36,0,0,0],[0,22,17,33],[0,9,51,12],[0,3,47,76]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,7,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5882,0.5999,"{""healthy"":0.7741935483870968,""IR"":0.4594594594594595,""B"":0.5565217391304348,""OR"":0.609375}","[[36,0,0,0],[0,34,7,31],[3,16,32,21],[18,26,4,78]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,noise_aug,10,8,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5163,0.5451,"{""healthy"":0.7912087912087912,""IR"":0.5228758169934641,""B"":0.4,""OR"":0.466403162055336}","[[36,0,0,0],[0,40,5,27],[1,7,23,41],[18,34,15,59]]","[""healthy"",""IR"",""B"",""OR""]"
