dataset,split,train_path,test_path,sampling_rate_hz,channels,window,train_n,test_n,train_counts,test_counts,train_conditions,test_conditions,fault_sizes_train,fault_sizes_test,shared_file_ids,shared_window_ids,leakage_status,split_semantics
CWRU,lolo_load0,proc/cwru_de12k_lolo_load0_train.npz,proc/cwru_de12k_lolo_load0_test.npz,12000,1,2048,3365,1002,"{""B"":708,""IR"":709,""OR"":1239,""healthy"":709}","{""B"":235,""IR"":235,""OR"":413,""healthy"":119}","{""load_hp"": [1, 2, 3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730, 1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754, 1771, 1772, 1773, 1774]}","{""load_hp"": [0], ""rpm"": [1796, 1797]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,lolo_load1,proc/cwru_de12k_lolo_load1_train.npz,proc/cwru_de12k_lolo_load1_test.npz,12000,1,2048,3246,1121,"{""B"":707,""IR"":708,""OR"":1239,""healthy"":592}","{""B"":236,""IR"":236,""OR"":413,""healthy"":236}","{""load_hp"": [0, 2, 3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730, 1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754, 1796, 1797]}","{""load_hp"": [1], ""rpm"": [1771, 1772, 1773, 1774]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,lolo_load2,proc/cwru_de12k_lolo_load2_train.npz,proc/cwru_de12k_lolo_load2_test.npz,12000,1,2048,3246,1121,"{""B"":707,""IR"":708,""OR"":1239,""healthy"":592}","{""B"":236,""IR"":236,""OR"":413,""healthy"":236}","{""load_hp"": [0, 1, 3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730, 1771, 1772, 1773, 1774, 1796, 1797]}","{""load_hp"": [2], ""rpm"": [1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,lolo_load3,proc/cwru_de12k_lolo_load3_train.npz,proc/cwru_de12k_lolo_load3_test.npz,12000,1,2048,3244,1123,"{""B"":707,""IR"":707,""OR"":1239,""healthy"":591}","{""B"":236,""IR"":237,""OR"":413,""healthy"":237}","{""load_hp"": [0, 1, 2], ""rpm"": [1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754, 1771, 1772, 1773, 1774, 1796, 1797]}","{""load_hp"": [3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,train_load0_test_load1,proc/cwru_de12k_train_load0_test_load1_train.npz,proc/cwru_de12k_train_load0_test_load1_test.npz,12000,1,2048,1002,1121,"{""B"":235,""IR"":235,""OR"":413,""healthy"":119}","{""B"":236,""IR"":236,""OR"":413,""healthy"":236}","{""load_hp"": [0], ""rpm"": [1796, 1797]}","{""load_hp"": [1], ""rpm"": [1771, 1772, 1773, 1774]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,train_load0_test_load2,proc/cwru_de12k_train_load0_test_load2_train.npz,proc/cwru_de12k_train_load0_test_load2_test.npz,12000,1,2048,1002,1121,"{""B"":235,""IR"":235,""OR"":413,""healthy"":119}","{""B"":236,""IR"":236,""OR"":413,""healthy"":236}","{""load_hp"": [0], ""rpm"": [1796, 1797]}","{""load_hp"": [2], ""rpm"": [1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,train_load0_test_load3,proc/cwru_de12k_train_load0_test_load3_train.npz,proc/cwru_de12k_train_load0_test_load3_test.npz,12000,1,2048,1002,1123,"{""B"":235,""IR"":235,""OR"":413,""healthy"":119}","{""B"":236,""IR"":237,""OR"":413,""healthy"":237}","{""load_hp"": [0], ""rpm"": [1796, 1797]}","{""load_hp"": [3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",0,0,PASS,file_or_condition_disjoint
CWRU,within_load0,proc/cwru_de12k_within_load0_train.npz,proc/cwru_de12k_within_load0_test.npz,12000,1,2048,696,306,"{""B"":163,""IR"":163,""OR"":287,""healthy"":83}","{""B"":72,""IR"":72,""OR"":126,""healthy"":36}","{""load_hp"": [0], ""rpm"": [1796, 1797]}","{""load_hp"": [0], ""rpm"": [1796, 1797]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",16,0,PASS,chronological_within_file
CWRU,within_load1,proc/cwru_de12k_within_load1_train.npz,proc/cwru_de12k_within_load1_test.npz,12000,1,2048,780,341,"{""B"":164,""IR"":164,""OR"":287,""healthy"":165}","{""B"":72,""IR"":72,""OR"":126,""healthy"":71}","{""load_hp"": [1], ""rpm"": [1771, 1772, 1773, 1774]}","{""load_hp"": [1], ""rpm"": [1771, 1772, 1773, 1774]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",16,0,PASS,chronological_within_file
CWRU,within_load2,proc/cwru_de12k_within_load2_train.npz,proc/cwru_de12k_within_load2_test.npz,12000,1,2048,780,341,"{""B"":164,""IR"":164,""OR"":287,""healthy"":165}","{""B"":72,""IR"":72,""OR"":126,""healthy"":71}","{""load_hp"": [2], ""rpm"": [1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754]}","{""load_hp"": [2], ""rpm"": [1746, 1747, 1748, 1749, 1750, 1751, 1752, 1754]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",16,0,PASS,chronological_within_file
CWRU,within_load3,proc/cwru_de12k_within_load3_train.npz,proc/cwru_de12k_within_load3_test.npz,12000,1,2048,781,342,"{""B"":164,""IR"":165,""OR"":287,""healthy"":165}","{""B"":72,""IR"":72,""OR"":126,""healthy"":72}","{""load_hp"": [3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730]}","{""load_hp"": [3], ""rpm"": [1718, 1719, 1721, 1722, 1723, 1724, 1725, 1728, 1729, 1730]}","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]","[""0.007"", ""0.014"", ""0.021"", ""0.028"", ""none""]",16,0,PASS,chronological_within_file
