budget,method,n_real,seeds,mean_acc,mean_macro_f1,n_syn_values
nsyn20,llm,5,10,0.58662,0.58088,80;80;80;80;80;80;80;80;80;80
nsyn20,rule,5,10,0.5588299999999999,0.55799,80;80;80;80;80;80;80;80;80;80
nsyn20,noise,5,10,0.46895,0.46665,80;80;80;80;80;80;80;80;80;80
nsyn20,llm,10,10,0.62778,0.6508,80;80;80;80;80;80;80;80;80;80
nsyn20,rule,10,10,0.58692,0.61262,80;80;80;80;80;80;80;80;80;80
nsyn20,noise,10,10,0.52549,0.54497,80;80;80;80;80;80;80;80;80;80
nsyn20,llm,25,10,0.66994,0.70887,80;80;80;80;80;80;80;80;80;80
nsyn20,rule,25,10,0.64184,0.67952,80;80;80;80;80;80;80;80;80;80
nsyn20,noise,25,10,0.64607,0.67085,80;80;80;80;80;80;80;80;80;80
nsyn38,llm,5,10,0.63366,0.6778,152;152;152;152;152;152;152;152;152;152
nsyn38,rule,5,10,0.57255,0.61368,152;152;152;152;152;152;152;152;152;152
nsyn38,noise,5,10,0.5134,0.54108,152;152;152;152;152;152;152;152;152;152
nsyn38,llm,10,10,0.63104,0.6779,152;152;152;152;152;152;152;152;152;152
nsyn38,rule,10,10,0.59347,0.6404299999999999,152;152;152;152;152;152;152;152;152;152
nsyn38,noise,10,10,0.57222,0.61196,152;152;152;152;152;152;152;152;152;152
nsyn38,llm,25,10,0.68333,0.72896,152;152;152;152;152;152;152;152;152;152
nsyn38,rule,25,10,0.64249,0.6903900000000001,152;152;152;152;152;152;152;152;152;152
nsyn38,noise,25,10,0.67746,0.71611,152;152;152;152;152;152;152;152;152;152
