budget,n_real,metric,comparison,seeds,mean_delta,wins,p_raw,deltas,holm_q
nsyn20,5,acc,llm>rule,10,0.02779,7,0.0244140625,0.0915;0.0425;0.0458;-0.0033;0.0523;0.0033;0.0262;-0.0065;0.0294;-0.0033,0.0244140625
nsyn20,5,acc,llm>noise,10,0.11766999999999998,9,0.0048828125,0.2909;0.1372;0.0327;-0.0654;0.1210;0.1340;0.1471;0.1504;0.1765;0.0523,0.009765625
nsyn20,5,macro_f1,llm>rule,10,0.022889999999999994,7,0.0419921875,0.0595;0.0403;0.0270;0.0118;0.0648;0.0650;-0.0078;-0.0355;0.0264;-0.0226,0.048828125
nsyn20,5,macro_f1,llm>noise,10,0.11423,8,0.0244140625,0.3601;0.2096;0.0534;-0.1854;0.1382;0.1596;0.0618;0.1672;0.2225;-0.0447,0.048828125
nsyn20,10,acc,llm>rule,10,0.04086000000000001,9,0.0029296875,0.0915;0.0196;0.0490;-0.0196;0.0359;0.0425;0.0556;0.0294;0.0360;0.0687,0.005859375
nsyn20,10,acc,llm>noise,10,0.10228999999999999,9,0.009765625,0.0458;0.1601;0.1013;-0.1144;0.1764;0.1666;0.0589;0.0229;0.1634;0.2419,0.009765625
nsyn20,10,macro_f1,llm>rule,10,0.038179999999999985,9,0.001953125,0.0825;0.0164;0.0433;-0.0024;0.0298;0.0354;0.0645;0.0179;0.0226;0.0718,0.00390625
nsyn20,10,macro_f1,llm>noise,10,0.10583000000000001,9,0.009765625,0.0506;0.2143;0.0640;-0.1001;0.1760;0.1500;0.0612;0.0377;0.1754;0.2292,0.009765625
nsyn20,25,acc,llm>rule,10,0.028100000000000003,8,0.0048828125,0.0555;0.0457;0.0523;0.0229;-0.0032;0.0163;0.0196;0.0458;0.0359;-0.0098,0.009765625
nsyn20,25,acc,llm>noise,10,0.023869999999999992,8,0.0615234375,0.0751;0.0098;0.0098;0.0883;-0.0228;0.0098;-0.0392;0.0327;0.0686;0.0066,0.0615234375
nsyn20,25,macro_f1,llm>rule,10,0.029350000000000022,9,0.001953125,0.0622;0.0412;0.0491;0.0266;0.0092;0.0168;0.0157;0.0405;0.0372;-0.0050,0.00390625
nsyn20,25,macro_f1,llm>noise,10,0.03802000000000001,8,0.0048828125,0.0727;0.0146;0.0251;0.0876;-0.0025;0.0153;-0.0043;0.0318;0.1055;0.0344,0.0048828125
nsyn38,5,acc,llm>rule,10,0.06111000000000002,10,0.0009765625,0.0653;0.0948;0.0458;0.0490;0.0196;0.0654;0.0948;0.0032;0.1013;0.0719,0.001953125
nsyn38,5,acc,llm>noise,10,0.12026,10,0.0009765625,0.1470;0.0392;0.2092;0.0098;0.0163;0.1700;0.1438;0.1274;0.2419;0.0980,0.001953125
nsyn38,5,macro_f1,llm>rule,10,0.06412,9,0.001953125,0.0682;0.1243;0.0372;0.0435;0.0154;0.0566;0.1295;-0.0036;0.0975;0.0726,0.001953125
nsyn38,5,macro_f1,llm>noise,10,0.13672,10,0.0009765625,0.1560;0.0535;0.2179;0.0067;0.0183;0.1740;0.2237;0.1670;0.2724;0.0777,0.001953125
nsyn38,10,acc,llm>rule,10,0.037570000000000006,8,0.01171875,0.1209;0.0098;0.0229;-0.0359;0.0686;0.0947;0.0457;0.0392;0.0098;0.0000,0.013671875
nsyn38,10,acc,llm>noise,10,0.05882000000000002,9,0.0068359375,0.0457;-0.0621;0.0883;0.0588;0.0752;0.1536;0.0065;0.0719;0.0785;0.0718,0.013671875
nsyn38,10,macro_f1,llm>rule,10,0.03747,8,0.013671875,0.1237;0.0064;0.0234;-0.0307;0.0851;0.0818;0.0490;0.0346;0.0021;-0.0007,0.013671875
nsyn38,10,macro_f1,llm>noise,10,0.06594,9,0.001953125,0.0328;-0.0259;0.0796;0.0719;0.0992;0.1402;0.0263;0.0659;0.0922;0.0772,0.00390625
nsyn38,25,acc,llm>rule,10,0.04083999999999999,8,0.0048828125,0.0425;0.0784;0.1013;0.0327;0.0164;0.0359;-0.0032;0.0522;0.0555;-0.0033,0.009765625
nsyn38,25,acc,llm>noise,10,0.005869999999999986,5,0.6044921875,0.0817;-0.0458;-0.0262;0.1013;0.0066;-0.0262;-0.0359;0.0261;0.0098;-0.0327,0.6044921875
nsyn38,25,macro_f1,llm>rule,10,0.03856999999999999,9,0.0029296875,0.0471;0.0725;0.1030;0.0297;0.0119;0.0290;-0.0025;0.0484;0.0450;0.0016,0.005859375
nsyn38,25,macro_f1,llm>noise,10,0.012850000000000006,6,0.34765625,0.0877;-0.0421;0.0234;0.0970;0.0090;-0.0231;-0.0308;0.0256;0.0074;-0.0256,0.34765625
