dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6066,0.5762,"{""healthy"":1.0,""IR"":0.35343035343035345,""B"":0.29971181556195964,""OR"":0.6518046709129511}","[[236,0,0,0],[0,85,2,149],[0,111,52,73],[0,49,57,307]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5968,0.6156,"{""healthy"":0.944,""IR"":0.4765840220385675,""B"":0.6736401673640168,""OR"":0.3680297397769517}","[[236,0,0,0],[0,173,47,16],[3,62,161,10],[25,255,34,99]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6182,0.6138,"{""healthy"":1.0,""IR"":0.2957393483709273,""B"":0.5723905723905723,""OR"":0.5868725868725869}","[[236,0,0,0],[0,59,63,114],[0,44,170,22],[0,60,125,228]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5807,0.4280,"{""healthy"":1.0,""IR"":0.0,""B"":0.07905138339920949,""OR"":0.6328125}","[[236,0,0,0],[0,0,0,236],[0,0,10,226],[0,1,7,405]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6780,0.6626,"{""healthy"":0.8855534709193246,""IR"":0.35872235872235875,""B"":0.7339449541284404,""OR"":0.6720554272517321}","[[236,0,0,0],[0,73,37,126],[5,35,160,36],[56,63,3,291]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6271,0.6250,"{""healthy"":0.9957805907172996,""IR"":0.5870646766169154,""B"":0.3504043126684636,""OR"":0.5667506297229219}","[[236,0,0,0],[0,177,11,48],[2,61,65,108],[0,129,59,225]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6450,0.6406,"{""healthy"":0.9421157684630739,""IR"":0.38095238095238093,""B"":0.6554934823091247,""OR"":0.5838509316770186}","[[236,0,0,0],[0,76,48,112],[3,12,176,45],[26,75,77,235]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6155,0.5491,"{""healthy"":1.0,""IR"":0.06716417910447761,""B"":0.5024154589371981,""OR"":0.6268382352941176}","[[236,0,0,0],[0,9,6,221],[0,19,104,113],[0,4,68,341]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5575,0.5624,"{""healthy"":0.8838951310861424,""IR"":0.45524296675191817,""B"":0.7068965517241379,""OR"":0.20346320346320346}","[[236,0,0,0],[0,178,58,0],[3,67,164,2],[59,301,6,47]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6557,0.5749,"{""healthy"":0.9978858350951374,""IR"":0.0,""B"":0.6502242152466368,""OR"":0.6513339466421343}","[[236,0,0,0],[0,0,6,230],[1,0,145,90],[0,0,59,354]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6673,0.6820,"{""healthy"":0.9978858350951374,""IR"":0.5384615384615384,""B"":0.5874125874125874,""OR"":0.6041666666666666}","[[236,0,0,0],[0,154,8,74],[1,60,126,49],[0,122,59,232]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6182,0.5915,"{""healthy"":0.7986463620981388,""IR"":0.3357664233576642,""B"":0.5879396984924623,""OR"":0.6437054631828979}","[[236,0,0,0],[1,69,41,125],[59,27,117,33],[59,79,4,271]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6209,0.5327,"{""healthy"":0.851985559566787,""IR"":0.007874015748031496,""B"":0.6223175965665236,""OR"":0.6487603305785123}","[[236,0,0,0],[0,1,59,176],[23,3,145,65],[59,14,26,314]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5459,0.4889,"{""healthy"":0.9874476987447699,""IR"":0.13414634146341464,""B"":0.26857142857142857,""OR"":0.565377532228361}","[[236,0,0,0],[0,22,16,198],[3,18,47,168],[3,52,51,307]]","[""healthy"",""IR"",""B"",""OR""]"
