dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5227,0.4999,"{""healthy"":0.9731958762886598,""IR"":0.4916317991631799,""B"":0.2066420664206642,""OR"":0.3283018867924528}","[[236,0,0,0],[0,235,0,1],[2,177,28,29],[11,308,7,87]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5691,0.5853,"{""healthy"":1.0,""IR"":0.49624060150375937,""B"":0.6416666666666667,""OR"":0.2032520325203252}","[[236,0,0,0],[0,198,31,7],[0,60,154,22],[0,304,59,50]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5468,0.4697,"{""healthy"":0.9936842105263158,""IR"":0.2857142857142857,""B"":0.007042253521126761,""OR"":0.5925233644859813}","[[236,0,0,0],[0,59,10,167],[3,59,1,173],[0,59,37,317]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5397,0.4857,"{""healthy"":1.0,""IR"":0.2890995260663507,""B"":0.11857707509881422,""OR"":0.5351598173515981}","[[236,0,0,0],[0,61,0,175],[0,7,15,214],[0,118,2,293]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5647,0.5686,"{""healthy"":0.8838951310861424,""IR"":0.42066420664206644,""B"":0.6153846153846154,""OR"":0.35456110154905335}","[[236,0,0,0],[0,114,88,34],[4,21,180,31],[58,171,81,103]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6200,0.5697,"{""healthy"":1.0,""IR"":0.4738955823293173,""B"":0.17037037037037037,""OR"":0.6347305389221557}","[[236,0,0,0],[0,118,1,117],[0,59,23,154],[0,85,10,318]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5112,0.5290,"{""healthy"":1.0,""IR"":0.3415977961432507,""B"":0.28095238095238095,""OR"":0.4935897435897436}","[[236,0,0,0],[0,124,60,52],[0,172,59,5],[0,194,65,154]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4808,0.4101,"{""healthy"":0.8838951310861424,""IR"":0.22903885480572597,""B"":0.024,""OR"":0.5036119711042312}","[[236,0,0,0],[0,56,0,180],[3,98,3,132],[59,99,11,244]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5558,0.5525,"{""healthy"":0.8838951310861424,""IR"":0.4701195219123506,""B"":0.68,""OR"":0.17582417582417584}","[[236,0,0,0],[0,177,59,0],[3,61,170,2],[59,279,35,40]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5450,0.5397,"{""healthy"":1.0,""IR"":0.35968379446640314,""B"":0.2898550724637681,""OR"":0.5092491838955386}","[[236,0,0,0],[0,91,0,145],[0,59,50,127],[0,120,59,234]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6137,0.6336,"{""healthy"":1.0,""IR"":0.5421133231240429,""B"":0.5725047080979284,""OR"":0.4197952218430034}","[[236,0,0,0],[0,177,34,25],[0,59,152,25],[0,181,109,123]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5620,0.5219,"{""healthy"":0.683068017366136,""IR"":0.4746666666666667,""B"":0.3224043715846995,""OR"":0.6074074074074074}","[[236,0,0,0],[39,89,13,95],[121,0,59,56],[59,50,58,246]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5522,0.4530,"{""healthy"":0.7468354430379747,""IR"":0.18227848101265823,""B"":0.21212121212121213,""OR"":0.6708727655099895}","[[236,0,0,0],[23,36,0,177],[78,88,28,42],[59,35,0,319]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4880,0.4529,"{""healthy"":0.87569573283859,""IR"":0.5,""B"":0.2709677419354839,""OR"":0.1649048625792812}","[[236,0,0,0],[0,230,0,6],[8,171,42,15],[59,283,32,39]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6209,0.5878,"{""healthy"":0.8054607508532423,""IR"":0.34972677595628415,""B"":0.5475113122171946,""OR"":0.6485849056603774}","[[236,0,0,0],[0,64,59,113],[55,13,121,47],[59,53,26,275]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5522,0.5170,"{""healthy"":1.0,""IR"":0.3297180043383948,""B"":0.19708029197080293,""OR"":0.5410628019323671}","[[236,0,0,0],[0,76,5,155],[0,22,27,187],[0,127,6,280]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6209,0.6219,"{""healthy"":0.8855534709193246,""IR"":0.40358744394618834,""B"":0.6679764243614931,""OR"":0.5305039787798409}","[[236,0,0,0],[0,90,46,100],[2,23,170,41],[59,97,57,200]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,17,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5879,0.6038,"{""healthy"":0.8939393939393939,""IR"":0.5088757396449705,""B"":0.5860215053763441,""OR"":0.4264264264264264}","[[236,0,0,0],[0,172,17,47],[4,59,109,64],[52,209,10,142]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,18,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.3640,0.3523,"{""healthy"":0.25830258302583026,""IR"":0.4740061162079511,""B"":0.3532934131736527,""OR"":0.323499491353001}","[[35,0,0,201],[0,155,25,56],[0,23,59,154],[0,240,14,159]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,19,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.2712,0.2022,"{""healthy"":0.0,""IR"":0.3661753297129558,""B"":0.4,""OR"":0.04265402843601896}","[[0,236,0,0],[0,236,0,0],[0,177,59,0],[0,404,0,9]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,20,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5647,0.5574,"{""healthy"":0.87569573283859,""IR"":0.5774647887323944,""B"":0.5519379844961241,""OR"":0.22448979591836735}","[[236,0,0,0],[0,164,64,8],[9,35,178,14],[58,133,167,55]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,21,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5308,0.4633,"{""healthy"":0.8805970149253731,""IR"":0.23492063492063492,""B"":0.20833333333333334,""OR"":0.5294650951949229}","[[236,0,0,0],[0,37,0,199],[5,2,30,199],[59,40,22,292]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,22,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4755,0.4561,"{""healthy"":0.9978858350951374,""IR"":0.4536290322580645,""B"":0.19014084507042253,""OR"":0.18255578093306288}","[[236,0,0,0],[0,225,0,11],[1,184,27,24],[0,347,21,45]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,23,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4505,0.4293,"{""healthy"":1.0,""IR"":0.4676354029062087,""B"":0.0,""OR"":0.2496607869742198}","[[236,0,0,0],[0,177,0,59],[0,63,0,173],[0,281,40,92]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,24,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5317,0.5105,"{""healthy"":1.0,""IR"":0.49069003285870755,""B"":0.1660377358490566,""OR"":0.38513513513513514}","[[236,0,0,0],[0,224,1,11],[0,160,22,54],[0,293,6,114]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,25,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4799,0.4815,"{""healthy"":1.0,""IR"":0.15879828326180256,""B"":0.22621184919210055,""OR"":0.5408299866131191}","[[236,0,0,0],[0,37,116,83],[0,124,63,49],[0,69,142,202]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,26,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6164,0.6167,"{""healthy"":0.921875,""IR"":0.3305439330543933,""B"":0.6320346320346321,""OR"":0.5822784810126582}","[[236,0,0,0],[0,79,46,111],[3,51,146,36],[37,112,34,230]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,27,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5281,0.4888,"{""healthy"":0.9957805907172996,""IR"":0.48502139800285304,""B"":0.03305785123966942,""OR"":0.4412121212121212}","[[236,0,0,0],[0,170,0,66],[2,66,4,164],[0,229,2,182]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,28,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4514,0.4145,"{""healthy"":0.8692449355432781,""IR"":0.474034620505992,""B"":0.08130081300813008,""OR"":0.2336182336182336}","[[236,0,0,0],[0,178,0,58],[12,65,10,149],[59,272,0,82]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,29,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5281,0.5230,"{""healthy"":0.979253112033195,""IR"":0.4166666666666667,""B"":0.2131979695431472,""OR"":0.48306997742663654}","[[236,0,0,0],[0,100,47,89],[4,20,42,170],[6,124,69,214]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,30,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6209,0.6070,"{""healthy"":1.0,""IR"":0.3900226757369615,""B"":0.41116751269035534,""OR"":0.6267379679144385}","[[236,0,0,0],[0,86,18,132],[0,58,81,97],[0,61,59,293]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,31,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5343,0.5305,"{""healthy"":0.9936842105263158,""IR"":0.029197080291970802,""B"":0.6487523992322457,""OR"":0.4502994011976048}","[[236,0,0,0],[0,6,55,175],[3,5,169,59],[0,164,61,188]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,32,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6164,0.5325,"{""healthy"":0.9254901960784314,""IR"":0.0,""B"":0.5741811175337187,""OR"":0.6302780638516993}","[[236,0,0,0],[0,0,54,182],[17,0,149,70],[21,6,80,306]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,33,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4425,0.4425,"{""healthy"":0.9957805907172996,""IR"":0.4018161180476731,""B"":0.26280623608017817,""OR"":0.1095890410958904}","[[236,0,0,0],[0,177,58,1],[2,175,59,0],[0,293,96,24]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,34,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5691,0.5427,"{""healthy"":0.735202492211838,""IR"":0.5655172413793104,""B"":0.29949238578680204,""OR"":0.5706874189364461}","[[236,0,0,0],[5,123,40,68],[106,1,59,70],[59,75,59,220]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,35,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5031,0.4878,"{""healthy"":0.8822429906542056,""IR"":0.4392857142857143,""B"":0.5035561877667141,""OR"":0.12612612612612611}","[[236,0,0,0],[0,123,113,0],[4,52,177,3],[59,149,177,28]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,36,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4362,0.3782,"{""healthy"":1.0,""IR"":0.43040293040293043,""B"":0.0,""OR"":0.08256880733944955}","[[236,0,0,0],[0,235,0,1],[0,232,0,4],[0,389,6,18]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,37,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5219,0.4881,"{""healthy"":0.8692449355432781,""IR"":0.4730290456431535,""B"":0.1776061776061776,""OR"":0.43235704323570434}","[[236,0,0,0],[0,171,0,65],[12,117,23,84],[59,199,0,155]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,38,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5103,0.4912,"{""healthy"":0.8180242634315424,""IR"":0.5623268698060941,""B"":0.3333333333333333,""OR"":0.25127334465195245}","[[236,0,0,0],[0,203,0,33],[46,62,59,69],[59,221,59,74]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,39,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5299,0.5423,"{""healthy"":1.0,""IR"":0.47238542890716806,""B"":0.5617977528089888,""OR"":0.1350210970464135}","[[236,0,0,0],[0,201,21,14],[0,96,125,15],[0,318,63,32]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5138,0.4575,"{""healthy"":0.7972972972972973,""IR"":0.37751004016064255,""B"":0.14671814671814673,""OR"":0.5083986562150056}","[[236,0,0,0],[1,94,0,141],[60,45,19,112],[59,123,4,227]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5299,0.5148,"{""healthy"":0.7814569536423841,""IR"":0.37753510140405616,""B"":0.38436482084690554,""OR"":0.5159420289855072}","[[236,0,0,0],[4,121,12,99],[69,108,59,0],[59,176,0,178]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5522,0.4890,"{""healthy"":0.8676470588235294,""IR"":0.3072916666666667,""B"":0.21804511278195488,""OR"":0.5629770992366412}","[[236,0,0,0],[0,59,1,176],[13,30,29,164],[59,59,0,295]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5192,0.5211,"{""healthy"":1.0,""IR"":0.5321100917431193,""B"":0.19411764705882353,""OR"":0.3582474226804124}","[[236,0,0,0],[0,174,5,57],[0,36,33,167],[0,208,66,139]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5468,0.4930,"{""healthy"":0.6781609195402298,""IR"":0.32642487046632124,""B"":0.36303630363036304,""OR"":0.6044340723453909}","[[236,0,0,0],[53,63,0,120],[112,4,55,65],[59,83,12,259]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,5,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6851,0.6829,"{""healthy"":1.0,""IR"":0.4978902953586498,""B"":0.5458612975391499,""OR"":0.6878680800942285}","[[236,0,0,0],[0,118,29,89],[0,59,122,55],[0,61,60,292]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,6,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.4906,0.4809,"{""healthy"":1.0,""IR"":0.4311111111111111,""B"":0.14012738853503184,""OR"":0.35251798561151076}","[[236,0,0,0],[0,194,11,31],[0,200,22,14],[0,270,45,98]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,7,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5647,0.5325,"{""healthy"":0.8109965635738832,""IR"":0.500768049155146,""B"":0.2867383512544803,""OR"":0.5315068493150685}","[[236,0,0,0],[0,163,0,73],[51,95,40,50],[59,157,3,194]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,8,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5085,0.4272,"{""healthy"":0.8027210884353742,""IR"":0.31784841075794623,""B"":0.052434456928838954,""OR"":0.5357873210633947}","[[236,0,0,0],[0,65,0,171],[57,40,7,132],[59,68,24,262]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,9,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5236,0.5159,"{""healthy"":0.7986463620981388,""IR"":0.5158371040723982,""B"":0.4,""OR"":0.3492063492063492}","[[236,0,0,0],[0,171,0,65],[60,23,59,94],[59,233,0,121]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,10,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6869,0.7056,"{""healthy"":0.9978858350951374,""IR"":0.5645933014354066,""B"":0.6597510373443983,""OR"":0.6}","[[236,0,0,0],[0,177,27,32],[1,59,159,17],[0,155,60,198]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,11,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5745,0.5135,"{""healthy"":0.8,""IR"":0.37249283667621774,""B"":0.28378378378378377,""OR"":0.5978152929493545}","[[236,0,0,0],[0,65,0,171],[59,13,42,122],[59,35,18,301]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,12,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5950,0.6078,"{""healthy"":0.8822429906542056,""IR"":0.411663807890223,""B"":0.6475770925110133,""OR"":0.48955223880597015}","[[236,0,0,0],[0,120,52,64],[4,56,147,29],[59,171,19,164]]","[""healthy"",""IR"",""B"",""OR""]"
