dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load2,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5879,0.5449,"{""healthy"":1.0,""IR"":0.06514657980456026,""B"":0.5374449339207048,""OR"":0.576808721506442}","[[236,0,0,0],[0,10,25,201],[0,10,122,104],[0,51,71,291]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6450,0.6651,"{""healthy"":0.979253112033195,""IR"":0.5290519877675841,""B"":0.6745562130177515,""OR"":0.4774624373956594}","[[236,0,0,0],[0,173,47,16],[2,36,171,27],[8,209,53,143]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5905,0.5983,"{""healthy"":1.0,""IR"":0.33915211970074816,""B"":0.5714285714285714,""OR"":0.48257372654155495}","[[236,0,0,0],[0,68,56,112],[0,17,178,41],[0,80,153,180]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5798,0.4113,"{""healthy"":1.0,""IR"":0.0,""B"":0.008438818565400843,""OR"":0.6368542791056284}","[[236,0,0,0],[0,0,0,236],[0,0,1,235],[0,0,0,413]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6467,0.6040,"{""healthy"":0.9182879377431906,""IR"":0.16049382716049382,""B"":0.697286012526096,""OR"":0.64}","[[236,0,0,0],[0,26,48,162],[7,8,167,54],[35,54,28,296]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6405,0.6460,"{""healthy"":0.9936842105263158,""IR"":0.5375,""B"":0.46766169154228854,""OR"":0.5853107344632769}","[[236,0,0,0],[0,129,12,95],[3,21,94,118],[0,94,60,259]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6146,0.5965,"{""healthy"":0.9853862212943633,""IR"":0.19390581717451524,""B"":0.628,""OR"":0.5787139689578714}","[[236,0,0,0],[0,35,32,169],[2,18,157,59],[5,72,75,261]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5781,0.5568,"{""healthy"":1.0,""IR"":0.16748768472906403,""B"":0.47593582887700536,""OR"":0.5838383838383838}","[[236,0,0,0],[0,34,9,193],[0,52,89,95],[0,84,40,289]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5629,0.5665,"{""healthy"":0.851985559566787,""IR"":0.4780361757105943,""B"":0.6712328767123288,""OR"":0.2647058823529412}","[[236,0,0,0],[0,185,51,0],[23,66,147,0],[59,287,4,63]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6164,0.5311,"{""healthy"":1.0,""IR"":0.0,""B"":0.4963144963144963,""OR"":0.6282165039929015}","[[236,0,0,0],[0,0,11,225],[0,0,101,135],[0,0,59,354]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6485,0.6679,"{""healthy"":1.0,""IR"":0.4559386973180077,""B"":0.6487695749440716,""OR"":0.5667915106117354}","[[236,0,0,0],[0,119,7,110],[0,40,145,51],[0,127,59,227]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6173,0.5909,"{""healthy"":0.7814569536423841,""IR"":0.3224181360201511,""B"":0.624113475177305,""OR"":0.6356968215158925}","[[236,0,0,0],[1,64,49,122],[72,9,132,23],[59,88,6,260]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5897,0.5384,"{""healthy"":0.8251748251748252,""IR"":0.12195121951219512,""B"":0.6022471910112359,""OR"":0.6042363433667781}","[[236,0,0,0],[0,20,55,161],[41,9,134,52],[59,63,20,271]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5540,0.4761,"{""healthy"":0.989517819706499,""IR"":0.09120521172638436,""B"":0.24050632911392406,""OR"":0.5831873905429071}","[[236,0,0,0],[0,14,9,213],[4,11,38,183],[1,46,33,333]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6227,0.5547,"{""healthy"":0.9535353535353536,""IR"":0.043795620437956206,""B"":0.5895691609977324,""OR"":0.6317829457364341}","[[236,0,0,0],[0,6,29,201],[8,6,130,92],[15,26,46,326]]","[""healthy"",""IR"",""B"",""OR""]"
