dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,within_load0,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5817,0.5981,"{""healthy"":1.0,""IR"":0.5,""B"":0.23404255319148937,""OR"":0.6585365853658537}","[[36,0,0,0],[0,50,1,21],[0,43,11,18],[0,35,10,81]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5882,0.6166,"{""healthy"":0.782608695652174,""IR"":0.5306122448979592,""B"":0.6933333333333334,""OR"":0.45977011494252873}","[[36,0,0,0],[0,52,12,8],[2,18,52,0],[18,54,14,40]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5359,0.5259,"{""healthy"":1.0,""IR"":0.0,""B"":0.5114503816793893,""OR"":0.5922330097087378}","[[36,0,0,0],[0,0,58,14],[0,0,67,5],[0,0,65,61]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4869,0.4124,"{""healthy"":1.0,""IR"":0.0,""B"":0.06593406593406594,""OR"":0.583554376657825}","[[36,0,0,0],[0,0,0,72],[0,0,3,69],[0,0,16,110]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6536,0.6433,"{""healthy"":0.9230769230769231,""IR"":0.2826086956521739,""B"":0.684931506849315,""OR"":0.6824324324324325}","[[36,0,0,0],[0,13,8,51],[0,4,50,18],[6,3,16,101]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5882,0.6276,"{""healthy"":1.0,""IR"":0.3392857142857143,""B"":0.5899280575539568,""OR"":0.5813148788927336}","[[36,0,0,0],[0,19,2,51],[0,3,41,28],[0,18,24,84]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5817,0.5788,"{""healthy"":0.9473684210526315,""IR"":0.08333333333333333,""B"":0.6853146853146853,""OR"":0.5993265993265994}","[[36,0,0,0],[0,4,6,62],[0,3,49,20],[4,17,16,89]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6111,0.5915,"{""healthy"":1.0,""IR"":0.07317073170731707,""B"":0.6470588235294118,""OR"":0.6459627329192547}","[[36,0,0,0],[0,3,0,69],[0,5,44,23],[0,2,20,104]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6209,0.6433,"{""healthy"":0.8,""IR"":0.5777777777777777,""B"":0.6385542168674698,""OR"":0.5568181818181818}","[[36,0,0,0],[0,52,19,1],[0,19,53,0],[18,37,22,49]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6176,0.5812,"{""healthy"":1.0,""IR"":0.0,""B"":0.6764705882352942,""OR"":0.6484848484848484}","[[36,0,0,0],[0,0,0,72],[0,1,46,25],[0,1,18,107]]","[""healthy"",""IR"",""B"",""OR""]"
