split_group,method,n_real,metric,folds,fold_mean,fold_std,fold_min,fold_max
lolo_all4,llm,5,acc,4,0.617085,0.020081828747236456,0.5885300000000001,0.6356425000000001
lolo_all4,llm,5,macro_f1,4,0.5942587500000001,0.006910683305578396,0.586425,0.60327
lolo_all4,llm,10,acc,4,0.6374,0.017314445919520503,0.6159125,0.6578075
lolo_all4,llm,10,macro_f1,4,0.6305875,0.009767813428125367,0.6203875,0.6438849999999999
lolo_all4,llm,25,acc,4,0.6739906250000001,0.027424041792361138,0.6397999999999999,0.7039025000000001
lolo_all4,llm,25,macro_f1,4,0.68133,0.019128863335284733,0.665155,0.7050475
lolo_all4,rule,5,acc,4,0.589515625,0.02277324338039055,0.5572374999999999,0.6105725000000001
lolo_all4,rule,5,macro_f1,4,0.5642637500000001,0.008336794073063515,0.558765,0.576605
lolo_all4,rule,10,acc,4,0.602475,0.020254204090344688,0.5747199999999999,0.623375
lolo_all4,rule,10,macro_f1,4,0.59562625,0.008505336682538406,0.58956,0.6081725
lolo_all4,rule,25,acc,4,0.653286875,0.025815875394722427,0.61974,0.6810475
lolo_all4,rule,25,macro_f1,4,0.66043,0.016509359340487265,0.6465725,0.681845
lolo_all4,noise_aug,5,acc,4,0.5155562499999999,0.028098986154604707,0.4738525,0.5349325
lolo_all4,noise_aug,5,macro_f1,4,0.501159375,0.007501103634077249,0.49223249999999996,0.5100125
lolo_all4,noise_aug,10,acc,4,0.545745625,0.02813920155339352,0.5039999999999999,0.5655075
lolo_all4,noise_aug,10,macro_f1,4,0.5312950000000001,0.01082085390191858,0.5174575,0.54367
lolo_all4,noise_aug,25,acc,4,0.633916875,0.022733603557930873,0.6005325,0.6489550000000001
lolo_all4,noise_aug,25,macro_f1,4,0.6377137500000001,0.011346238455247347,0.623555,0.649
lolo_all4,real_only,5,acc,4,0.251943125,0.011207318177386003,0.24513,0.26858
lolo_all4,real_only,5,macro_f1,4,0.139695,0.002800764032664422,0.13721250000000002,0.143245
lolo_all4,real_only,10,acc,4,0.309079375,0.005379775930510495,0.3026925,0.3139125
lolo_all4,real_only,10,macro_f1,4,0.23743562499999998,0.005635421965493498,0.2329275,0.2449925
lolo_all4,real_only,25,acc,4,0.535085625,0.03110812510254896,0.48865,0.5544425000000001
lolo_all4,real_only,25,macro_f1,4,0.5046474999999999,0.012651805701163787,0.48595749999999993,0.5139549999999999
