split,method,n_real,metric,n_seeds,mean,std,median,min,max
within_load0,llm,5,acc,40,0.5638825000000001,0.06836801579198663,0.5817,0.415,0.6895
within_load0,llm,5,macro_f1,40,0.5672875,0.07524665828681917,0.58875,0.3956,0.6835
within_load0,llm,10,acc,40,0.62051,0.03691626561106454,0.6307,0.5261,0.6863
within_load0,llm,10,macro_f1,40,0.645865,0.04981945120079825,0.64975,0.5307,0.7291
within_load0,llm,25,acc,40,0.6738475,0.03724394280471693,0.6780999999999999,0.5784,0.732
within_load0,llm,25,macro_f1,40,0.710635,0.030343279997812386,0.7166,0.6358,0.7683
within_load0,rule,5,acc,40,0.5486125000000001,0.05345851105152624,0.56045,0.4248,0.6405
within_load0,rule,5,macro_f1,40,0.5540200000000001,0.06158321116534844,0.57445,0.4146,0.6596
within_load0,rule,10,acc,40,0.583985,0.03310367204048672,0.58495,0.4967,0.6373
within_load0,rule,10,macro_f1,40,0.6112775000000001,0.045748680729191936,0.62365,0.496,0.6858
within_load0,rule,25,acc,40,0.6518775,0.03716545464851425,0.6503,0.5523,0.719
within_load0,rule,25,macro_f1,40,0.6890799999999999,0.03534720966030036,0.68965,0.6075,0.7503
within_load0,noise_aug,5,acc,40,0.45449,0.06572069806268155,0.4444,0.2941,0.598
within_load0,noise_aug,5,macro_f1,40,0.459765,0.0839178522310773,0.46304999999999996,0.2289,0.6175
within_load0,noise_aug,10,acc,40,0.534145,0.06482950796176154,0.5196000000000001,0.4248,0.6961
within_load0,noise_aug,10,macro_f1,40,0.5536075,0.08150128640639628,0.5408,0.4411,0.7441
within_load0,noise_aug,25,acc,40,0.6276999999999999,0.05543380899313324,0.6307499999999999,0.5065,0.7353
within_load0,noise_aug,25,macro_f1,40,0.6550125,0.05345989240686747,0.6714,0.5457,0.7477
within_load0,real_only,5,acc,40,0.2641375,0.06995535824678405,0.2353,0.1667,0.5327
within_load0,real_only,5,macro_f1,40,0.1322775,0.06296972201801149,0.1041,0.0952,0.4187
within_load0,real_only,10,acc,40,0.3379075,0.10764527545100658,0.35455000000000003,0.1275,0.549
within_load0,real_only,10,macro_f1,40,0.24473250000000002,0.139705931793196,0.21325,0.083,0.612
within_load0,real_only,25,acc,40,0.49322,0.09571111769947131,0.49675,0.2941,0.6601
within_load0,real_only,25,macro_f1,40,0.49902749999999996,0.08656107962826166,0.50185,0.3335,0.6633
lolo_load0,llm,5,acc,40,0.5885300000000001,0.05201881907984396,0.5998,0.4471,0.6747
lolo_load0,llm,5,macro_f1,40,0.5937375,0.07441773529826795,0.59075,0.4268,0.718
lolo_load0,llm,10,acc,40,0.6159125,0.046323324066436584,0.62025,0.523,0.7116
lolo_load0,llm,10,macro_f1,40,0.628505,0.05774450778634431,0.63235,0.5114,0.7272
lolo_load0,llm,25,acc,40,0.6397999999999999,0.033653681171756766,0.6457,0.5529,0.6916
lolo_load0,llm,25,macro_f1,40,0.6664875,0.03634791418203547,0.66935,0.5466,0.725
lolo_load0,rule,5,acc,40,0.5572374999999999,0.040138578459746554,0.5609,0.4351,0.6138
lolo_load0,rule,5,macro_f1,40,0.5619725,0.061065441935008936,0.5663,0.4271,0.6589
lolo_load0,rule,10,acc,40,0.5747199999999999,0.04331464014951585,0.5709,0.486,0.6956
lolo_load0,rule,10,macro_f1,40,0.58956,0.052597468984635985,0.57985,0.4726,0.7037
lolo_load0,rule,25,acc,40,0.61974,0.037800269975972536,0.6178,0.5419,0.6976
lolo_load0,rule,25,macro_f1,40,0.64833,0.040420673816685335,0.6548499999999999,0.5443,0.7283
lolo_load0,noise_aug,5,acc,40,0.4738525,0.06893504184077748,0.4721,0.3144,0.5848
lolo_load0,noise_aug,5,macro_f1,40,0.49223249999999996,0.08888058652065933,0.47885,0.2281,0.6411
lolo_load0,noise_aug,10,acc,40,0.5039999999999999,0.06201759882567661,0.49,0.3882,0.6747
lolo_load0,noise_aug,10,macro_f1,40,0.5174575,0.07401472787430682,0.49639999999999995,0.4245,0.723
lolo_load0,noise_aug,25,acc,40,0.6005325,0.05689442488797415,0.6083000000000001,0.4671,0.6926
lolo_load0,noise_aug,25,macro_f1,40,0.623555,0.06024018145339921,0.6347,0.4945,0.7092
lolo_load0,real_only,5,acc,40,0.26858,0.05826505835954364,0.2405,0.2206,0.4122
lolo_load0,real_only,5,macro_f1,40,0.143245,0.05326159895343852,0.13175,0.095,0.3078
lolo_load0,real_only,10,acc,40,0.3026925,0.09829186362628499,0.3034,0.1277,0.5319
lolo_load0,real_only,10,macro_f1,40,0.2329275,0.12691747972701165,0.1961,0.0794,0.6038
lolo_load0,real_only,25,acc,40,0.48865,0.08324318097890769,0.502,0.3124,0.6257
lolo_load0,real_only,25,macro_f1,40,0.48595749999999993,0.07832924884332146,0.4971,0.3498,0.6307
lolo_load1,llm,5,acc,40,0.6223025,0.039696537906911626,0.624,0.545,0.7083
lolo_load1,llm,5,macro_f1,40,0.5936025,0.06437637123259529,0.5973999999999999,0.4201,0.7181
lolo_load1,llm,10,acc,40,0.64115,0.043457506506872565,0.6516500000000001,0.5477,0.7333
lolo_load1,llm,10,macro_f1,40,0.6295725,0.05664568685913861,0.6403,0.5007,0.739
lolo_load1,llm,25,acc,40,0.685705,0.03777536132291687,0.69355,0.587,0.7502
lolo_load1,llm,25,macro_f1,40,0.6886300000000001,0.04315630030957538,0.6949000000000001,0.5218,0.751
lolo_load1,rule,5,acc,40,0.5931725,0.03213035937535937,0.5901000000000001,0.5058,0.6601
lolo_load1,rule,5,macro_f1,40,0.558765,0.054244212972681616,0.571,0.4091,0.6303
lolo_load1,rule,10,acc,40,0.606065,0.0424477811929567,0.6052500000000001,0.5013,0.7136
lolo_load1,rule,10,macro_f1,40,0.59334,0.05525145687834382,0.5859,0.4645,0.724
