split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
within_load0,within_load0_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.5638825000000001,0.5486125000000001,0.01527,0.017949999999999966,29,0,11,597.0,0.005972278548112303,0.005972278548112303,0.00603938280146188,True
within_load0,within_load0_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.5638825000000001,0.45449,0.1093925,0.11924999999999997,34,0,6,776.0,4.333028213307217e-07,8.666056426614434e-07,6.499542319960826e-07,True
within_load0,within_load0_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.5638825000000001,0.2641375,0.299745,0.31375,40,0,0,820.0,1.782801866256058e-08,5.348405598768174e-08,3.822992489885735e-08,True
within_load0,within_load0_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.5672875,0.5540200000000001,0.013267500000000007,0.007449999999999984,24,0,16,542.0,0.0385003071387473,0.0385003071387473,0.0385003071387473,True
within_load0,within_load0_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.5672875,0.459765,0.1075225,0.13454999999999998,31,0,9,726.0,2.4664041120558977e-06,4.9328082241117954e-06,3.083005140069872e-06,True
within_load0,within_load0_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.5672875,0.1322775,0.43501,0.45245,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
within_load0,within_load0_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.62051,0.583985,0.03652499999999999,0.03759999999999997,39,0,1,819.0,1.9180501580742654e-08,5.348405598768174e-08,4.014523586667067e-08,True
within_load0,within_load0_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.62051,0.534145,0.086365,0.0882,37,0,3,785.5,2.2382361007016492e-07,2.2382361007016492e-07,3.5340570011078673e-07,True
within_load0,within_load0_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.62051,0.3379075,0.2826025,0.2647,40,0,0,820.0,1.782801866256058e-08,5.348405598768174e-08,3.822992489885735e-08,True
within_load0,within_load0_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.645865,0.6112775000000001,0.03458750000000001,0.03384999999999999,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
within_load0,within_load0_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.645865,0.5536075,0.0922575,0.09230000000000002,36,0,4,788.0,2.5147528504021466e-09,2.5147528504021466e-09,8.0831341620069e-09,True
within_load0,within_load0_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.645865,0.24473250000000002,0.4011325,0.41735,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
within_load0,within_load0_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.6738475,0.6518775,0.02197,0.02284999999999998,31,3,6,621.0,2.38261094992488e-05,4.76522189984976e-05,2.68043731866549e-05,True
within_load0,within_load0_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.6738475,0.6276999999999999,0.04614750000000001,0.03920000000000001,30,1,9,676.0,3.2765338773223066e-05,4.76522189984976e-05,3.5961957190122875e-05,True
within_load0,within_load0_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.6738475,0.49322,0.1806275,0.17314999999999997,40,0,0,820.0,1.7840631619466765e-08,5.3521894858400295e-08,3.822992489885735e-08,True
