dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load0,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5818,0.6071,"{""healthy"":0.9916666666666667,""IR"":0.23013698630136986,""B"":0.6036866359447005,""OR"":0.6031088082901555}","[[119,0,0,0],[0,42,5,188],[2,29,131,73],[0,59,63,291]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5938,0.6545,"{""healthy"":0.9596774193548387,""IR"":0.5440729483282675,""B"":0.6550218340611353,""OR"":0.459375}","[[119,0,0,0],[0,179,8,48],[10,43,150,32],[0,201,65,147]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5459,0.6034,"{""healthy"":1.0,""IR"":0.35514018691588783,""B"":0.5570469798657718,""OR"":0.5013477088948787}","[[119,0,0,0],[0,76,58,101],[0,27,166,42],[0,90,137,186]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5399,0.4308,"{""healthy"":1.0,""IR"":0.0,""B"":0.08163265306122448,""OR"":0.6417445482866043}","[[119,0,0,0],[0,0,0,235],[0,1,10,224],[0,1,0,412]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6018,0.5747,"{""healthy"":0.8913857677902621,""IR"":0.11447811447811448,""B"":0.6405228758169934,""OR"":0.6523955147808359}","[[119,0,0,0],[0,17,28,190],[18,12,147,58],[11,33,49,320]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5399,0.5818,"{""healthy"":0.9794238683127572,""IR"":0.38137472283813745,""B"":0.41397849462365593,""OR"":0.5522388059701493}","[[119,0,0,0],[0,86,1,148],[5,35,77,118],[0,95,59,259]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5639,0.6039,"{""healthy"":0.952,""IR"":0.30952380952380953,""B"":0.5979381443298969,""OR"":0.5559481743227326}","[[119,0,0,0],[0,65,23,147],[11,26,145,53],[1,94,82,236]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5669,0.5722,"{""healthy"":0.9875518672199171,""IR"":0.11634349030470914,""B"":0.554945054945055,""OR"":0.630057803468208}","[[119,0,0,0],[0,21,0,214],[3,47,101,84],[0,58,28,327]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5349,0.5691,"{""healthy"":0.7752442996742671,""IR"":0.5019710906701709,""B"":0.6854460093896714,""OR"":0.3137254901960784}","[[119,0,0,0],[0,191,34,10],[16,66,146,7],[53,269,11,80]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5878,0.5432,"{""healthy"":0.9714285714285714,""IR"":0.0,""B"":0.5658536585365853,""OR"":0.6355475763016158}","[[119,0,0,0],[0,0,0,235],[7,0,116,112],[0,0,59,354]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5709,0.6182,"{""healthy"":0.9794238683127572,""IR"":0.3325942350332594,""B"":0.5903890160183066,""OR"":0.570446735395189}","[[119,0,0,0],[0,75,12,148],[5,38,129,63],[0,103,61,249]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6008,0.6042,"{""healthy"":0.7391304347826086,""IR"":0.3173076923076923,""B"":0.739454094292804,""OR"":0.6210892236384704}","[[119,0,0,0],[0,66,17,152],[25,31,149,30],[59,84,2,268]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5180,0.4809,"{""healthy"":0.7484276729559748,""IR"":0.019672131147540985,""B"":0.5867237687366167,""OR"":0.5689277899343544}","[[119,0,0,0],[0,3,59,173],[21,9,137,68],[59,58,36,260]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5020,0.4734,"{""healthy"":0.9407114624505929,""IR"":0.06474820143884892,""B"":0.31351351351351353,""OR"":0.5747960108794198}","[[119,0,0,0],[0,9,13,213],[14,3,58,160],[1,31,64,317]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5978,0.5631,"{""healthy"":0.8235294117647058,""IR"":0.11604095563139932,""B"":0.6683046683046683,""OR"":0.6443349753694582}","[[119,0,0,0],[0,17,8,210],[20,14,136,65],[31,27,28,327]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5299,0.4299,"{""healthy"":1.0,""IR"":0.0,""B"":0.08943089430894309,""OR"":0.6300078554595444}","[[119,0,0,0],[0,0,0,235],[0,0,11,224],[0,12,0,401]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5379,0.5643,"{""healthy"":0.8350877192982457,""IR"":0.3063063063063063,""B"":0.5714285714285714,""OR"":0.5442477876106194}","[[119,0,0,0],[0,68,6,161],[9,36,106,84],[38,105,24,246]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,17,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5599,0.5683,"{""healthy"":0.6629526462395543,""IR"":0.562111801242236,""B"":0.5317220543806647,""OR"":0.5164179104477612}","[[119,0,0,0],[0,181,8,46],[62,47,88,38],[59,181,0,173]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,18,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5409,0.5970,"{""healthy"":0.99581589958159,""IR"":0.29321663019693656,""B"":0.609715242881072,""OR"":0.48945147679324896}","[[119,0,0,0],[0,67,70,98],[1,26,182,26],[0,129,110,174]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,19,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5140,0.5407,"{""healthy"":0.9049429657794676,""IR"":0.3480916030534351,""B"":0.3161512027491409,""OR"":0.5937106918238994}","[[119,0,0,0],[0,114,3,118],[11,150,46,28],[14,156,7,236]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,20,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5589,0.6106,"{""healthy"":0.9596774193548387,""IR"":0.47418738049713194,""B"":0.4719626168224299,""OR"":0.5366459627329192}","[[119,0,0,0],[0,124,22,89],[10,37,101,87],[0,127,70,216]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,21,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5649,0.5492,"{""healthy"":0.9875518672199171,""IR"":0.00749063670411985,""B"":0.6162570888468809,""OR"":0.5853154084798345}","[[119,0,0,0],[0,1,28,206],[3,4,163,65],[0,27,103,283]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,22,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6038,0.6350,"{""healthy"":1.0,""IR"":0.281767955801105,""B"":0.6545454545454545,""OR"":0.6037344398340249}","[[119,0,0,0],[0,51,0,184],[0,15,144,76],[0,61,61,291]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,23,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6088,0.6589,"{""healthy"":1.0,""IR"":0.491362763915547,""B"":0.5409429280397022,""OR"":0.6033254156769596}","[[119,0,0,0],[0,128,0,107],[0,58,109,68],[0,100,59,254]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,24,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5120,0.5288,"{""healthy"":0.9635627530364372,""IR"":0.5,""B"":0.1568627450980392,""OR"":0.49491525423728816}","[[119,0,0,0],[0,228,0,7],[9,182,20,24],[0,267,0,146]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,25,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5619,0.5310,"{""healthy"":0.85,""IR"":0.07692307692307693,""B"":0.5714285714285714,""OR"":0.6255924170616114}","[[119,0,0,0],[0,12,4,219],[14,26,102,93],[28,39,16,330]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,26,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5888,0.5373,"{""healthy"":0.7854785478547854,""IR"":0.00749063670411985,""B"":0.7286432160804021,""OR"":0.6274131274131274}","[[119,0,0,0],[0,1,10,224],[14,2,145,74],[51,29,8,325]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,27,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5699,0.6295,"{""healthy"":0.9875518672199171,""IR"":0.5201938610662359,""B"":0.4916467780429594,""OR"":0.5186206896551724}","[[119,0,0,0],[0,161,8,66],[3,71,103,58],[0,152,73,188]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,28,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5938,0.6196,"{""healthy"":0.8592057761732852,""IR"":0.38137472283813745,""B"":0.6415094339622641,""OR"":0.596244131455399}","[[119,0,0,0],[0,86,13,136],[9,41,136,49],[30,89,40,254]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,29,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5798,0.5274,"{""healthy"":0.8782287822878229,""IR"":0.0,""B"":0.5930470347648262,""OR"":0.6384692849949648}","[[119,0,0,0],[0,0,41,194],[21,0,145,69],[12,16,68,317]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,30,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5429,0.5426,"{""healthy"":0.9296875,""IR"":0.12232415902140673,""B"":0.5300668151447662,""OR"":0.588477366255144}","[[119,0,0,0],[0,20,29,186],[15,14,119,87],[3,58,66,286]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,31,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6138,0.6384,"{""healthy"":0.9558232931726908,""IR"":0.28969359331476324,""B"":0.706140350877193,""OR"":0.6021276595744681}","[[119,0,0,0],[0,52,1,182],[11,1,161,62],[0,71,59,283]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load0,custom_pool,5,32,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6038,0.5511,"{""healthy"":0.9296875,""IR"":0.0,""B"":0.6163522012578616,""OR"":0.658252427184466}","[[119,0,0,0],[0,0,27,208],[18,0,147,70],[0,6,68,339]]","[""healthy"",""IR"",""B"",""OR""]"
