dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load2,real_only,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.0,""B"":0.34782608695652173,""OR"":0.0}","[[0,0,236,0],[0,0,236,0],[0,0,236,0],[0,0,413,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3586,0.1779,"{""healthy"":0.0,""IR"":0.1981981981981982,""B"":0.0,""OR"":0.5135699373695198}","[[0,0,0,236],[0,33,0,203],[0,20,0,216],[0,44,0,369]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3363,0.2599,"{""healthy"":0.0,""IR"":0.5436046511627907,""B"":0.09465020576131687,""OR"":0.4014423076923077}","[[0,1,165,70],[0,187,15,34],[0,65,23,148],[0,199,47,167]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2239,0.1146,"{""healthy"":0.0,""IR"":0.3581183611532625,""B"":0.08118081180811808,""OR"":0.019184652278177457}","[[0,236,0,0],[0,236,0,0],[0,225,11,0],[0,385,24,4]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2087,0.1599,"{""healthy"":0.0,""IR"":0.1402439024390244,""B"":0.32634032634032634,""OR"":0.17317073170731706}","[[0,0,0,236],[0,23,193,20],[0,16,140,80],[0,53,289,71]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2141,0.1102,"{""healthy"":0.0,""IR"":0.0,""B"":0.41944194419441944,""OR"":0.021244309559939303}","[[0,0,0,236],[0,0,236,0],[0,0,233,3],[0,0,406,7]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2114,0.0972,"{""healthy"":0.0,""IR"":0.0,""B"":0.3790322580645161,""OR"":0.009615384615384616}","[[0,114,122,0],[0,0,236,0],[0,0,235,1],[0,0,411,2]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2810,0.2247,"{""healthy"":0.0,""IR"":0.41150442477876104,""B"":0.4808743169398907,""OR"":0.006259780907668232}","[[0,0,27,209],[0,93,140,3],[0,4,220,12],[0,119,292,2]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.1053,"{""healthy"":0.0,""IR"":0.0,""B"":0.42105263157894735,""OR"":0.0}","[[0,0,0,236],[0,0,236,0],[0,0,236,0],[0,0,413,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2096,0.0867,"{""healthy"":0.0,""IR"":0.0,""B"":0.3466076696165192,""OR"":0.0}","[[0,0,236,0],[0,0,236,0],[0,0,235,1],[0,0,413,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2194,0.1160,"{""healthy"":0.0,""IR"":0.0,""B"":0.4222020018198362,""OR"":0.041728763040238454}","[[0,0,0,236],[0,0,232,4],[0,0,232,4],[0,0,399,14]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3577,0.1972,"{""healthy"":0.0,""IR"":0.0,""B"":0.2661122661122661,""OR"":0.5228859581070597}","[[0,0,0,236],[0,0,105,131],[0,0,64,172],[0,0,76,337]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2123,0.0895,"{""healthy"":0.0,""IR"":0.0,""B"":0.34833948339483395,""OR"":0.00963855421686747}","[[0,0,236,0],[0,0,236,0],[0,0,236,0],[0,0,411,2]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2997,0.2437,"{""healthy"":0.0,""IR"":0.14563106796116504,""B"":0.24509803921568626,""OR"":0.5839793281653747}","[[0,236,0,0],[0,60,58,118],[0,169,50,17],[0,123,64,226]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load2,real_only,5,17,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
