dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load3,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5681,0.4959,"{""healthy"":0.9937106918238994,""IR"":0.2863157894736842,""B"":0.0547945205479452,""OR"":0.6487025948103793}","[[237,0,0,0],[0,68,0,169],[3,130,8,95],[0,40,48,325]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6020,0.6165,"{""healthy"":0.9168278529980658,""IR"":0.4935437589670014,""B"":0.681912681912682,""OR"":0.3738656987295826}","[[237,0,0,0],[0,172,45,20],[8,49,164,15],[35,239,36,103]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6037,0.5972,"{""healthy"":0.9875,""IR"":0.314540059347181,""B"":0.5463414634146342,""OR"":0.5405405405405406}","[[237,0,0,0],[0,53,60,124],[6,5,168,57],[0,42,151,220]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5797,0.4354,"{""healthy"":1.0,""IR"":0.0,""B"":0.11320754716981132,""OR"":0.6283464566929133}","[[237,0,0,0],[0,0,0,237],[0,0,15,221],[0,0,14,399]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6385,0.6412,"{""healthy"":0.8697247706422019,""IR"":0.46748681898066785,""B"":0.6161879895561357,""OR"":0.6114819759679573}","[[237,0,0,0],[0,133,18,86],[17,80,118,21],[54,119,11,229]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6367,0.6358,"{""healthy"":0.9595141700404858,""IR"":0.5626072041166381,""B"":0.43783783783783786,""OR"":0.5832290362953693}","[[237,0,0,0],[0,164,5,68],[8,62,81,85],[12,120,48,233]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6011,0.5681,"{""healthy"":0.9404761904761905,""IR"":0.14492753623188406,""B"":0.5995423340961098,""OR"":0.5875}","[[237,0,0,0],[0,25,17,195],[7,28,131,70],[23,55,53,282]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6251,0.5828,"{""healthy"":0.9854469854469855,""IR"":0.09146341463414634,""B"":0.6294642857142857,""OR"":0.6248736097067745}","[[237,0,0,0],[0,15,18,204],[5,27,141,63],[2,49,53,309]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5922,0.5981,"{""healthy"":0.8745387453874539,""IR"":0.5020463847203275,""B"":0.6723404255319149,""OR"":0.34331337325349304}","[[237,0,0,0],[0,184,51,2],[15,63,158,0],[53,249,25,86]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6474,0.5664,"{""healthy"":0.9916317991631799,""IR"":0.0,""B"":0.6296296296296297,""OR"":0.6442220200181984}","[[237,0,0,0],[0,0,1,236],[4,0,136,96],[0,0,59,354]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.7088,0.7217,"{""healthy"":0.9875,""IR"":0.5955249569707401,""B"":0.6530612244897959,""OR"":0.6505376344086021}","[[237,0,0,0],[0,173,2,62],[6,59,144,27],[0,112,59,242]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6331,0.5928,"{""healthy"":0.7596153846153846,""IR"":0.33516483516483514,""B"":0.5862068965517241,""OR"":0.6901408450704225}","[[237,0,0,0],[0,61,45,131],[91,12,119,14],[59,54,6,294]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6394,0.5714,"{""healthy"":0.8525179856115108,""IR"":0.10774410774410774,""B"":0.6478260869565218,""OR"":0.677384780278671}","[[237,0,0,0],[0,16,57,164],[25,22,149,40],[57,22,18,316]]","[""healthy"",""IR"",""B"",""OR""]"
