dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load3,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4907,0.4608,"{""healthy"":0.9978947368421053,""IR"":0.4304635761589404,""B"":0.03861003861003861,""OR"":0.37623762376237624}","[[237,0,0,0],[0,195,0,42],[1,193,5,37],[0,281,18,114]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5806,0.5963,"{""healthy"":0.9957983193277311,""IR"":0.5012853470437018,""B"":0.6585858585858586,""OR"":0.22937625754527163}","[[237,0,0,0],[0,195,29,13],[2,57,163,14],[0,289,67,57]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5557,0.4984,"{""healthy"":0.9498997995991983,""IR"":0.30412371134020616,""B"":0.15625,""OR"":0.5832531280076997}","[[237,0,0,0],[0,59,20,158],[13,33,25,165],[12,59,39,303]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5343,0.4860,"{""healthy"":0.9916317991631799,""IR"":0.40186915887850466,""B"":0.024193548387096774,""OR"":0.5261958997722096}","[[237,0,0,0],[0,129,1,107],[4,102,3,127],[0,174,8,231]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5058,0.4968,"{""healthy"":0.8843283582089553,""IR"":0.5078369905956113,""B"":0.24641833810888253,""OR"":0.34854771784232363}","[[237,0,0,0],[0,162,29,46],[9,46,43,138],[53,193,41,126]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6198,0.5754,"{""healthy"":0.9978947368421053,""IR"":0.472,""B"":0.2007168458781362,""OR"":0.6310483870967742}","[[237,0,0,0],[0,118,1,118],[1,59,28,148],[0,86,14,313]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5138,0.5247,"{""healthy"":0.9937106918238994,""IR"":0.32571428571428573,""B"":0.26463104325699743,""OR"":0.514792899408284}","[[237,0,0,0],[0,114,49,74],[3,166,52,15],[0,183,56,174]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4996,0.4857,"{""healthy"":0.8713235294117647,""IR"":0.40789473684210525,""B"":0.26523297491039427,""OR"":0.39819004524886875}","[[237,0,0,0],[0,155,0,82],[14,149,37,36],[56,219,6,132]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5334,0.5125,"{""healthy"":0.8810408921933085,""IR"":0.4876783398184176,""B"":0.6434108527131783,""OR"":0.03800475059382423}","[[237,0,0,0],[0,188,49,0],[11,59,166,0],[53,287,65,8]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5610,0.5532,"{""healthy"":0.983402489626556,""IR"":0.3892100192678227,""B"":0.31268436578171094,""OR"":0.5275938189845475}","[[237,0,0,0],[0,101,0,136],[7,58,53,118],[1,123,50,239]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6305,0.6480,"{""healthy"":1.0,""IR"":0.5564387917329093,""B"":0.6003490401396161,""OR"":0.43508771929824563}","[[237,0,0,0],[0,175,34,28],[0,59,172,5],[0,158,131,124]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6046,0.5621,"{""healthy"":0.7441130298273155,""IR"":0.5306122448979592,""B"":0.34017595307917886,""OR"":0.6335135135135135}","[[237,0,0,0],[2,91,0,144],[102,1,58,75],[59,14,47,293]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load3,noise_aug,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5957,0.5178,"{""healthy"":0.7488151658767772,""IR"":0.2871536523929471,""B"":0.3321554770318021,""OR"":0.7031082529474812}","[[237,0,0,0],[0,57,0,180],[100,77,47,12],[59,26,0,328]]","[""healthy"",""IR"",""B"",""OR""]"
