baseline,n_real,seed,n_syn,acc,f1
real_only,10,0,0,0.5437,0.4602
real_only,10,1,0,0.7443,0.7192
real_only,10,2,0,0.7225,0.6955
real_only,10,3,0,0.7017,0.6828
real_only,10,4,0,0.7453,0.7187
real_only,10,5,0,0.5593,0.4716
real_only,10,6,0,0.4595,0.4199
real_only,10,7,0,0.6809,0.6621
real_only,25,0,0,0.7630,0.7523
real_only,25,1,0,0.7484,0.7232
real_only,25,2,0,0.6861,0.6658
real_only,25,3,0,0.7058,0.6836
real_only,25,4,0,0.6965,0.6750
real_only,25,5,0,0.7952,0.7925
real_only,25,6,0,0.7526,0.7315
real_only,25,7,0,0.7484,0.7231
real_only,50,0,0,0.7713,0.7612
real_only,50,1,0,0.7952,0.7754
real_only,50,2,0,0.7817,0.7624
real_only,50,3,0,0.7505,0.7252
real_only,50,4,0,0.7983,0.7937
real_only,50,5,0,0.8025,0.7816
real_only,50,6,0,0.8067,0.8015
real_only,50,7,0,0.8025,0.7976
noise_aug,10,0,600,0.6757,0.6842
noise_aug,10,1,600,0.8139,0.8199
noise_aug,10,2,600,0.6455,0.6532
noise_aug,10,3,600,0.6538,0.6353
noise_aug,10,4,600,0.7360,0.7441
noise_aug,10,5,600,0.7037,0.7125
noise_aug,10,6,600,0.6892,0.6732
noise_aug,10,7,600,0.6757,0.6838
noise_aug,25,0,600,0.8586,0.8614
noise_aug,25,1,600,0.8212,0.8258
noise_aug,25,2,600,0.8306,0.8281
noise_aug,25,3,600,0.7931,0.7848
noise_aug,25,4,600,0.8701,0.8666
noise_aug,25,5,600,0.8202,0.8168
noise_aug,25,6,600,0.8701,0.8655
noise_aug,25,7,600,0.7162,0.7043
noise_aug,50,0,600,0.8607,0.8630
noise_aug,50,1,600,0.8753,0.8781
noise_aug,50,2,600,0.8098,0.8111
noise_aug,50,3,600,0.8524,0.8558
noise_aug,50,4,600,0.8867,0.8847
noise_aug,50,5,600,0.8617,0.8625
noise_aug,50,6,600,0.8711,0.8745
noise_aug,50,7,600,0.8753,0.8781
vae,10,0,600,0.7079,0.7179
vae,10,1,600,0.6965,0.6885
vae,10,2,600,0.6715,0.6670
vae,10,3,600,0.5936,0.5266
vae,10,4,600,0.6435,0.6122
vae,10,5,600,0.8493,0.8509
vae,10,6,600,0.7339,0.7156
vae,10,7,600,0.5603,0.5337
vae,25,0,600,0.7640,0.7552
vae,25,1,600,0.7817,0.7676
vae,25,2,600,0.6996,0.6665
vae,25,3,600,0.7474,0.7362
vae,25,4,600,0.7703,0.7654
vae,25,5,600,0.7672,0.7563
vae,25,6,600,0.7453,0.7249
vae,25,7,600,0.8087,0.8137
vae,50,0,600,0.6726,0.6381
vae,50,1,600,0.8929,0.8963
vae,50,2,600,0.8160,0.8168
vae,50,3,600,0.8056,0.8035
vae,50,4,600,0.8711,0.8740
vae,50,5,600,0.8732,0.8765
vae,50,6,600,0.8337,0.8314
vae,50,7,600,0.8857,0.8854
gan,10,0,600,0.6091,0.6223
gan,10,1,600,0.8441,0.8438
gan,10,2,600,0.6861,0.6506
gan,10,3,600,0.6788,0.6571
gan,10,4,600,0.7796,0.7780
gan,10,5,600,0.7911,0.7979
gan,10,6,600,0.6258,0.6397
gan,10,7,600,0.7287,0.7347
gan,25,0,600,0.8586,0.8534
gan,25,1,600,0.8129,0.7913
gan,25,2,600,0.8098,0.7879
gan,25,3,600,0.7339,0.7123
gan,25,4,600,0.6809,0.6619
gan,25,5,600,0.7942,0.7905
gan,25,6,600,0.8046,0.7829
gan,25,7,600,0.7859,0.7924
gan,50,0,600,0.8119,0.8157
gan,50,1,600,0.8690,0.8712
gan,50,2,600,0.8181,0.8208
gan,50,3,600,0.8212,0.8206
gan,50,4,600,0.8763,0.8716
gan,50,5,600,0.8794,0.8772
gan,50,6,600,0.8441,0.8478
gan,50,7,600,0.8669,0.8688
vae_fs,10,0,600,0.6788,0.6916
vae_fs,10,1,600,0.7235,0.6911
vae_fs,10,2,600,0.6175,0.5988
vae_fs,10,3,600,0.5665,0.4766
vae_fs,10,4,600,0.5988,0.5772
vae_fs,10,5,600,0.7495,0.7572
vae_fs,10,6,600,0.5821,0.5910
vae_fs,10,7,600,0.5218,0.4540
vae_fs,25,0,600,0.8441,0.8427
vae_fs,25,1,600,0.7879,0.7753
vae_fs,25,2,600,0.7713,0.7558
vae_fs,25,3,600,0.6902,0.6693
vae_fs,25,4,600,0.6164,0.5652
vae_fs,25,5,600,0.7807,0.7749
vae_fs,25,6,600,0.7568,0.7387
vae_fs,25,7,600,0.7900,0.7953
vae_fs,50,0,600,0.8025,0.7974
vae_fs,50,1,600,0.8638,0.8667
vae_fs,50,2,600,0.7827,0.7857
vae_fs,50,3,600,0.7380,0.7274
vae_fs,50,4,600,0.8108,0.7929
vae_fs,50,5,600,0.8493,0.8541
vae_fs,50,6,600,0.7786,0.7818
vae_fs,50,7,600,0.8576,0.8569
gan_fs,10,0,600,0.6320,0.6416
gan_fs,10,1,600,0.8181,0.8145
gan_fs,10,2,600,0.7152,0.6994
gan_fs,10,3,600,0.6528,0.6242
gan_fs,10,4,600,0.6622,0.6123
gan_fs,10,5,600,0.7682,0.7756
gan_fs,10,6,600,0.7568,0.7647
gan_fs,10,7,600,0.6819,0.6773
gan_fs,25,0,600,0.8004,0.7897
gan_fs,25,1,600,0.7765,0.7535
gan_fs,25,2,600,0.7994,0.7780
gan_fs,25,3,600,0.7037,0.6887
gan_fs,25,4,600,0.6216,0.5732
gan_fs,25,5,600,0.8191,0.8133
gan_fs,25,6,600,0.7547,0.7330
gan_fs,25,7,600,0.7682,0.7720
gan_fs,50,0,600,0.7692,0.7600
gan_fs,50,1,600,0.8805,0.8790
gan_fs,50,2,600,0.8659,0.8698
gan_fs,50,3,600,0.8607,0.8602
gan_fs,50,4,600,0.8701,0.8637
gan_fs,50,5,600,0.8295,0.8221
gan_fs,50,6,600,0.8264,0.8296
gan_fs,50,7,600,0.8607,0.8599
open_loop_basic,10,0,416,0.3119,0.1585
open_loop_basic,10,1,416,0.4615,0.3735
open_loop_basic,10,2,416,0.3119,0.1585
open_loop_basic,10,3,416,0.4376,0.3423
open_loop_basic,10,4,416,0.4345,0.3482
open_loop_basic,10,5,416,0.4948,0.4056
open_loop_basic,10,6,416,0.3119,0.1585
open_loop_basic,10,7,416,0.4127,0.3161
open_loop_basic,25,0,416,0.6424,0.5363
open_loop_basic,25,1,416,0.6798,0.6318
open_loop_basic,25,2,416,0.5624,0.4817
open_loop_basic,25,3,416,0.7401,0.7144
open_loop_basic,25,4,416,0.5759,0.5112
open_loop_basic,25,5,416,0.7380,0.7132
open_loop_basic,25,6,416,0.6393,0.5348
open_loop_basic,25,7,416,0.6393,0.6241
open_loop_basic,50,0,416,0.6798,0.6649
open_loop_basic,50,1,416,0.6601,0.5865
open_loop_basic,50,2,416,0.6019,0.5825
open_loop_basic,50,3,416,0.6279,0.6141
open_loop_basic,50,4,416,0.6268,0.5049
open_loop_basic,50,5,416,0.6486,0.5752
open_loop_basic,50,6,416,0.6383,0.5342
open_loop_basic,50,7,416,0.6486,0.6275
open_loop_phys,10,0,450,0.7890,0.7958
open_loop_phys,10,1,450,0.8087,0.8113
