dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,case_split,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4830,0.4801,"{""sharp"":0.5349397590361445,""worn"":0.3811881188118812,""severe"":0.5243128964059197}","[[111,50,60],[59,77,119],[24,22,124]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.5650,0.5245,"{""sharp"":0.7425373134328358,""worn"":0.21621621621621623,""severe"":0.6146572104018913}","[[199,16,6],[102,36,117],[14,26,130]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6625,0.6462,"{""sharp"":0.7509293680297398,""worn"":0.4530386740331492,""severe"":0.7346938775510204}","[[202,16,3],[98,82,75],[17,9,144]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5263,0.5139,"{""sharp"":0.6666666666666666,""worn"":0.3905579399141631,""severe"":0.4844290657439446}","[[179,28,14],[129,91,35],[8,92,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5820,0.5070,"{""sharp"":0.76,""worn"":0.570446735395189,""severe"":0.19047619047619047}","[[190,23,8],[77,166,12],[12,138,20]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.4799,0.4520,"{""sharp"":0.5647058823529412,""worn"":0.14457831325301204,""severe"":0.6465753424657534}","[[168,50,3],[157,24,74],[49,3,118]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.5820,0.5680,"{""sharp"":0.7649402390438247,""worn"":0.4225352112676056,""severe"":0.5164835164835165}","[[192,13,16],[81,90,84],[8,68,94]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.5882,0.5941,"{""sharp"":0.6461538461538462,""worn"":0.49377593360995853,""severe"":0.6422535211267606}","[[147,74,0],[65,119,71],[22,34,114]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.6238,0.6214,"{""sharp"":0.7543103448275862,""worn"":0.5173913043478261,""severe"":0.592391304347826}","[[175,32,14],[61,119,75],[7,54,109]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.6718,0.6608,"{""sharp"":0.7692307692307693,""worn"":0.5390428211586902,""severe"":0.6740331491712708}","[[205,4,12],[90,107,58],[17,31,122]]","[""sharp"",""worn"",""severe""]"
