method,class,corr_fro_delta,energy_frac_l1,real_energy_json,method_energy_json
llm,sharp,1.687271,1.757202,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.8731142312062962,0.016247516731279214,0.1099284533595856,0.0002155372940770063,0.00026628446648378177,0.0008478126281893812]"
llm,worn,1.305425,1.812596,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.9688216026554792,0.013898158716109202,0.009529841384652732,8.900484507689651e-05,0.00021638599949899738,0.00045775816811321487]"
llm,severe,1.034890,1.807788,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.9688275468783958,0.028543010807114837,0.0019797959742390613,2.3264214972035913e-05,0.00023456741879385385,0.0003918149354309938]"
rule,sharp,1.705669,1.775822,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.9269041476969484,0.007183502251218887,0.0651383912207797,0.000143026863596145,0.00018747018665430233,0.0004434617883518045]"
rule,worn,1.174954,1.778855,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.9369338592040424,0.017266787764581633,0.01641688459296998,0.00014022357739497718,0.0002277489447047369,0.0007590051591232129]"
rule,severe,1.162702,1.852446,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.992132279254125,0.00485683168906312,0.004395286454996976,3.6201183502365065e-05,0.0002386721622342697,0.00029241127047472174]"
random_open_loop,sharp,1.417261,0.121927,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.12345282834260857,0.849692989972257,0.019163881191064432,0.004469875281114338,0.000904118231191129,0.0023163069484045122]"
random_open_loop,worn,1.158622,0.065284,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.039047676237282725,0.9469522358468059,0.018810604651243335,0.0008639779429453108,0.0007593898177092068,0.0008451393063389577]"
random_open_loop,severe,1.034975,0.173498,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.14342936547654508,0.8373574020629801,0.015288353671207233,0.0008692646457920531,0.0019145648633869788,0.0016139700725638472]"
noise_aug,sharp,0.275311,0.039449,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05911905274534024,0.9042325603271208,0.02595077928206186,0.006405934031281268,0.001406088015170379,0.002923377747306031]"
noise_aug,worn,0.302352,0.006355,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.05907223957929521,0.9113205144312846,0.01539422781576967,0.0032746573394951345,0.0010073468032598498,0.002054501296911167]"
noise_aug,severe,0.119933,0.008250,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06558312837982522,0.918753820183378,0.005950231645400955,0.0012635264181353949,0.0008957867862324457,0.001004129326828455]"
