method,feature,real_sharp,real_worn,real_severe,method_sharp,method_worn,method_severe,spearman_to_real_order
llm,total_rms,1.8646022,2.7796699,3.3177083,0.35304175,0.9385371,0.93951034,1.000000
llm,high_band_frac,0.011751773,0.007603618,0.0076498361,0.013086731,0.0093378825,0.0056111727,0.500000
llm,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0050555572,0.0031570823,0.0028233243,1.000000
llm,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0028079862,0.0024970221,0.0031157555,0.500000
llm,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.021153244,0.083732117,0.074653459,0.500000
llm,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.032666222,0.032939631,0.026885768,1.000000
llm,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.042268375,0.12438379,0.14342867,1.000000
llm,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.027148833,0.1360789,0.092469751,0.500000
llm,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.00026628447,0.000216386,0.00023456742,0.500000
llm,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.00084781263,0.00045775817,0.00039181494,1.000000
rule,total_rms,1.8646022,2.7796699,3.3177083,0.42871888,0.56744329,0.79297322,1.000000
rule,high_band_frac,0.011751773,0.007603618,0.0076498361,0.015777001,0.01091727,0.007659349,0.500000
rule,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.0037001574,0.0048506154,0.002873303,0.500000
rule,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0026986915,0.003311085,0.002941174,-1.000000
rule,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.090344563,0.10376424,0.1144142,1.000000
rule,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.02488648,0.040300346,0.028195426,0.500000
rule,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.035986955,0.10837275,0.1416082,1.000000
rule,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.047489666,0.085200274,0.10801054,1.000000
rule,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.00018747019,0.00022774894,0.00023867216,-1.000000
rule,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.00044346179,0.00075900516,0.00029241127,0.500000
random_open_loop,total_rms,1.8646022,2.7796699,3.3177083,2.7025872,4.4052964,4.0699541,0.500000
random_open_loop,high_band_frac,0.011751773,0.007603618,0.0076498361,0.032485966,0.042567045,0.050983623,-0.500000
random_open_loop,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.011686907,0.010886614,0.01201099,-0.500000
random_open_loop,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.0092742203,0.010604418,0.011004207,-0.500000
random_open_loop,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.087734336,0.068378528,0.077839269,-0.500000
random_open_loop,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.037437775,0.057255301,0.025514236,1.000000
random_open_loop,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.052263341,0.065405009,0.090338373,1.000000
random_open_loop,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.047695078,0.068597139,0.090809145,1.000000
random_open_loop,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.00090411823,0.00075938982,0.0019145649,-0.500000
random_open_loop,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0023163069,0.00084513931,0.0016139701,0.500000
noise_aug,total_rms,1.8646022,2.7796699,3.3177083,1.5286653,2.3013286,3.0567785,1.000000
noise_aug,high_band_frac,0.011751773,0.007603618,0.0076498361,0.018254283,0.010456312,0.0087541601,0.500000
noise_aug,ch0_tpf_amp_ratio,0.0038090365,0.0030529902,0.0025885676,0.004300769,0.0036690056,0.0027039945,1.000000
noise_aug,ch1_tpf_amp_ratio,0.00088323457,0.00058047516,0.00070261043,0.018114052,0.016998952,0.036944112,0.500000
noise_aug,ch2_tpf_amp_ratio,0.099447236,0.10006333,0.10805579,0.10559405,0.09925849,0.11984244,0.500000
noise_aug,ch3_tpf_amp_ratio,0.032344303,0.033182067,0.028322119,0.029617939,0.032212449,0.024456567,1.000000
noise_aug,ch4_tpf_amp_ratio,0.060780213,0.09969216,0.12756172,0.064359168,0.092534136,0.130253,1.000000
noise_aug,ch5_tpf_amp_ratio,0.055496024,0.083804966,0.10717617,0.061261103,0.056569986,0.076956676,0.500000
noise_aug,energy_frac_ch4,0.0010649405,0.0010050075,0.00094984231,0.001406088,0.0010073468,0.00089578679,1.000000
noise_aug,energy_frac_ch5,0.0018104221,0.0016637536,0.0012894378,0.0029233777,0.0020545013,0.0010041293,1.000000
