method,n_real,rows,acc_mean,acc_std,macro_f1_mean,macro_f1_std,f1_sharp_mean,f1_sharp_std,f1_worn_mean,f1_worn_std,f1_severe_mean,f1_severe_std
llm,2,5,0.4668,0.1164,0.3787,0.1144,0.1389,0.2634,0.3878,0.3167,0.6095,0.1404
llm,5,5,0.5022,0.1389,0.4944,0.1324,0.5631,0.1580,0.3676,0.2076,0.5524,0.2240
llm,10,5,0.6615,0.0658,0.6550,0.0814,0.7397,0.0296,0.5774,0.0850,0.6480,0.1953
noise_aug,2,5,0.5471,0.0349,0.5275,0.0576,0.6138,0.1022,0.3282,0.1714,0.6405,0.0465
noise_aug,5,5,0.5054,0.0687,0.4834,0.0711,0.6966,0.0706,0.3253,0.1428,0.4284,0.1774
noise_aug,10,5,0.5497,0.0967,0.5373,0.1107,0.7382,0.0409,0.3663,0.1867,0.5075,0.2030
random_open_loop,2,5,0.3610,0.0784,0.1937,0.0356,0.0221,0.0493,0.3506,0.3201,0.2083,0.2044
random_open_loop,5,5,0.3658,0.1026,0.2798,0.1081,0.1995,0.1464,0.2970,0.2844,0.3430,0.1897
random_open_loop,10,5,0.5054,0.0920,0.4383,0.1501,0.4645,0.2721,0.5341,0.0312,0.3165,0.3117
real_only,2,5,0.4519,0.1090,0.3734,0.1247,0.3745,0.3355,0.1649,0.2785,0.5808,0.1320
real_only,5,5,0.4155,0.1257,0.3651,0.1243,0.4810,0.2766,0.2356,0.1443,0.3788,0.2872
real_only,10,5,0.4706,0.0820,0.4434,0.0737,0.5482,0.1910,0.3997,0.1315,0.3822,0.2176
rule,2,5,0.4588,0.1123,0.3588,0.1292,0.1584,0.2956,0.3536,0.3194,0.5642,0.1431
rule,5,5,0.5032,0.1576,0.4908,0.1484,0.6123,0.1260,0.3544,0.2376,0.5058,0.2155
rule,10,5,0.6604,0.0710,0.6516,0.0873,0.7562,0.0239,0.5703,0.0976,0.6285,0.1849
