method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
llm,sharp,ch0_band0_frac,0.0094587127,0.012825723,0.0033670104,0.509918,0.355969,0.440196
llm,sharp,ch0_band1_frac,0.97426122,0.96258126,-0.011679963,-1.263581,-0.011989,0.228431
llm,sharp,ch0_band2_frac,0.0051635296,0.0086351077,0.0034715781,0.633117,0.672327,0.147059
llm,sharp,ch0_band3_frac,0.0035149843,0.005508219,0.0019932348,2.142985,0.567068,0.199020
llm,sharp,ch0_band4_frac,0.0034139219,0.004498342,0.0010844202,0.953254,0.317646,0.418627
llm,sharp,ch0_band5_frac,0.0035732116,0.0055287187,0.0019555071,1.811734,0.547269,0.296078
llm,sharp,ch0_crest,2.0371173,1.7748348,-0.2622825,-1.597147,-0.128752,0.203922
llm,sharp,ch0_kurtosis,1.6314928,1.5906725,-0.040820313,-0.675015,-0.025020,0.471569
llm,sharp,ch0_rms,1.094638,0.8111695,-0.28346854,-0.691752,-0.258961,0.116667
llm,sharp,ch0_skewness,-0.015809661,-0.0094284705,0.0063811908,0.332286,0.403626,0.365686
llm,sharp,ch0_tooth_rms_cv,0.4208966,0.40134162,-0.019554975,-0.744326,-0.046460,0.445098
llm,sharp,ch0_tpf_amp_ratio,0.0038090365,0.0050555572,0.0012465208,0.881085,0.327254,0.508824
llm,sharp,ch1_band0_frac,0.79873941,0.85688231,0.058142906,0.268776,0.072793,0.339216
llm,sharp,ch1_band1_frac,0.084574874,0.057765813,-0.026809061,-0.257976,-0.316986,0.303922
llm,sharp,ch1_band2_frac,0.092882792,0.081177519,-0.011705274,-0.200011,-0.126022,0.411765
llm,sharp,ch1_band3_frac,0.00022422419,0.0029185443,0.0026943201,15.266130,12.016188,0.931373
llm,sharp,ch1_band4_frac,0.00012508713,0.0015303341,0.001405247,8.989887,11.234145,0.937255
llm,sharp,ch1_band5_frac,9.4011587e-05,0.00097586191,0.00088185033,7.146456,9.380230,0.110784
llm,sharp,ch1_crest,1.0581414,2.2831821,1.2250407,40.571486,1.157729,0.000000
llm,sharp,ch1_kurtosis,2.210076,2.3359816,0.12590562,0.366933,0.056969,0.531373
llm,sharp,ch1_rms,4.2847664,0.11235944,-4.1724069,-2.498490,-0.973777,0.000000
llm,sharp,ch1_skewness,-0.021740965,-0.095565598,-0.073824633,-0.432568,-3.395647,0.282353
llm,sharp,ch1_tooth_rms_cv,0.02585174,0.65141925,0.62556751,55.155232,24.198274,0.000000
