method,n_real,seeds,mean_acc,mean_macro_f1,acc_values,macro_f1_values
llm_v4_contrastive,2,5,0.5401199999999999,0.48592,0.5455;0.5241;0.5508;0.5134;0.5668,0.4774;0.4422;0.4999;0.4657;0.5444
llm_v5_proto,2,5,0.53906,0.48494,0.5455;0.5241;0.5642;0.4947;0.5668,0.4776;0.4422;0.5252;0.4364;0.5433
rule,2,5,0.54224,0.49326,0.5481;0.5267;0.5615;0.4893;0.5856,0.4919;0.4477;0.5223;0.4339;0.5705
noise_aug,2,5,0.49254000000000003,0.43872,0.5963;0.5187;0.5455;0.2701;0.5321,0.5592;0.4524;0.5575;0.1421;0.4824
random_open_loop,2,5,0.4631,0.4101,0.6631;0.4652;0.3476;0.4171;0.4225,0.6510;0.3930;0.2567;0.4165;0.3333
real_only,2,5,0.45187999999999995,0.37342,0.4225;0.5267;0.5428;0.2754;0.4920,0.4003;0.4578;0.4336;0.1535;0.4219
llm_v4_contrastive,5,5,0.50748,0.46614,0.4198;0.5561;0.5294;0.5027;0.5294,0.3874;0.5100;0.4401;0.4643;0.5289
llm_v5_proto,5,5,0.5042800000000001,0.45554,0.4198;0.5321;0.5294;0.4759;0.5642,0.3875;0.4669;0.4401;0.4266;0.5566
rule,5,5,0.51122,0.47028000000000003,0.4465;0.5535;0.5267;0.4866;0.5428,0.4175;0.5040;0.4410;0.4469;0.5420
noise_aug,5,5,0.47378,0.45008,0.3342;0.5267;0.5668;0.4519;0.4893,0.3463;0.5022;0.5353;0.3756;0.4910
random_open_loop,5,5,0.48612,0.45008,0.4947;0.4626;0.5722;0.4118;0.4893,0.4322;0.3912;0.5690;0.3763;0.4817
real_only,5,5,0.4155,0.3651,0.2005;0.4465;0.5294;0.4332;0.4679,0.1638;0.4245;0.4410;0.3279;0.4683
llm_v4_contrastive,10,5,0.5545599999999999,0.52746,0.5241;0.4733;0.5615;0.6230;0.5909,0.4854;0.4521;0.5058;0.6164;0.5776
llm_v5_proto,10,5,0.55562,0.528,0.5241;0.4947;0.5615;0.5882;0.6096,0.4854;0.4765;0.5070;0.5769;0.5942
rule,10,5,0.55936,0.53276,0.5241;0.4786;0.5642;0.6096;0.6203,0.4854;0.4587;0.5094;0.6033;0.6070
noise_aug,10,5,0.56418,0.5512,0.5321;0.4572;0.6337;0.6364;0.5615,0.4952;0.4420;0.6278;0.6385;0.5525
random_open_loop,10,5,0.4893,0.44656,0.4706;0.4519;0.5214;0.4759;0.5267,0.4394;0.3964;0.5131;0.4046;0.4793
real_only,10,5,0.47058,0.44336000000000003,0.3369;0.4813;0.5561;0.5107;0.4679,0.3387;0.4333;0.5422;0.4708;0.4318
