dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,0,"{""0"":2,""1"":2,""2"":2}",0,0.4225,0.4003,"{""sharp"":0.5111111111111111,""worn"":0.18181818181818182,""severe"":0.5081081081081081}","[[46,19,54],[15,18,120],[0,8,94]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,1,"{""0"":2,""1"":2,""2"":2}",0,0.5267,0.4578,"{""sharp"":0.6086956521739131,""worn"":0.0,""severe"":0.7647058823529411}","[[119,0,0],[129,0,24],[24,0,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,2,"{""0"":2,""1"":2,""2"":2}",0,0.5428,0.4336,"{""sharp"":0.0,""worn"":0.6428571428571429,""severe"":0.6578947368421053}","[[0,119,0],[0,153,0],[1,51,50]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,3,"{""0"":2,""1"":2,""2"":2}",0,0.2754,0.1535,"{""sharp"":0.032520325203252036,""worn"":0.0,""severe"":0.4279661016949153}","[[2,0,117],[1,0,152],[1,0,101]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,4,"{""0"":2,""1"":2,""2"":2}",0,0.4920,0.4219,"{""sharp"":0.7203065134099617,""worn"":0.0,""severe"":0.5454545454545454}","[[94,1,24],[39,0,114],[9,3,90]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.2005,0.1638,"{""sharp"":0.0,""worn"":0.34812286689419797,""severe"":0.14328358208955225}","[[0,11,108],[1,51,101],[0,78,24]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.4465,0.4245,"{""sharp"":0.507177033492823,""worn"":0.23115577889447236,""severe"":0.5352941176470588}","[[53,12,54],[37,23,93],[0,11,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.5294,0.4410,"{""sharp"":0.6858789625360231,""worn"":0.0,""severe"":0.6370967741935484}","[[119,0,0],[86,0,67],[23,0,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.4332,0.3279,"{""sharp"":0.625,""worn"":0.3586206896551724,""severe"":0.0}","[[110,9,0],[97,52,4],[26,76,0]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.4679,0.4683,"{""sharp"":0.5867768595041323,""worn"":0.24,""severe"":0.578125}","[[71,48,0],[43,30,80],[9,19,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,0,"{""0"":10,""1"":10,""2"":10}",0,0.3369,0.3387,"{""sharp"":0.40522875816993464,""worn"":0.23140495867768596,""severe"":0.37960339943342775}","[[31,26,62],[3,28,122],[0,35,67]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,1,"{""0"":10,""1"":10,""2"":10}",0,0.4813,0.4333,"{""sharp"":0.6473029045643154,""worn"":0.4932249322493225,""severe"":0.15942028985507245}","[[78,35,6],[43,91,19],[1,90,11]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,2,"{""0"":10,""1"":10,""2"":10}",0,0.5561,0.5422,"{""sharp"":0.6728971962616822,""worn"":0.32,""severe"":0.6336633663366337}","[[108,11,0],[81,36,36],[13,25,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,3,"{""0"":10,""1"":10,""2"":10}",0,0.5107,0.4708,"{""sharp"":0.28776978417266186,""worn"":0.5601965601965602,""severe"":0.5643564356435643}","[[20,95,4],[0,114,39],[0,45,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,4,"{""0"":10,""1"":10,""2"":10}",0,0.4679,0.4318,"{""sharp"":0.7279411764705882,""worn"":0.39365079365079364,""severe"":0.17391304347826086}","[[99,12,8],[54,62,37],[0,88,14]]","[""sharp"",""worn"",""severe""]"
