dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",120,0.6444,0.6392,"{""sharp"":0.7746478873239436,""worn"":0.49206349206349204,""severe"":0.6509433962264151}","[[110,4,5],[55,62,36],[0,33,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",120,0.5775,0.5714,"{""sharp"":0.6666666666666666,""worn"":0.3706896551724138,""severe"":0.676923076923077}","[[107,12,0],[83,43,27],[12,24,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",120,0.6497,0.6527,"{""sharp"":0.6726190476190477,""worn"":0.5155555555555555,""severe"":0.7700534759358288}","[[113,6,0],[82,58,13],[22,8,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",120,0.6070,0.6160,"{""sharp"":0.6462585034013606,""worn"":0.4790874524714829,""severe"":0.7225130890052356}","[[95,24,0],[70,63,20],[10,23,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",120,0.6230,0.6243,"{""sharp"":0.6993464052287581,""worn"":0.47843137254901963,""severe"":0.6951871657754011}","[[107,12,0],[72,61,20],[8,29,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",120,0.5481,0.5209,"{""sharp"":0.7906976744186046,""worn"":0.2831858407079646,""severe"":0.48868778280542985}","[[119,0,0],[56,32,65],[7,41,54]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",120,0.5508,0.5337,"{""sharp"":0.7039473684210527,""worn"":0.33480176211453744,""severe"":0.5622119815668203}","[[107,2,10],[71,38,44],[7,34,61]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",120,0.5909,0.5496,"{""sharp"":0.7125748502994012,""worn"":0.26373626373626374,""severe"":0.6724137931034483}","[[119,0,0],[77,24,52],[19,5,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",120,0.4733,0.4433,"{""sharp"":0.6984126984126984,""worn"":0.2846153846153846,""severe"":0.3468208092485549}","[[110,9,0],[75,37,41],[11,61,30]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",120,0.6043,0.6055,"{""sharp"":0.6986301369863014,""worn"":0.44787644787644787,""severe"":0.6700507614213198}","[[102,17,0],[66,58,29],[5,31,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",120,0.6230,0.6095,"{""sharp"":0.7666666666666667,""worn"":0.39826839826839827,""severe"":0.663594470046083}","[[115,4,0],[64,46,43],[2,28,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",120,0.5428,0.5337,"{""sharp"":0.7335640138408305,""worn"":0.3474903474903475,""severe"":0.52}","[[106,13,0],[62,45,46],[2,48,52]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",120,0.6337,0.6400,"{""sharp"":0.7054263565891473,""worn"":0.547945205479452,""severe"":0.6666666666666666}","[[91,26,2],[45,80,28],[3,33,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",120,0.6123,0.6033,"{""sharp"":0.7285714285714285,""worn"":0.41739130434782606,""severe"":0.6638655462184874}","[[102,6,11],[59,48,46],[0,23,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",120,0.5775,0.5641,"{""sharp"":0.7586206896551724,""worn"":0.37656903765690375,""severe"":0.5570776255707762}","[[110,0,9],[61,45,47],[0,41,61]]","[""sharp"",""worn"",""severe""]"
