dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,0,"{""0"":2,""1"":2,""2"":2}",120,0.5722,0.5700,"{""sharp"":0.6811145510835913,""worn"":0.4357142857142857,""severe"":0.593103448275862}","[[110,9,0],[92,61,0],[2,57,43]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,1,"{""0"":2,""1"":2,""2"":2}",120,0.6310,0.6250,"{""sharp"":0.7212121212121212,""worn"":0.5132075471698113,""severe"":0.6405228758169934}","[[119,0,0],[83,68,2],[9,44,49]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,2,"{""0"":2,""1"":2,""2"":2}",120,0.5134,0.5126,"{""sharp"":0.2995169082125604,""worn"":0.5459610027855153,""severe"":0.6923076923076923}","[[31,88,0],[38,98,17],[19,20,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,3,"{""0"":2,""1"":2,""2"":2}",120,0.5321,0.5353,"{""sharp"":0.535593220338983,""worn"":0.4067796610169492,""severe"":0.663594470046083}","[[79,31,9],[71,48,34],[26,4,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,4,"{""0"":2,""1"":2,""2"":2}",120,0.5856,0.5656,"{""sharp"":0.7375886524822695,""worn"":0.3592233009708738,""severe"":0.6}","[[104,3,12],[48,37,68],[11,13,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",120,0.4225,0.4097,"{""sharp"":0.7969924812030075,""worn"":0.20883534136546184,""severe"":0.22317596566523606}","[[106,1,12],[34,26,93],[7,69,26]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",120,0.4412,0.4212,"{""sharp"":0.6755852842809364,""worn"":0.19591836734693877,""severe"":0.39215686274509803}","[[101,6,12],[79,24,50],[0,62,40]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",120,0.6711,0.6598,"{""sharp"":0.7549668874172185,""worn"":0.6222222222222222,""severe"":0.6022727272727273}","[[114,3,2],[50,84,19],[19,30,53]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",120,0.5187,0.5046,"{""sharp"":0.6172839506172839,""worn"":0.334841628959276,""severe"":0.5615763546798029}","[[100,11,8],[80,37,36],[25,20,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",120,0.5428,0.5522,"{""sharp"":0.6637168141592921,""worn"":0.4142857142857143,""severe"":0.5785123966942148}","[[75,44,0],[25,58,70],[7,25,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10}",120,0.5401,0.5062,"{""sharp"":0.7147540983606557,""worn"":0.18719211822660098,""severe"":0.6166666666666667}","[[109,10,0],[70,19,64],[7,21,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10}",120,0.4947,0.4794,"{""sharp"":0.7079037800687286,""worn"":0.33691756272401435,""severe"":0.39325842696629215}","[[103,16,0],[65,47,41],[4,63,35]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10}",120,0.6337,0.6342,"{""sharp"":0.7398373983739838,""worn"":0.5825242718446602,""severe"":0.5803108808290155}","[[91,23,5],[33,90,30],[3,43,56]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10}",120,0.6604,0.6669,"{""sharp"":0.726027397260274,""worn"":0.5207547169811321,""severe"":0.7539267015706806}","[[106,13,0],[67,69,17],[0,30,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10}",120,0.5160,0.4941,"{""sharp"":0.7612456747404844,""worn"":0.3663003663003663,""severe"":0.3548387096774194}","[[110,1,8],[60,50,43],[0,69,33]]","[""sharp"",""worn"",""severe""]"
