dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.2834,0.1809,"{""sharp"":0.08955223880597014,""worn"":0.012121212121212121,""severe"":0.44097995545657015}","[[6,11,102],[6,1,146],[3,0,99]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5561,0.4528,"{""sharp"":0.0,""worn"":0.6330275229357798,""severe"":0.7253886010362695}","[[0,113,6],[0,138,15],[0,32,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.5134,0.4189,"{""sharp"":0.0,""worn"":0.580046403712297,""severe"":0.6767676767676768}","[[0,118,1],[0,125,28],[0,35,67]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5588,0.4566,"{""sharp"":0.0,""worn"":0.6405228758169934,""severe"":0.7294117647058823}","[[0,119,0],[0,147,6],[0,40,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.4225,0.3843,"{""sharp"":0.6048780487804878,""worn"":0.07317073170731707,""severe"":0.47493403693931396}","[[62,0,57],[17,6,130],[7,5,90]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.2781,0.2976,"{""sharp"":0.5523809523809524,""worn"":0.15873015873015872,""severe"":0.18181818181818182}","[[58,5,56],[31,20,102],[2,74,26]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.5027,0.4623,"{""sharp"":0.6591760299625468,""worn"":0.17045454545454544,""severe"":0.5573770491803278}","[[88,0,31],[51,15,87],[9,8,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.5508,0.5339,"{""sharp"":0.2937853107344633,""worn"":0.5897435897435898,""severe"":0.7182320441988951}","[[26,93,0],[24,115,14],[8,29,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5214,0.5153,"{""sharp"":0.632,""worn"":0.3508771929824561,""severe"":0.562962962962963}","[[79,18,22],[43,40,70],[9,17,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.6578,0.6628,"{""sharp"":0.6782608695652174,""worn"":0.5683453237410072,""severe"":0.7416666666666667}","[[78,41,0],[25,79,49],[8,5,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.7193,0.7250,"{""sharp"":0.7183673469387755,""worn"":0.7009063444108762,""severe"":0.7558139534883721}","[[88,30,1],[33,116,4],[5,32,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.5642,0.5266,"{""sharp"":0.7464788732394366,""worn"":0.5294117647058824,""severe"":0.3037974683544304}","[[106,2,11],[51,81,21],[8,70,24]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.7005,0.6967,"{""sharp"":0.7605633802816901,""worn"":0.5555555555555556,""severe"":0.7739130434782608}","[[108,11,0],[49,65,39],[8,5,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.6230,0.6232,"{""sharp"":0.7008547008547008,""worn"":0.4819277108433735,""severe"":0.6867924528301886}","[[82,25,12],[33,60,60],[0,11,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.7005,0.7037,"{""sharp"":0.7724137931034483,""worn"":0.6190476190476191,""severe"":0.7195121951219512}","[[112,7,0],[59,91,3],[0,43,59]]","[""sharp"",""worn"",""severe""]"
