dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.5481,0.5438,"{""sharp"":0.6570605187319885,""worn"":0.36220472440944884,""severe"":0.6122448979591837}","[[114,5,0],[107,46,0],[7,50,45]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5829,0.5788,"{""sharp"":0.664804469273743,""worn"":0.3879310344827586,""severe"":0.6835443037974683}","[[119,0,0],[106,45,2],[14,34,54]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.5615,0.5705,"{""sharp"":0.44933920704845814,""worn"":0.565597667638484,""severe"":0.6966292134831461}","[[51,68,0],[42,97,14],[15,25,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.4893,0.4376,"{""sharp"":0.5864197530864198,""worn"":0.13414634146341464,""severe"":0.5923076923076923}","[[95,0,24],[85,11,57],[25,0,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5535,0.5067,"{""sharp"":0.7114093959731543,""worn"":0.19101123595505617,""severe"":0.6176470588235294}","[[106,1,12],[62,17,74],[11,7,84]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4198,0.4057,"{""sharp"":0.7910447761194029,""worn"":0.20080321285140562,""severe"":0.22510822510822512}","[[106,1,12],[37,25,91],[6,70,26]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.5214,0.4893,"{""sharp"":0.6709677419354839,""worn"":0.1782178217821782,""severe"":0.6186440677966102}","[[104,3,12],[86,18,49],[1,28,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.5963,0.5649,"{""sharp"":0.75,""worn"":0.5274725274725275,""severe"":0.4171779141104294}","[[117,0,2],[56,72,25],[20,48,34]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.4572,0.4176,"{""sharp"":0.6309523809523809,""worn"":0.3360655737704918,""severe"":0.2857142857142857}","[[106,1,12],[82,41,30],[29,49,24]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5321,0.5397,"{""sharp"":0.64,""worn"":0.3837638376383764,""severe"":0.5952380952380952}","[[72,47,0],[26,52,75],[8,19,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.5321,0.4935,"{""sharp"":0.6666666666666666,""worn"":0.14432989690721648,""severe"":0.6695278969957081}","[[107,12,0],[86,14,53],[9,15,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.4840,0.4734,"{""sharp"":0.7604562737642585,""worn"":0.35587188612099646,""severe"":0.30392156862745096}","[[100,7,12],[44,50,59],[0,71,31]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.5882,0.5962,"{""sharp"":0.75,""worn"":0.47686832740213525,""severe"":0.5617021276595745}","[[87,27,5],[24,67,62],[2,34,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.6952,0.7002,"{""sharp"":0.7675276752767528,""worn"":0.6148648648648649,""severe"":0.7182320441988951}","[[104,15,0],[48,91,14],[0,37,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.4492,0.4234,"{""sharp"":0.7465753424657534,""worn"":0.23938223938223938,""severe"":0.28426395939086296}","[[109,1,9],[64,31,58],[0,74,28]]","[""sharp"",""worn"",""severe""]"
