dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.2727,0.1429,"{""sharp"":0.0,""worn"":0.0,""severe"":0.42857142857142855}","[[0,0,119],[0,0,153],[0,0,102]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.4144,0.2071,"{""sharp"":0.0,""worn"":0.5828571428571429,""severe"":0.038461538461538464}","[[0,119,0],[0,153,0],[0,100,2]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.4118,0.2004,"{""sharp"":0.0,""worn"":0.5817490494296578,""severe"":0.019417475728155338}","[[0,119,0],[0,153,0],[0,101,1]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.4278,0.2390,"{""sharp"":0.0,""worn"":0.5884615384615385,""severe"":0.12844036697247707}","[[0,119,0],[0,153,0],[0,95,7]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.2781,0.1790,"{""sharp"":0.1103448275862069,""worn"":0.0,""severe"":0.4266666666666667}","[[8,0,111],[12,0,141],[6,0,96]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.2567,0.1879,"{""sharp"":0.16666666666666666,""worn"":0.012048192771084338,""severe"":0.38497652582159625}","[[13,0,106],[16,1,136],[8,12,82]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.2754,0.1851,"{""sharp"":0.12,""worn"":0.012658227848101266,""severe"":0.42272727272727273}","[[9,2,108],[15,1,137],[7,2,93]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4037,0.2486,"{""sharp"":0.10884353741496598,""worn"":0.5616161616161616,""severe"":0.07547169811320754}","[[8,111,0],[14,139,0],[6,92,4]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5080,0.4367,"{""sharp"":0.4583333333333333,""worn"":0.5995423340961098,""severe"":0.25210084033613445}","[[44,74,1],[21,131,1],[8,79,15]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.3850,0.3408,"{""sharp"":0.1437908496732026,""worn"":0.298932384341637,""severe"":0.5796178343949044}","[[11,82,26],[16,42,95],[7,4,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.4011,0.2795,"{""sharp"":0.1910828025477707,""worn"":0.5466101694915254,""severe"":0.10084033613445378}","[[15,101,3],[16,129,8],[7,89,6]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.4091,0.2849,"{""sharp"":0.1794871794871795,""worn"":0.5546218487394958,""severe"":0.1206896551724138}","[[14,103,2],[16,132,5],[7,88,7]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.5856,0.5937,"{""sharp"":0.6259541984732825,""worn"":0.48201438848920863,""severe"":0.6730769230769231}","[[82,37,0],[50,67,36],[11,21,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.5695,0.5663,"{""sharp"":0.5301204819277109,""worn"":0.5290322580645161,""severe"":0.6397058823529411}","[[44,60,15],[3,82,68],[0,15,87]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.5615,0.4673,"{""sharp"":0.7956989247311828,""worn"":0.5581395348837209,""severe"":0.048}","[[111,3,5],[42,96,15],[7,92,3]]","[""sharp"",""worn"",""severe""]"
