dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6096,0.5967,"{""sharp"":0.7392739273927392,""worn"":0.35964912280701755,""severe"":0.6912442396313364}","[[112,7,0],[72,41,40],[0,27,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5214,0.4915,"{""sharp"":0.6334310850439883,""worn"":0.16161616161616163,""severe"":0.6794258373205742}","[[108,11,0],[101,16,36],[13,18,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6176,0.6008,"{""sharp"":0.68,""worn"":0.40609137055837563,""severe"":0.7164179104477612}","[[119,0,0],[86,40,27],[26,4,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5241,0.4898,"{""sharp"":0.6625386996904025,""worn"":0.16080402010050251,""severe"":0.6460176991150443}","[[107,12,0],[86,16,51],[11,18,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5588,0.5110,"{""sharp"":0.7212121212121212,""worn"":0.1711229946524064,""severe"":0.6406926406926406}","[[119,0,0],[82,16,55],[10,18,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.6257,0.6221,"{""sharp"":0.7456445993031359,""worn"":0.4981132075471698,""severe"":0.6224489795918368}","[[107,12,0],[54,66,33],[7,34,61]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.4947,0.4799,"{""sharp"":0.6103896103896104,""worn"":0.19909502262443438,""severe"":0.6301369863013698}","[[94,25,0],[83,22,48],[12,21,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.5695,0.5631,"{""sharp"":0.7133333333333334,""worn"":0.3779527559055118,""severe"":0.5979381443298969}","[[107,12,0],[71,48,34],[3,41,58]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.5241,0.4474,"{""sharp"":0.7212121212121212,""worn"":0.0,""severe"":0.6209677419354839}","[[119,0,0],[84,0,69],[8,17,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.5775,0.5633,"{""sharp"":0.6984126984126984,""worn"":0.3377777777777778,""severe"":0.6538461538461539}","[[110,9,0],[77,38,38],[9,25,68]]","[""sharp"",""worn"",""severe""]"
