dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",120,0.6471,0.6417,"{""sharp"":0.7746478873239436,""worn"":0.4899598393574297,""severe"":0.6604651162790698}","[[110,4,5],[55,61,37],[0,31,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",120,0.5668,0.5561,"{""sharp"":0.66875,""worn"":0.336283185840708,""severe"":0.6633663366336634}","[[107,12,0],[82,38,33],[12,23,67]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",120,0.6444,0.6403,"{""sharp"":0.6823529411764706,""worn"":0.48598130841121495,""severe"":0.7525773195876289}","[[116,3,0],[82,52,19],[23,6,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",120,0.5989,0.6050,"{""sharp"":0.6506849315068494,""worn"":0.4573643410852713,""severe"":0.7070707070707071}","[[95,24,0],[68,59,26],[10,22,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",120,0.5856,0.5787,"{""sharp"":0.6993464052287581,""worn"":0.3900414937759336,""severe"":0.6467661691542289}","[[107,12,0],[72,47,34],[8,29,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",120,0.6364,0.6382,"{""sharp"":0.7906976744186046,""worn"":0.5,""severe"":0.6238532110091743}","[[102,17,0],[37,68,48],[0,34,68]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",120,0.5348,0.5441,"{""sharp"":0.592057761732852,""worn"":0.39705882352941174,""severe"":0.6432160804020101}","[[82,37,0],[66,54,33],[10,28,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",120,0.5080,0.5082,"{""sharp"":0.6475409836065574,""worn"":0.3884297520661157,""severe"":0.48854961832061067}","[[79,4,36],[46,47,60],[0,38,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",120,0.6203,0.6114,"{""sharp"":0.742671009771987,""worn"":0.4117647058823529,""severe"":0.6798029556650246}","[[114,5,0],[72,49,32],[2,31,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",120,0.5695,0.5615,"{""sharp"":0.7122302158273381,""worn"":0.37130801687763715,""severe"":0.6008583690987125}","[[99,8,12],[60,44,49],[0,32,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",120,0.5481,0.5209,"{""sharp"":0.7906976744186046,""worn"":0.2831858407079646,""severe"":0.48868778280542985}","[[119,0,0],[56,32,65],[7,41,54]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",120,0.5561,0.5389,"{""sharp"":0.7062706270627063,""worn"":0.3377777777777778,""severe"":0.5727272727272728}","[[107,2,10],[70,38,45],[7,32,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",120,0.5936,0.5540,"{""sharp"":0.7104477611940299,""worn"":0.273224043715847,""severe"":0.6782608695652174}","[[119,0,0],[78,25,50],[19,5,78]]","[""sharp"",""worn"",""severe""]"
