dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6524,0.6483,"{""sharp"":0.7619047619047619,""worn"":0.4715447154471545,""severe"":0.7115384615384616}","[[112,7,0],[63,58,32],[0,28,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5107,0.4827,"{""sharp"":0.6294117647058823,""worn"":0.15841584158415842,""severe"":0.6601941747572816}","[[107,12,0],[101,16,36],[13,21,68]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6070,0.5857,"{""sharp"":0.6761363636363636,""worn"":0.375,""severe"":0.7058823529411765}","[[119,0,0],[87,36,30],[27,3,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5294,0.4984,"{""sharp"":0.654434250764526,""worn"":0.18,""severe"":0.6606334841628959}","[[107,12,0],[89,18,46],[12,17,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5695,0.5278,"{""sharp"":0.7283950617283951,""worn"":0.20833333333333334,""severe"":0.646551724137931}","[[118,1,0],[78,20,55],[9,18,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.5267,0.5065,"{""sharp"":0.7248322147651006,""worn"":0.29694323144104806,""severe"":0.497737556561086}","[[108,1,10],[65,34,54],[6,41,55]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.6016,0.5967,"{""sharp"":0.7386759581881533,""worn"":0.44357976653696496,""severe"":0.6078431372549019}","[[106,9,4],[60,57,36],[2,38,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6123,0.5844,"{""sharp"":0.72,""worn"":0.36082474226804123,""severe"":0.6724890829694323}","[[117,0,2],[70,35,48],[19,6,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5455,0.5312,"{""sharp"":0.6945337620578779,""worn"":0.3291139240506329,""severe"":0.57}","[[108,11,0],[73,39,41],[11,34,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5642,0.5705,"{""sharp"":0.6453900709219859,""worn"":0.4306569343065693,""severe"":0.6354166666666666}","[[91,28,0],[65,59,29],[7,34,61]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.5561,0.5301,"{""sharp"":0.7285223367697594,""worn"":0.22748815165876776,""severe"":0.6341463414634146}","[[106,12,1],[64,24,65],[2,22,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.5294,0.5221,"{""sharp"":0.7285714285714285,""worn"":0.3448275862068966,""severe"":0.4927536231884058}","[[102,14,3],[57,45,51],[2,49,51]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.6364,0.6266,"{""sharp"":0.7012987012987013,""worn"":0.41284403669724773,""severe"":0.7657657657657657}","[[108,11,0],[73,45,35],[8,9,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.6310,0.6261,"{""sharp"":0.7534246575342466,""worn"":0.43902439024390244,""severe"":0.6857142857142857}","[[110,9,0],[63,54,36],[0,30,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.5802,0.5673,"{""sharp"":0.7665505226480837,""worn"":0.38333333333333336,""severe"":0.5520361990950227}","[[110,0,9],[58,46,49],[0,41,61]]","[""sharp"",""worn"",""severe""]"
