dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",30,0.5455,0.4774,"{""sharp"":0.7414330218068536,""worn"":0.045454545454545456,""severe"":0.6454183266932271}","[[119,0,0],[81,4,68],[2,19,81]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",30,0.5241,0.4422,"{""sharp"":0.6312684365781711,""worn"":0.0,""severe"":0.6953125}","[[107,0,12],[100,0,53],[13,0,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",30,0.5508,0.4999,"{""sharp"":0.6467391304347826,""worn"":0.16766467065868262,""severe"":0.6854460093896714}","[[119,0,0],[101,14,38],[29,0,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",30,0.5134,0.4657,"{""sharp"":0.6815286624203821,""worn"":0.09523809523809523,""severe"":0.6204081632653061}","[[107,12,0],[77,9,67],[11,15,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",30,0.5668,0.5444,"{""sharp"":0.6945337620578779,""worn"":0.27488151658767773,""severe"":0.6637168141592921}","[[108,11,0],[75,29,49],[9,18,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",30,0.4198,0.3874,"{""sharp"":0.7016393442622951,""worn"":0.18181818181818182,""severe"":0.27860696517412936}","[[107,0,12],[72,22,59],[7,67,28]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",30,0.5561,0.5100,"{""sharp"":0.6583850931677019,""worn"":0.19428571428571428,""severe"":0.6772908366533864}","[[106,0,13],[85,17,51],[12,5,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",30,0.5294,0.4401,"{""sharp"":0.695906432748538,""worn"":0.0,""severe"":0.6245059288537549}","[[119,0,0],[81,0,72],[23,0,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",30,0.5027,0.4643,"{""sharp"":0.6666666666666666,""worn"":0.1407035175879397,""severe"":0.5855855855855856}","[[109,10,0],[84,14,55],[15,22,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",30,0.5294,0.5289,"{""sharp"":0.6460481099656358,""worn"":0.34375,""severe"":0.5970149253731343}","[[94,25,0],[70,44,39],[8,34,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",30,0.5241,0.4854,"{""sharp"":0.6948051948051948,""worn"":0.1414141414141414,""severe"":0.6198347107438017}","[[107,12,0],[74,14,65],[8,19,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",30,0.4733,0.4521,"{""sharp"":0.6885245901639344,""worn"":0.2698412698412698,""severe"":0.39790575916230364}","[[105,11,3],[71,34,48],[10,54,38]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",30,0.5615,0.5058,"{""sharp"":0.6925566343042071,""worn"":0.13793103448275862,""severe"":0.6867924528301886}","[[107,8,4],[73,12,68],[10,1,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",30,0.6230,0.6164,"{""sharp"":0.7361111111111112,""worn"":0.41350210970464135,""severe"":0.6995515695067265}","[[106,13,0],[61,49,43],[2,22,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",30,0.5909,0.5776,"{""sharp"":0.7665505226480837,""worn"":0.38461538461538464,""severe"":0.5814977973568282}","[[110,0,9],[58,45,50],[0,36,66]]","[""sharp"",""worn"",""severe""]"
