dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",30,0.5455,0.4776,"{""sharp"":0.7368421052631579,""worn"":0.045454545454545456,""severe"":0.6506024096385542}","[[119,0,0],[83,4,66],[2,19,81]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",30,0.5241,0.4422,"{""sharp"":0.6312684365781711,""worn"":0.0,""severe"":0.6953125}","[[107,0,12],[100,0,53],[13,0,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",30,0.5642,0.5252,"{""sharp"":0.6467391304347826,""worn"":0.22988505747126436,""severe"":0.6990291262135923}","[[119,0,0],[101,20,32],[29,1,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",30,0.4947,0.4364,"{""sharp"":0.6666666666666666,""worn"":0.02197802197802198,""severe"":0.6204081632653061}","[[107,12,0],[84,2,67],[11,15,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",30,0.5668,0.5433,"{""sharp"":0.6987179487179487,""worn"":0.2761904761904762,""severe"":0.6548672566371682}","[[109,10,0],[74,29,50],[10,18,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",30,0.4198,0.3875,"{""sharp"":0.7039473684210527,""worn"":0.1885245901639344,""severe"":0.27}","[[107,0,12],[71,23,59],[7,68,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",30,0.5321,0.4669,"{""sharp"":0.6563467492260062,""worn"":0.08536585365853659,""severe"":0.6590038314176245}","[[106,0,13],[86,7,60],[12,4,86]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",30,0.5294,0.4401,"{""sharp"":0.695906432748538,""worn"":0.0,""severe"":0.6245059288537549}","[[119,0,0],[81,0,72],[23,0,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",30,0.4759,0.4266,"{""sharp"":0.6467065868263473,""worn"":0.05263157894736842,""severe"":0.5803571428571429}","[[108,11,0],[91,5,57],[16,21,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",30,0.5642,0.5566,"{""sharp"":0.6866666666666666,""worn"":0.3514644351464435,""severe"":0.631578947368421}","[[103,16,0],[70,42,41],[8,28,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",30,0.5241,0.4854,"{""sharp"":0.6948051948051948,""worn"":0.1414141414141414,""severe"":0.6198347107438017}","[[107,12,0],[74,14,65],[8,19,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",30,0.4947,0.4765,"{""sharp"":0.6885245901639344,""worn"":0.2786885245901639,""severe"":0.4623115577889447}","[[105,12,2],[70,34,49],[11,45,46]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",30,0.5615,0.5070,"{""sharp"":0.6925566343042071,""worn"":0.13636363636363635,""severe"":0.6920152091254753}","[[107,9,3],[74,12,67],[9,2,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",30,0.5882,0.5769,"{""sharp"":0.7235494880546075,""worn"":0.3463203463203463,""severe"":0.6607142857142857}","[[106,13,0],[65,40,48],[3,25,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",30,0.6096,0.5942,"{""sharp"":0.7638888888888888,""worn"":0.38565022421524664,""severe"":0.6329113924050633}","[[110,0,9],[59,43,51],[0,27,75]]","[""sharp"",""worn"",""severe""]"
