dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6310,0.6219,"{""sharp"":0.7516778523489933,""worn"":0.41025641025641024,""severe"":0.7037037037037037}","[[112,7,0],[67,48,38],[0,26,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5214,0.4922,"{""sharp"":0.6294117647058823,""worn"":0.16161616161616163,""severe"":0.6857142857142857}","[[107,12,0],[101,16,36],[13,17,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6283,0.6156,"{""sharp"":0.6839080459770115,""worn"":0.43564356435643564,""severe"":0.7272727272727273}","[[119,0,0],[85,44,24],[25,5,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5267,0.4919,"{""sharp"":0.6585365853658537,""worn"":0.16243654822335024,""severe"":0.6547085201793722}","[[108,11,0],[89,16,48],[12,17,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5642,0.5136,"{""sharp"":0.72782874617737,""worn"":0.16304347826086957,""severe"":0.6497890295358649}","[[119,0,0],[80,15,58],[9,16,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.6150,0.6108,"{""sharp"":0.7328767123287672,""worn"":0.4627450980392157,""severe"":0.6368159203980099}","[[107,12,0],[59,59,35],[7,31,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.5027,0.4905,"{""sharp"":0.6123778501628665,""worn"":0.22321428571428573,""severe"":0.6359447004608295}","[[94,25,0],[82,25,46],[12,21,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.5695,0.5590,"{""sharp"":0.7302631578947368,""worn"":0.3828125,""severe"":0.5638297872340425}","[[111,8,0],[71,49,33],[3,46,53]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.5241,0.4475,"{""sharp"":0.7190332326283988,""worn"":0.0,""severe"":0.6234817813765182}","[[119,0,0],[85,0,68],[8,17,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.5856,0.5706,"{""sharp"":0.7066246056782335,""worn"":0.3482142857142857,""severe"":0.6570048309178744}","[[112,7,0],[77,39,37],[9,25,68]]","[""sharp"",""worn"",""severe""]"
