dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6364,0.6269,"{""sharp"":0.7619047619047619,""worn"":0.4188034188034188,""severe"":0.7}","[[112,7,0],[63,49,41],[0,25,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5107,0.4827,"{""sharp"":0.6294117647058823,""worn"":0.15841584158415842,""severe"":0.6601941747572816}","[[107,12,0],[101,16,36],[13,21,68]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6257,0.6118,"{""sharp"":0.6839080459770115,""worn"":0.42786069651741293,""severe"":0.7236180904522613}","[[119,0,0],[85,43,25],[25,5,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5160,0.4779,"{""sharp"":0.654434250764526,""worn"":0.13333333333333333,""severe"":0.6460176991150443}","[[107,12,0],[89,13,51],[12,17,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5588,0.5071,"{""sharp"":0.72782874617737,""worn"":0.15217391304347827,""severe"":0.6413502109704642}","[[119,0,0],[80,14,59],[9,17,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.6070,0.6020,"{""sharp"":0.7353951890034365,""worn"":0.46153846153846156,""severe"":0.6091370558375635}","[[107,12,0],[58,60,35],[7,35,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.4893,0.4741,"{""sharp"":0.6006389776357828,""worn"":0.182648401826484,""severe"":0.6388888888888888}","[[94,25,0],[88,20,45],[12,21,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.5668,0.5584,"{""sharp"":0.7194719471947195,""worn"":0.38132295719844356,""severe"":0.574468085106383}","[[109,10,0],[72,49,32],[3,45,54]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.5294,0.4512,"{""sharp"":0.7190332326283988,""worn"":0.0,""severe"":0.6345381526104418}","[[119,0,0],[85,0,68],[8,15,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.5695,0.5537,"{""sharp"":0.6984126984126984,""worn"":0.32142857142857145,""severe"":0.6411483253588517}","[[110,9,0],[77,36,40],[9,26,67]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.5160,0.4955,"{""sharp"":0.7290969899665551,""worn"":0.3025210084033613,""severe"":0.4549763033175355}","[[109,1,9],[65,36,52],[6,48,48]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.5989,0.5918,"{""sharp"":0.7335640138408305,""worn"":0.44176706827309237,""severe"":0.6}","[[106,4,9],[62,55,36],[2,37,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6230,0.5994,"{""sharp"":0.7177914110429447,""worn"":0.3838383838383838,""severe"":0.6964285714285714}","[[117,2,0],[71,38,44],[19,5,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5321,0.5133,"{""sharp"":0.6945337620578779,""worn"":0.2807017543859649,""severe"":0.5645933014354066}","[[108,11,0],[73,32,48],[11,32,59]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5642,0.5688,"{""sharp"":0.6619217081850534,""worn"":0.4044943820224719,""severe"":0.64}","[[93,26,0],[65,54,34],[4,34,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.6471,0.6500,"{""sharp"":0.7857142857142857,""worn"":0.5093632958801498,""severe"":0.6550218340611353}","[[99,20,0],[33,68,52],[1,26,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.6310,0.6290,"{""sharp"":0.823076923076923,""worn"":0.5089605734767025,""severe"":0.5550239234449761}","[[107,12,0],[33,71,49],[1,43,58]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.5348,0.5496,"{""sharp"":0.555956678700361,""worn"":0.4157706093189964,""severe"":0.6770833333333334}","[[77,42,0],[70,58,25],[11,26,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.5936,0.5680,"{""sharp"":0.723404255319149,""worn"":0.3076923076923077,""severe"":0.6729857819905213}","[[119,0,0],[83,32,38],[8,23,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.6310,0.6272,"{""sharp"":0.7449664429530202,""worn"":0.4435483870967742,""severe"":0.693069306930693}","[[111,8,0],[68,55,30],[0,32,70]]","[""sharp"",""worn"",""severe""]"
