dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",120,0.3610,0.3199,"{""sharp"":0.6025641025641025,""worn"":0.029411764705882353,""severe"":0.3275862068965517}","[[94,0,25],[83,3,67],[16,48,38]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",120,0.3610,0.3238,"{""sharp"":0.5696969696969697,""worn"":0.12612612612612611,""severe"":0.2755102040816326}","[[94,0,25],[97,14,42],[20,55,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",120,0.3850,0.3366,"{""sharp"":0.5714285714285714,""worn"":0.010810810810810811,""severe"":0.4274193548387097}","[[90,0,29],[88,1,64],[18,31,53]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",120,0.4251,0.3712,"{""sharp"":0.5949367088607594,""worn"":0.02247191011235955,""severe"":0.49606299212598426}","[[94,0,25],[87,2,64],[16,23,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",120,0.3904,0.3417,"{""sharp"":0.6164383561643836,""worn"":0.0,""severe"":0.40875912408759124}","[[90,0,29],[66,0,87],[17,29,56]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",120,0.3262,0.2827,"{""sharp"":0.5784615384615385,""worn"":0.018518518518518517,""severe"":0.25120772946859904}","[[94,0,25],[97,2,54],[15,61,26]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",120,0.3610,0.3518,"{""sharp"":0.48201438848920863,""worn"":0.328,""severe"":0.24545454545454545}","[[67,0,52],[73,41,39],[19,56,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",120,0.3369,0.3136,"{""sharp"":0.5675675675675675,""worn"":0.13100436681222707,""severe"":0.242152466367713}","[[84,0,35],[79,15,59],[14,61,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",120,0.3476,0.3104,"{""sharp"":0.5723076923076923,""worn"":0.09009009009009009,""severe"":0.26865671641791045}","[[93,0,26],[97,10,46],[16,59,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",120,0.4358,0.3760,"{""sharp"":0.6257309941520468,""worn"":0.0,""severe"":0.5022421524663677}","[[107,0,12],[100,0,53],[16,30,56]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",120,0.3717,0.3400,"{""sharp"":0.5968253968253968,""worn"":0.15584415584415584,""severe"":0.26732673267326734}","[[94,0,25],[87,18,48],[15,60,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",120,0.3636,0.3227,"{""sharp"":0.5878594249201278,""worn"":0.029850746268656716,""severe"":0.3504273504273504}","[[92,0,27],[86,3,64],[16,45,41]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",120,0.4171,0.3653,"{""sharp"":0.6394557823129252,""worn"":0.011111111111111112,""severe"":0.44525547445255476}","[[94,0,25],[66,1,86],[15,26,61]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",120,0.3610,0.3200,"{""sharp"":0.5987261146496815,""worn"":0.02926829268292683,""severe"":0.3318777292576419}","[[94,0,25],[86,3,64],[15,49,38]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",120,0.4251,0.3947,"{""sharp"":0.5910652920962199,""worn"":0.14432989690721648,""severe"":0.44866920152091255}","[[86,0,33],[70,14,69],[16,27,59]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",120,0.3289,0.2858,"{""sharp"":0.5749235474006116,""worn"":0.027649769585253458,""severe"":0.2549019607843137}","[[94,0,25],[99,3,51],[15,61,26]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",120,0.3610,0.3257,"{""sharp"":0.5974842767295597,""worn"":0.11504424778761062,""severe"":0.2647058823529412}","[[95,0,24],[89,13,51],[15,60,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",120,0.4011,0.3514,"{""sharp"":0.5574912891986062,""worn"":0.022988505747126436,""severe"":0.4738675958188153}","[[80,0,39],[73,2,78],[15,19,68]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",120,0.4465,0.4093,"{""sharp"":0.572289156626506,""worn"":0.12698412698412698,""severe"":0.5286343612334802}","[[95,0,24],[100,12,41],[18,24,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",120,0.5134,0.4701,"{""sharp"":0.6318840579710145,""worn"":0.14207650273224043,""severe"":0.6363636363636364}","[[109,0,10],[102,13,38],[15,17,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",120,0.5080,0.4855,"{""sharp"":0.6584615384615384,""worn"":0.30837004405286345,""severe"":0.4897959183673469}","[[107,0,12],[84,35,34],[15,39,48]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",120,0.3342,0.2946,"{""sharp"":0.5968253968253968,""worn"":0.03686635944700461,""severe"":0.25}","[[94,0,25],[87,4,62],[15,60,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",120,0.4706,0.4438,"{""sharp"":0.6533333333333333,""worn"":0.20095693779904306,""severe"":0.4769874476987448}","[[98,0,21],[73,21,59],[10,35,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",120,0.3396,0.2985,"{""sharp"":0.5864197530864198,""worn"":0.045662100456621,""severe"":0.2634146341463415}","[[95,0,24],[96,5,52],[14,61,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",120,0.3904,0.3457,"{""sharp"":0.6524390243902439,""worn"":0.10619469026548672,""severe"":0.27835051546391754}","[[107,0,12],[88,12,53],[14,61,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10}",120,0.3476,0.3082,"{""sharp"":0.581039755351682,""worn"":0.07207207207207207,""severe"":0.271356783919598}","[[95,0,24],[99,8,46],[14,61,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,6,"{""0"":10,""1"":10,""2"":10}",120,0.4893,0.4786,"{""sharp"":0.5794392523364486,""worn"":0.358974358974359,""severe"":0.49740932642487046}","[[93,0,26],[94,42,17],[15,39,48]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,7,"{""0"":10,""1"":10,""2"":10}",120,0.5160,0.4968,"{""sharp"":0.6488095238095238,""worn"":0.3247863247863248,""severe"":0.5168539325842697}","[[109,0,10],[95,38,20],[13,43,46]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,8,"{""0"":10,""1"":10,""2"":10}",120,0.4332,0.4114,"{""sharp"":0.56797583081571,""worn"":0.2683982683982684,""severe"":0.3978494623655914}","[[94,0,25],[100,31,22],[18,47,37]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,9,"{""0"":10,""1"":10,""2"":10}",120,0.4305,0.4152,"{""sharp"":0.5911949685534591,""worn"":0.22580645161290322,""severe"":0.42857142857142855}","[[94,21,4],[88,28,37],[17,46,39]]","[""sharp"",""worn"",""severe""]"
