dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6096,0.5936,"{""sharp"":0.7475409836065574,""worn"":0.3482142857142857,""severe"":0.684931506849315}","[[114,5,0],[72,39,42],[0,27,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5134,0.4851,"{""sharp"":0.6294117647058823,""worn"":0.15920398009950248,""severe"":0.6666666666666666}","[[107,12,0],[101,16,36],[13,20,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6283,0.6151,"{""sharp"":0.6839080459770115,""worn"":0.43781094527363185,""severe"":0.7236180904522613}","[[119,0,0],[84,44,25],[26,4,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5187,0.4825,"{""sharp"":0.656441717791411,""worn"":0.14213197969543148,""severe"":0.6488888888888888}","[[107,12,0],[89,14,50],[11,18,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5695,0.5216,"{""sharp"":0.7323076923076923,""worn"":0.1827956989247312,""severe"":0.6497890295358649}","[[119,0,0],[78,17,58],[9,16,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",60,0.6016,0.5967,"{""sharp"":0.722972972972973,""worn"":0.4409448818897638,""severe"":0.6262626262626263}","[[107,12,0],[63,56,34],[7,33,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",60,0.4893,0.4730,"{""sharp"":0.5987261146496815,""worn"":0.17511520737327188,""severe"":0.6451612903225806}","[[94,25,0],[89,19,45],[12,20,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",60,0.5722,0.5642,"{""sharp"":0.7242524916943521,""worn"":0.3938223938223938,""severe"":0.574468085106383}","[[109,10,0],[70,51,32],[3,45,54]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",60,0.5294,0.4568,"{""sharp"":0.7212121212121212,""worn"":0.023255813953488372,""severe"":0.6260162601626016}","[[119,0,0],[84,2,67],[8,17,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",60,0.5749,0.5655,"{""sharp"":0.6903225806451613,""worn"":0.358974358974359,""severe"":0.6470588235294118}","[[107,12,0],[75,42,36],[9,27,66]]","[""sharp"",""worn"",""severe""]"
