dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",30,0.5535,0.5021,"{""sharp"":0.7460815047021944,""worn"":0.12698412698412698,""severe"":0.6333333333333333}","[[119,0,0],[79,12,62],[2,24,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",30,0.5241,0.4422,"{""sharp"":0.6312684365781711,""worn"":0.0,""severe"":0.6953125}","[[107,0,12],[100,0,53],[13,0,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",30,0.5722,0.5387,"{""sharp"":0.6467391304347826,""worn"":0.2598870056497175,""severe"":0.7093596059113301}","[[119,0,0],[101,23,29],[29,1,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",30,0.4973,0.4381,"{""sharp"":0.66875,""worn"":0.022099447513812154,""severe"":0.6234817813765182}","[[107,11,1],[84,2,67],[10,15,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",30,0.5802,0.5635,"{""sharp"":0.6967741935483871,""worn"":0.3211009174311927,""severe"":0.6727272727272727}","[[108,11,0],[74,35,44],[9,19,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",30,0.5535,0.5472,"{""sharp"":0.6565349544072948,""worn"":0.36363636363636365,""severe"":0.6214689265536724}","[[108,11,0],[89,44,20],[13,34,55]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",30,0.5080,0.5071,"{""sharp"":0.6163934426229508,""worn"":0.3228346456692913,""severe"":0.582010582010582}","[[94,25,0],[80,41,32],[12,35,55]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",30,0.5535,0.5080,"{""sharp"":0.7020648967551623,""worn"":0.1702127659574468,""severe"":0.6515837104072398}","[[119,0,0],[90,16,47],[11,19,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",30,0.5561,0.4667,"{""sharp"":0.6927710843373494,""worn"":0.0,""severe"":0.7072243346007605}","[[115,0,4],[89,0,64],[9,0,93]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",30,0.6283,0.6019,"{""sharp"":0.709480122324159,""worn"":0.34196891191709844,""severe"":0.7543859649122807}","[[116,3,0],[80,33,40],[12,4,86]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",30,0.4171,0.3835,"{""sharp"":0.7016393442622951,""worn"":0.1951219512195122,""severe"":0.25380710659898476}","[[107,0,12],[71,24,58],[8,69,25]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",30,0.5348,0.4634,"{""sharp"":0.6584615384615384,""worn"":0.0625,""severe"":0.6692015209125475}","[[107,0,12],[87,5,61],[12,2,88]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",30,0.5267,0.4381,"{""sharp"":0.6878612716763006,""worn"":0.0,""severe"":0.6265060240963856}","[[119,0,0],[84,0,69],[24,0,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",30,0.4813,0.4341,"{""sharp"":0.6447761194029851,""worn"":0.06282722513089005,""severe"":0.5945945945945946}","[[108,11,0],[93,6,54],[15,21,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",30,0.5321,0.5263,"{""sharp"":0.6666666666666666,""worn"":0.32388663967611336,""severe"":0.5882352941176471}","[[99,20,0],[71,40,42],[8,34,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",30,0.5749,0.5626,"{""sharp"":0.7039473684210527,""worn"":0.3391304347826087,""severe"":0.6448598130841121}","[[107,12,0],[71,39,43],[7,26,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",30,0.5588,0.5458,"{""sharp"":0.7773851590106007,""worn"":0.3153526970954357,""severe"":0.5446428571428571}","[[110,9,0],[54,38,61],[0,41,61]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",30,0.4920,0.4767,"{""sharp"":0.5942492012779552,""worn"":0.18433179723502305,""severe"":0.6513761467889908}","[[93,26,0],[88,20,45],[13,18,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",30,0.5909,0.5263,"{""sharp"":0.7125748502994012,""worn"":0.13253012048192772,""severe"":0.7338709677419355}","[[119,0,0],[87,11,55],[9,2,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",30,0.6123,0.5740,"{""sharp"":0.7041420118343196,""worn"":0.25136612021857924,""severe"":0.7665198237885462}","[[119,0,0],[92,23,38],[8,7,87]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",30,0.5241,0.4854,"{""sharp"":0.6948051948051948,""worn"":0.1414141414141414,""severe"":0.6198347107438017}","[[107,12,0],[74,14,65],[8,19,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",30,0.4626,0.4368,"{""sharp"":0.6862745098039216,""worn"":0.27049180327868855,""severe"":0.35353535353535354}","[[105,2,12],[71,33,49],[11,56,35]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",30,0.5535,0.4936,"{""sharp"":0.6925566343042071,""worn"":0.10404624277456648,""severe"":0.6842105263157895}","[[107,9,3],[74,9,70],[9,2,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",30,0.5989,0.5891,"{""sharp"":0.7235494880546075,""worn"":0.3620689655172414,""severe"":0.6816143497757847}","[[106,13,0],[66,42,45],[2,24,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",30,0.6123,0.5965,"{""sharp"":0.7681660899653979,""worn"":0.38565022421524664,""severe"":0.635593220338983}","[[111,0,8],[59,43,51],[0,27,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10}",30,0.5615,0.5016,"{""sharp"":0.6837060702875399,""worn"":0.14457831325301204,""severe"":0.6765799256505576}","[[107,1,11],[76,12,65],[11,0,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,6,"{""0"":10,""1"":10,""2"":10}",30,0.5267,0.5103,"{""sharp"":0.6350148367952523,""worn"":0.23255813953488372,""severe"":0.6632653061224489}","[[107,12,0],[99,25,29],[12,25,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,7,"{""0"":10,""1"":10,""2"":10}",30,0.6150,0.5943,"{""sharp"":0.7555555555555555,""worn"":0.3669724770642202,""severe"":0.6604651162790698}","[[119,0,0],[71,40,42],[6,25,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,8,"{""0"":10,""1"":10,""2"":10}",30,0.5348,0.5023,"{""sharp"":0.6584615384615384,""worn"":0.18181818181818182,""severe"":0.6666666666666666}","[[107,12,0],[87,18,48],[12,15,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,9,"{""0"":10,""1"":10,""2"":10}",30,0.4679,0.4552,"{""sharp"":0.6508474576271186,""worn"":0.23140495867768596,""severe"":0.4834123222748815}","[[96,23,0],[67,28,58],[13,38,51]]","[""sharp"",""worn"",""severe""]"
