dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",120,0.6471,0.6420,"{""sharp"":0.7746478873239436,""worn"":0.4940239043824701,""severe"":0.6572769953051644}","[[110,4,5],[55,62,36],[0,32,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",120,0.5749,0.5663,"{""sharp"":0.670846394984326,""worn"":0.35807860262008734,""severe"":0.67}","[[107,12,0],[81,41,31],[12,23,67]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",120,0.6631,0.6650,"{""sharp"":0.6843657817109144,""worn"":0.5339366515837104,""severe"":0.776595744680851}","[[116,3,0],[81,59,13],[23,6,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",120,0.6203,0.6307,"{""sharp"":0.6506849315068494,""worn"":0.5074626865671642,""severe"":0.7340425531914894}","[[95,24,0],[68,68,17],[10,23,69]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",120,0.6203,0.6202,"{""sharp"":0.7039473684210527,""worn"":0.47244094488188976,""severe"":0.6842105263157895}","[[107,12,0],[70,60,23],[8,29,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",120,0.6471,0.6476,"{""sharp"":0.7876447876447876,""worn"":0.5540540540540541,""severe"":0.6010362694300518}","[[102,17,0],[38,82,33],[0,44,58]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",120,0.5187,0.5286,"{""sharp"":0.5860805860805861,""worn"":0.4083044982698962,""severe"":0.5913978494623656}","[[80,39,0],[65,59,29],[9,38,55]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",120,0.4786,0.4812,"{""sharp"":0.6329113924050633,""worn"":0.37037037037037035,""severe"":0.44029850746268656}","[[75,2,42],[43,45,65],[0,43,59]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",120,0.6364,0.6259,"{""sharp"":0.7651006711409396,""worn"":0.4491525423728814,""severe"":0.6635514018691588}","[[114,1,4],[63,53,37],[2,29,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",120,0.5535,0.5498,"{""sharp"":0.6641509433962264,""worn"":0.4066390041493776,""severe"":0.5785123966942148}","[[88,7,24],[58,49,46],[0,32,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",120,0.5642,0.5466,"{""sharp"":0.757679180887372,""worn"":0.3620689655172414,""severe"":0.5201793721973094}","[[111,0,8],[56,42,55],[7,37,58]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",120,0.5588,0.5419,"{""sharp"":0.7086092715231788,""worn"":0.3377777777777778,""severe"":0.579185520361991}","[[107,2,10],[70,38,45],[6,32,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",120,0.5936,0.5520,"{""sharp"":0.7125748502994012,""worn"":0.26519337016574585,""severe"":0.6781115879828327}","[[119,0,0],[77,24,52],[19,4,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",120,0.4733,0.4455,"{""sharp"":0.6900958466453674,""worn"":0.29545454545454547,""severe"":0.3508771929824561}","[[108,11,0],[75,39,39],[11,61,30]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",120,0.6150,0.6170,"{""sharp"":0.7183098591549296,""worn"":0.46616541353383456,""severe"":0.6666666666666666}","[[102,17,0],[61,62,30],[2,34,66]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",120,0.6417,0.6514,"{""sharp"":0.7068965517241379,""worn"":0.5472972972972973,""severe"":0.7}","[[82,37,0],[31,81,41],[0,25,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",120,0.6872,0.6884,"{""sharp"":0.8340080971659919,""worn"":0.6112956810631229,""severe"":0.62}","[[103,16,0],[25,92,36],[0,40,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",120,0.5455,0.5554,"{""sharp"":0.5851851851851851,""worn"":0.4175824175824176,""severe"":0.6634146341463415}","[[79,40,0],[61,57,35],[11,23,68]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",120,0.6283,0.6193,"{""sharp"":0.7323076923076923,""worn"":0.4340425531914894,""severe"":0.6914893617021277}","[[119,0,0],[81,51,21],[6,31,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",120,0.6471,0.6423,"{""sharp"":0.7625418060200669,""worn"":0.46774193548387094,""severe"":0.6965174129353234}","[[114,5,0],[66,58,29],[0,32,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",120,0.6150,0.5987,"{""sharp"":0.7666666666666667,""worn"":0.37168141592920356,""severe"":0.6576576576576577}","[[115,4,0],[64,42,47],[2,27,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",120,0.5428,0.5332,"{""sharp"":0.7186440677966102,""worn"":0.36015325670498083,""severe"":0.5208333333333334}","[[106,13,0],[66,47,40],[4,48,50]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",120,0.6070,0.6092,"{""sharp"":0.7206477732793523,""worn"":0.5112781954887218,""severe"":0.5957446808510638}","[[89,15,15],[37,68,48],[2,30,70]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",120,0.5802,0.5697,"{""sharp"":0.6881720430107527,""worn"":0.37333333333333335,""severe"":0.6475409836065574}","[[96,7,16],[64,42,47],[0,23,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",120,0.5722,0.5583,"{""sharp"":0.7586206896551724,""worn"":0.3682008368200837,""severe"":0.547945205479452}","[[110,0,9],[61,44,48],[0,42,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10}",120,0.6070,0.6003,"{""sharp"":0.7303754266211604,""worn"":0.4132231404958678,""severe"":0.6572769953051644}","[[107,12,0],[62,50,41],[5,27,70]]","[""sharp"",""worn"",""severe""]"
