method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.013220,0.002507
llm,sharp,smcAC,8-20,0.972054,0.970125,-0.001930
llm,sharp,smcAC,20-40,0.007453,0.005981,-0.001473
llm,sharp,smcAC,40-70,0.003466,0.004213,0.000747
llm,sharp,smcAC,70-100,0.003211,0.002849,-0.000362
llm,sharp,smcAC,100-125,0.003103,0.003613,0.000510
llm,sharp,smcDC,0-8,0.841144,0.829856,-0.011288
llm,sharp,smcDC,8-20,0.071300,0.071284,-0.000016
llm,sharp,smcDC,20-40,0.056334,0.096676,0.040342
llm,sharp,smcDC,40-70,0.025449,0.001293,-0.024156
llm,sharp,smcDC,70-100,0.005436,0.000578,-0.004858
llm,sharp,smcDC,100-125,0.000338,0.000313,-0.000025
llm,sharp,vib_table,0-8,0.027573,0.007285,-0.020289
llm,sharp,vib_table,8-20,0.414325,0.198782,-0.215543
llm,sharp,vib_table,20-40,0.253753,0.455639,0.201887
llm,sharp,vib_table,40-70,0.128963,0.198681,0.069718
llm,sharp,vib_table,70-100,0.165860,0.131628,-0.034233
llm,sharp,vib_table,100-125,0.009526,0.007985,-0.001541
llm,sharp,vib_spindle,0-8,0.106931,0.350239,0.243308
llm,sharp,vib_spindle,8-20,0.299465,0.132084,-0.167381
llm,sharp,vib_spindle,20-40,0.143018,0.251121,0.108103
llm,sharp,vib_spindle,40-70,0.236568,0.093000,-0.143568
llm,sharp,vib_spindle,70-100,0.156027,0.091119,-0.064908
llm,sharp,vib_spindle,100-125,0.057991,0.082437,0.024446
llm,sharp,AE_table,0-8,0.066627,0.040882,-0.025745
llm,sharp,AE_table,8-20,0.356623,0.324947,-0.031676
llm,sharp,AE_table,20-40,0.223879,0.331947,0.108069
llm,sharp,AE_table,40-70,0.139254,0.129752,-0.009502
llm,sharp,AE_table,70-100,0.166297,0.105904,-0.060393
llm,sharp,AE_table,100-125,0.047321,0.066568,0.019247
llm,sharp,AE_spindle,0-8,0.041541,0.039279,-0.002263
llm,sharp,AE_spindle,8-20,0.373351,0.275452,-0.097899
llm,sharp,AE_spindle,20-40,0.325461,0.372589,0.047128
llm,sharp,AE_spindle,40-70,0.131478,0.130211,-0.001267
llm,sharp,AE_spindle,70-100,0.085430,0.098641,0.013212
llm,sharp,AE_spindle,100-125,0.042739,0.083828,0.041089
llm,worn,smcAC,0-8,0.004151,0.007620,0.003469
llm,worn,smcAC,8-20,0.985060,0.977351,-0.007709
llm,worn,smcAC,20-40,0.003068,0.004959,0.001891
llm,worn,smcAC,40-70,0.002552,0.003409,0.000857
llm,worn,smcAC,70-100,0.002816,0.003096,0.000280
llm,worn,smcAC,100-125,0.002354,0.003565,0.001211
llm,worn,smcDC,0-8,0.927060,0.666693,-0.260367
llm,worn,smcDC,8-20,0.025119,0.109186,0.084067
llm,worn,smcDC,20-40,0.040522,0.221664,0.181142
llm,worn,smcDC,40-70,0.006290,0.001402,-0.004888
llm,worn,smcDC,70-100,0.000814,0.000638,-0.000176
llm,worn,smcDC,100-125,0.000195,0.000417,0.000222
llm,worn,vib_table,0-8,0.052770,0.007742,-0.045028
